date,containment_zones,calls_covid_helpline,calls_ambulance_total,calls_refused
30-06-2020,440,432,933,0
29-06-2020,435,308,871,0
28-06-2020,417,378,875,0
27-06-2020,315,570,1018,0
26-06-2020,280,1041,974,0
25-06-2020,280,1082,940,0
24-06-2020,266,833,1175,0
23-06-2020,261,942,1198,0
01-07-2020,437,412,1034,0
02-07-2020,445,381,1087,0
03-07-2020,445,353,835,0
04-07-2020,448,430,1030,0
05-07-2020,456,369,1036,0
06-07-2020,455,289,955,0
07-07-2020,454,397,938,0
08-07-2020,458,323,929,0
09-07-2020,563,362,954,0
10-07-2020,633,363,1076,0
11-07-2020,639,309,1002,0
12-07-2020,652,310,1041,0
13-07-2020,658,290,912,0
14-07-2020,657,325,944,0
15-07-2020,659,355,966,0
16-07-2020,658,315,1017,0
17-07-2020,668,301,1048,0
18-07-2020,678,391,1094,0
19-07-2020,685,328,930,0
20-07-2020,696,338,853,0
21-07-2020,689,380,993,0
22-07-2020,693,371,851,0
23-07-2020,704,315,839,0
24-07-2020,702,314,895,0
25-07-2020,704,319,961,0
26-07-2020,714,316,901,0
27-07-2020,716,285,807,0
28-07-2020,715,298,1050,0
29-07-2020,704,360,945,0
31-07-2020,692,176,930,0
01-08-2020,539,208,942,0
02-08-2020,496,177,888,0
03-08-2020,496,138,907,0
04-08-2020,499,148,1018,0
18-08-2020,557,109,1109,0
19-08-2020,560,121,1065,0
20-08-2020,587,122,1067,0
21-08-2020,589,114,994,0
22-08-2020,591,157,1173,0
23-08-2020,627,101,1091,0
24-08-2020,644,82,934,0
25-08-2020,654,114,1136,0
26-08-2020,716,88,1205,0
27-08-2020,734,119,1317,0
28-08-2020,763,119,1227,0
31-08-2020,833,75,1011,0
01-09-2020,846,129,1282,0
02-09-2020,894,156,1282,0
03-09-2020,922,188,1332,0
04-09-2020,949,167,1437,0
05-09-2020,976,174,1462,0
07-09-2020,1114,157,1163,0
08-09-2020,1166,166,1469,0
09-09-2020,1226,155,1404,0
10-09-2020,1272,207,1516,0
11-09-2020,1329,240,1498,0
12-09-2020,1383,231,1496,0
13-09-2020,1488,197,1477,0
14-09-2020,1517,204,1279,0
15-09-2020,1560,200,1446,0
16-09-2020,1637,186,1453,0
17-09-2020,1670,209,1535,0
18-09-2020,1751,160,1456,0
19-09-2020,1820,166,1442,0
20-09-2020,1872,154,1448,0
21-09-2020,1889,122,1227,0
22-09-2020,1937,201,1500,0
23-09-2020,1987,163,1557,0
24-09-2020,2059,155,1484,0
25-09-2020,2124,150,1471,0
26-09-2020,2231,163,1435,0
