,date,cases_positive,tests_conducted,positivity_rate,cases_recovered,deaths,rise_in_case,month,day
0,30-06-2020,2199.0,,,2113.0,62.0,86.0,June2020,Tuesday
1,29-06-2020,2084.0,,,3628.0,57.0,-1544.0,June2020,Monday
2,28-06-2020,2889.0,,,3306.0,65.0,-417.0,June2020,Sunday
3,27-06-2020,2948.0,,,2210.0,66.0,738.0,June2020,Saturday
4,26-06-2020,3460.0,,,2326.0,63.0,1134.0,June2020,Friday
5,25-06-2020,3390.0,,,3328.0,64.0,62.0,June2020,Thursday
6,24-06-2020,3788.0,,,2124.0,64.0,1664.0,June2020,Wednesday
7,23-06-2020,3947.0,,,2711.0,68.0,1236.0,June2020,Tuesday
8,22-06-2020,2909.0,,,3589.0,58.0,-680.0,June2020,Monday
9,21-06-2020,3000.0,,,1719.0,63.0,1281.0,June2020,Sunday
10,20-06-2020,3630.0,,,7725.0,77.0,-4095.0,June2020,Saturday
11,19-06-2020,,,,,,,June2020,Friday
12,18-06-2020,2877.0,,,3884.0,65.0,-1007.0,June2020,Thursday
13,17-06-2020,,,,,,,June2020,Wednesday
14,16-06-2020,,,,,,,June2020,Tuesday
15,15-06-2020,,,,,,,June2020,Monday
16,14-06-2020,,,,,,,June2020,Sunday
17,13-06-2020,,,,,,,June2020,Saturday
18,12-06-2020,,,,,,,June2020,Friday
19,11-06-2020,,,,,,,June2020,Thursday
20,10-06-2020,,,,,,,June2020,Wednesday
21,09-06-2020,,,,,,,June2020,Tuesday
22,08-06-2020,,,,,,,June2020,Monday
23,07-06-2020,,,,,,,June2020,Sunday
24,06-06-2020,,,,,,,June2020,Saturday
25,05-06-2020,,,,,,,June2020,Friday
26,04-06-2020,,,,,,,June2020,Thursday
27,03-06-2020,,,,,,,June2020,Wednesday
28,02-06-2020,,,,,,,June2020,Tuesday
29,01-06-2020,,,,,,,June2020,Monday
30,01-07-2020,2442.0,,,1644.0,61.0,798.0,July2020,Wednesday
31,02-07-2020,2373.0,,,3015.0,61.0,-642.0,July2020,Thursday
32,03-07-2020,2520.0,,,2617.0,59.0,-97.0,July2020,Friday
33,04-07-2020,2505.0,,,2632.0,55.0,-127.0,July2020,Saturday
34,05-07-2020,2244.0,,,3083.0,63.0,-839.0,July2020,Sunday
35,06-07-2020,1379.0,,,749.0,48.0,630.0,July2020,Monday
36,07-07-2020,2008.0,,,2129.0,50.0,-121.0,July2020,Tuesday
37,08-07-2020,2033.0,,,3982.0,48.0,-1949.0,July2020,Wednesday
38,09-07-2020,2187.0,,,4027.0,45.0,-1840.0,July2020,Thursday
39,10-07-2020,,,,,,,July2020,Friday
40,11-07-2020,1781.0,,,2998.0,34.0,-1217.0,July2020,Saturday
41,12-07-2020,1573.0,,,2276.0,37.0,-703.0,July2020,Sunday
42,13-07-2020,1246.0,,,1344.0,40.0,-98.0,July2020,Monday
43,14-07-2020,1606.0,,,1924.0,35.0,-318.0,July2020,Tuesday
44,15-07-2020,1647.0,,,2463.0,41.0,-816.0,July2020,Wednesday
45,16-07-2020,1652.0,,,1994.0,58.0,-342.0,July2020,Thursday
46,17-07-2020,1462.0,,,1608.0,26.0,-146.0,July2020,Friday
47,18-07-2020,1475.0,,,1973.0,26.0,-498.0,July2020,Saturday
48,19-07-2020,1211.0,,,1860.0,31.0,-649.0,July2020,Sunday
49,20-07-2020,954.0,,,1784.0,35.0,-830.0,July2020,Monday
50,21-07-2020,1349.0,,,1200.0,27.0,149.0,July2020,Tuesday
51,22-07-2020,1227.0,,,1532.0,29.0,-305.0,July2020,Wednesday
52,23-07-2020,1041.0,,,1415.0,26.0,-374.0,July2020,Thursday
53,24-07-2020,1025.0,,,1866.0,32.0,-841.0,July2020,Friday
54,25-07-2020,1142.0,,,2137.0,29.0,-995.0,July2020,Saturday
55,26-07-2020,1075.0,,,1807.0,21.0,-732.0,July2020,Sunday
56,27-07-2020,613.0,,,1497.0,26.0,-884.0,July2020,Monday
57,28-07-2020,1056.0,,,1135.0,28.0,-79.0,July2020,Tuesday
58,29-07-2020,1035.0,,,1126.0,26.0,-91.0,July2020,Wednesday
59,30-07-2020,,,,,,,July2020,Thursday
60,31-07-2020,1195.0,,,1206.0,27.0,-11.0,July2020,Friday
61,01-08-2020,1118.0,,,1201.0,26.0,-83.0,August2020,Saturday
62,02-08-2020,961.0,,,1186.0,15.0,-225.0,August2020,Sunday
63,03-08-2020,805.0,,,937.0,17.0,-132.0,August2020,Monday
64,04-08-2020,674.0,,,972.0,12.0,-298.0,August2020,Tuesday
65,05-08-2020,1076.0,,,890.0,11.0,186.0,August2020,Wednesday
66,06-08-2020,1299.0,,,1008.0,15.0,291.0,August2020,Thursday
67,07-08-2020,1192.0,,,1108.0,23.0,84.0,August2020,Friday
68,08-08-2020,1404.0,,,1130.0,16.0,274.0,August2020,Saturday
69,09-08-2020,1300.0,,,1225.0,13.0,75.0,August2020,Sunday
