date,hospital_beds_total,hospital_beds_occupied,hospital_beds_vacant,covid_care_center_beds_total,covid_care_center_beds_occupied,covid_care_center_beds_vacant,covid_health_center_beds_total,covid_health_center_beds_occupied,covid_health_center_beds_vacant,home_isolation_count
2020-06-30,13661,5912,7749,7869,1686,6183,544,233,311,16240
2020-06-29,13411,5977,7434,7869,1615,6254,544,241,303,16329
2020-06-28,13411,6014,7397,5909,1558,4351,344,238,106,17148
2020-06-27,13411,6068,7343,5909,1700,4209,344,232,112,17381
2020-06-26,13411,6221,7190,5909,1504,4405,344,223,121,16249
2020-06-25,13411,6241,7170,5909,1585,4324,344,211,133,15159
2020-06-24,13411,6203,7208,5909,1547,4362,344,206,138,14844
2020-06-23,13389,6264,7125,5909,1607,4302,344,207,137,12963
2020-06-22,13183,6213,6970,5909,1579,4330,344,197,147,12922
2020-06-21,12651,6054,6597,5909,1426,4883,344,205,139,12106
2020-06-20,12208,5923,6285,5909,1139,4770,344,149,195,12611
2020-06-18,10919,5448,5471,344,140,204,5974,1155,4819,
2020-07-01,15242,5892,9350,7869,1745,6124,544,225,319,16703
2020-07-02,15243,5747,9496,7869,1885,5984,544,170,374,16129
2020-07-03,15243,5635,9608,7869,1948,5921,544,167,377,15878
2020-07-04,15283,5522,9761,7869,1756,6113,544,153,391,16004
2020-07-05,15301,5356,9945,7869,1726,6143,544,148,396,15564
2020-07-06,15301,5250,10051,7869,1714,6155,544,136,408,17141
2020-07-07,15301,5003,10298,7869,1688,6181,544,142,402,16608
2020-07-08,15096,4859,10237,7869,1758,6111,544,141,403,14661
2020-07-09,15096,4784,10312,7869,1918,5951,544,135,409,12543
2020-07-11,15253,4502,10751,9217,1857,7360,544,157,387,11598
2020-07-12,15253,4315,,9217,2055,7162,544,153,391,11059
2020-07-13,15253,4309,10944,9217,2148,7069,544,144,300,11170
2020-07-14,15300,4194,,9294,2041,7253,544,128,416,10695
2020-07-15,15363,4021,11342,9284,2029,7255,554,167,387,9943
2020-07-16,15364,3819,11545,9284,2113,7171,554,171,383,9652
2020-07-17,15474,3696,11778,9284,2304,6980,554,178,376,9595
2020-07-18,15475,3635,11840,9284,2291,6993,554,174,380,9136
2020-07-19,15475,3592,11883,9454,2250,7204,554,159,395,8819
2020-07-20,15475,3517,11958,9454,2165,7289,554,151,403,8379
2020-07-21,15475,3517,11958,9454,2136,7318,554,160,394,8126
2020-07-22,15475,3342,12133,9454,2262,7292,554,157,397,7966
2020-07-23,15475,3271,12204,9554,2092,7462,554,150,404,8000
