,date,cases_positive,tests_conducted,positivity_rate,cases_recovered,deaths,rise_in_case,month,day
0,30-06-2020,2199,,,2113,62,86,Jun-20,Tuesday
1,29-06-2020,2084,,,3628,57,-1544,Jun-20,Monday
2,28-06-2020,2889,,,3306,65,-417,Jun-20,Sunday
3,27-06-2020,2948,,,2210,66,738,Jun-20,Saturday
4,26-06-2020,3460,,,2326,63,1134,Jun-20,Friday
5,25-06-2020,3390,,,3328,64,62,Jun-20,Thursday
6,24-06-2020,3788,,,2124,64,1664,Jun-20,Wednesday
7,23-06-2020,3947,,,2711,68,1236,Jun-20,Tuesday
8,22-06-2020,2909,,,3589,58,-680,Jun-20,Monday
9,21-06-2020,3000,,,1719,63,1281,Jun-20,Sunday
10,20-06-2020,3630,,,7725,77,-4095,Jun-20,Saturday
11,19-06-2020,,,,,,,Jun-20,Friday
12,18-06-2020,2877,,,3884,65,-1007,Jun-20,Thursday
13,17-06-2020,,,,,,,Jun-20,Wednesday
14,16-06-2020,,,,,,,Jun-20,Tuesday
15,15-06-2020,,,,,,,Jun-20,Monday
16,14-06-2020,,,,,,,Jun-20,Sunday
17,13-06-2020,,,,,,,Jun-20,Saturday
18,12-06-2020,,,,,,,Jun-20,Friday
19,11-06-2020,,,,,,,Jun-20,Thursday
20,10-06-2020,,,,,,,Jun-20,Wednesday
21,09-06-2020,,,,,,,Jun-20,Tuesday
22,08-06-2020,,,,,,,Jun-20,Monday
23,07-06-2020,,,,,,,Jun-20,Sunday
24,06-06-2020,,,,,,,Jun-20,Saturday
25,05-06-2020,,,,,,,Jun-20,Friday
26,04-06-2020,,,,,,,Jun-20,Thursday
27,03-06-2020,,,,,,,Jun-20,Wednesday
28,02-06-2020,,,,,,,Jun-20,Tuesday
29,01-06-2020,,,,,,,Jun-20,Monday
30,01-07-2020,2442,,,1644,61,798,Jul-20,Wednesday
31,02-07-2020,2373,,,3015,61,-642,Jul-20,Thursday
32,03-07-2020,2520,,,2617,59,-97,Jul-20,Friday
33,04-07-2020,2505,,,2632,55,-127,Jul-20,Saturday
34,05-07-2020,2244,,,3083,63,-839,Jul-20,Sunday
35,06-07-2020,1379,,,749,48,630,Jul-20,Monday
36,07-07-2020,2008,,,2129,50,-121,Jul-20,Tuesday
37,08-07-2020,2033,,,3982,48,-1949,Jul-20,Wednesday
38,09-07-2020,2187,,,4027,45,-1840,Jul-20,Thursday
39,10-07-2020,,,,,,,Jul-20,Friday
40,11-07-2020,1781,,,2998,34,-1217,Jul-20,Saturday
41,12-07-2020,1573,,,2276,37,-703,Jul-20,Sunday
42,13-07-2020,1246,,,1344,40,-98,Jul-20,Monday
43,14-07-2020,1606,,,1924,35,-318,Jul-20,Tuesday
44,15-07-2020,1647,,,2463,41,-816,Jul-20,Wednesday
45,16-07-2020,1652,,,1994,58,-342,Jul-20,Thursday
46,17-07-2020,1462,,,1608,26,-146,Jul-20,Friday
47,18-07-2020,1475,,,1973,26,-498,Jul-20,Saturday
48,19-07-2020,1211,,,1860,31,-649,Jul-20,Sunday
49,20-07-2020,954,,,1784,35,-830,Jul-20,Monday
50,21-07-2020,1349,,,1200,27,149,Jul-20,Tuesday
51,22-07-2020,1227,,,1532,29,-305,Jul-20,Wednesday
52,23-07-2020,1041,,,1415,26,-374,Jul-20,Thursday
53,24-07-2020,1025,,,1866,32,-841,Jul-20,Friday
54,25-07-2020,1142,,,2137,29,-995,Jul-20,Saturday
55,26-07-2020,1075,,,1807,21,-732,Jul-20,Sunday
56,27-07-2020,613,,,1497,26,-884,Jul-20,Monday
57,28-07-2020,1056,,,1135,28,-79,Jul-20,Tuesday
58,29-07-2020,1035,,,1126,26,-91,Jul-20,Wednesday
59,30-07-2020,,,,,,,Jul-20,Thursday
60,31-07-2020,1195,,,1206,27,-11,Jul-20,Friday
61,01-08-2020,1118,,,1201,26,-83,Aug-20,Saturday
62,02-08-2020,961,,,1186,15,-225,Aug-20,Sunday
63,03-08-2020,805,,,937,17,-132,Aug-20,Monday
64,04-08-2020,674,,,972,12,-298,Aug-20,Tuesday
65,05-08-2020,1076,,,890,11,186,Aug-20,Wednesday
66,06-08-2020,1299,,,1008,15,291,Aug-20,Thursday
67,07-08-2020,1192,,,1108,23,84,Aug-20,Friday
68,08-08-2020,1404,,,1130,16,274,Aug-20,Saturday
69,09-08-2020,1300,,,1225,13,75,Aug-20,Sunday
70,10-08-2020,707,,,1070,20,-363,Aug-20,Monday
71,11-08-2020,1257,,,727,8,530,Aug-20,Tuesday
72,12-08-2020,1113,,,1021,14,92,Aug-20,Wednesday
73,13-08-2020,956,,,913,14,43,Aug-20,Thursday
74,14-08-2020,1192,,,790,11,402,Aug-20,Friday
75,15-08-2020,1276,,,1143,10,133,Aug-20,Saturday
76,16-08-2020,652,,,1310,8,-658,Aug-20,Sunday
77,17-08-2020,787,,,740,18,47,Aug-20,Monday
78,18-08-2020,,,,,,,Aug-20,Tuesday
79,19-08-2020,,,,,,,Aug-20,Wednesday
80,20-08-2020,,,,,,,Aug-20,Thursday
81,21-08-2020,,,,,,,Aug-20,Friday
82,22-08-2020,,,,,,,Aug-20,Saturday
83,23-08-2020,,,,,,,Aug-20,Sunday
84,24-08-2020,,,,,,,Aug-20,Monday
85,25-08-2020,,,,,,,Aug-20,Tuesday
86,26-08-2020,,,,,,,Aug-20,Wednesday
87,27-08-2020,,,,,,,Aug-20,Thursday
88,28-08-2020,,,,,,,Aug-20,Friday
89,29-08-2020,,,,,,,Aug-20,Saturday
90,31-08-2020,,,,,,,Aug-20,Monday
91,01-09-2020,,,,,,,Sep-20,Tuesday
92,02-09-2020,,,,,,,Sep-20,Wednesday
93,03-09-2020,,,,,,,Sep-20,Thursday
94,04-09-2020,,,,,,,Sep-20,Friday
95,05-09-2020,,,,,,,Sep-20,Saturday
96,07-09-2020,,,,,,,Sep-20,Monday
97,08-09-2020,,,,,,,Sep-20,Tuesday
98,09-09-2020,,,,,,,Sep-20,Wednesday
99,10-09-2020,,,,,,,Sep-20,Thursday
100,11-09-2020,,,,,,,Sep-20,Friday
101,12-09-2020,4321,60076,7.19,3141,28,1180,Sep-20,Saturday
102,13-09-2020,4235,56656,7.48,3453,29,782,Sep-20,Sunday
103,14-09-2020,3229,44884,7.19,3374,26,-145,Sep-20,Monday
104,15-09-2020,4263,62669,6.8,3081,36,1182,Sep-20,Tuesday
105,16-09-2020,4473,62593,7.15,3313,33,1160,Sep-20,Wednesday
106,17-09-2020,4432,60014,7.38,3587,38,845,Sep-20,Thursday
107,18-09-2020,4127,61037,6.76,3568,30,559,Sep-20,Friday
108,19-09-2020,4071,61973,6.57,4219,38,-148,Sep-20,Saturday
109,20-09-2020,3812,52405,7.27,3742,37,70,Sep-20,Sunday
110,21-09-2020,2548,33733,7.55,3672,32,-1124,Sep-20,Monday
111,22-09-2020,3816,59013,6.47,3097,37,719,Sep-20,Tuesday
