,expected_cases
0,1636807.05
1,1641396.12
2,1645985.2
3,1650574.27
4,1655163.35
5,1659752.43
6,1664341.5
7,1668930.58
8,1673519.66
9,1678108.73
10,1682697.81
11,1687286.89
12,1691875.96
13,1696465.04
14,1701054.12
15,1705643.19
16,1710232.27
17,1714821.34
18,1719410.42
19,1723999.5
20,1728588.57
21,1733177.65
22,1737766.73
23,1742355.8
24,1746944.88
25,1751533.96
26,1756123.03
27,1760712.11
28,1765301.18
29,1769890.26
30,1774479.34
31,1779068.41
32,1783657.49
33,1788246.57
34,1792835.64
35,1797424.72
36,1802013.8
37,1806602.87
38,1811191.95
39,1815781.02
40,1820370.1
41,1824959.18
42,1829548.25
43,1834137.33
44,1838726.41
45,1843315.48
46,1847904.56
47,1852493.64
48,1857082.71
