date,samples_taken_today,samples_sent_cumulative,samples_negative_cumulative,samples_positive_cumulative_total,samples_positive_cumulative_male,samples_positive_cumulative_female,samples_positive_cumulative_transgender,samples_results_awaited,cases_new,people_put_on_surveillance_cumulative,people_completed_surveillance_cumulative,people_currently_under_surveillance,people_home_isolation,recoveries_cumulative,active_cases,deaths_total,deaths_male,deaths_female,deaths_transgender,vax_today_total,vax_today_first_dose,vax_today_second_dose,vax_cumulative,positivity_rate_today,positivity_rate_cumulative,recovery_rate,fatality_rate,tests_per_million
15-07-2020,,,371350,23306,15481,7823,2,,,118725,67632,51093,,17667,5320,319,234,85,,,,,,,,75.8,1.37,15785
16-07-2020,,,380138,24002,15951,8049,2,,,119421,68151,51270,,18185,5495,322,236,86,,,,,,,,75.76,1.34,16168
17-07-2020,,,393627,24797,16455,8340,2,,,120216,68684,51532,,18718,5752,327,239,88,,,,,,,,75.48,1.32,16753
18-07-2020,,,404852,25547,16941,8604,2,,,121011,69284,51727,,19318,5885,344,251,93,,,,,,,,75.62,1.35,17220
19-07-2020,,,414438,26164,17301,8861,2,,,121628,69729,51899,,19793,6022,349,256,93,,,,,,,,75.65,1.33,17647
20-07-2020,,,424137,26858,17774,9082,2,,,122322,70162,52160,,20226,6277,355,260,95,,,,,,,,75.31,1.32,18040
21-07-2020,,,434300,27462,18162,9298,2,,,122926,70888,52038,,20952,6146,364,265,99,,,,,,,,76.29,1.33,18451
22-07-2020,,,443585,28186,18642,9542,2,,,123650,71633,52017,,21697,6117,372,267,105,,,,,,,,76.98,1.32,18833
23-07-2020,,,455864,28975,19108,9865,2,,,124439,72185,52254,,22249,6348,378,271,107,,,,,,,,76.79,1.3,19346
24-07-2020,,,469631,29755,19694,10058,3,,,125219,72889,52330,,22953,6420,382,273,109,,,,,,,,77.14,1.28,19930
25-07-2020,,,500579,30538,20242,10293,3,,,126002,73590,52412,,23654,6495,389,279,110,,,,,,,,77.46,1.27,21157
26-07-2020,,,512734,31332,20760,10569,3,,,126796,74320,52476,,24384,6556,392,281,111,,,,,,,,77.82,1.25,21675
27-07-2020,,,521416,32127,21290,10834,3,,,127591,74982,52609,,25046,6684,397,285,112,,,,,,,,77.96,1.24,22064
28-07-2020,,,531644,32876,21785,11088,3,,,128340,75694,52646,,25758,6712,406,292,114,,,,,,,,78.35,1.23,22494
29-07-2020,,,543201,33631,22275,11353,3,,,129095,76356,52739,,26420,6798,413,296,117,,,,,,,,78.56,1.23,22984
30-07-2020,,,560863,34254,22686,11565,3,,,129718,77276,52442,,27340,6497,417,299,118,,,,,,,,79.82,1.22,23704
31-07-2020,,,571751,34965,23197,11765,3,,,130429,78163,52266,,28227,6317,421,302,119,,,,,,,,80.73,1.2,24165
01-08-2020,,,587418,35758,23740,12015,3,,,131222,79016,52206,,29080,6250,428,306,122,,,,,,,,81.32,1.2,24805
02-08-2020,,,604056,36519,24225,12291,3,,,136135,79989,56146,,29690,6396,433,309,124,,,,,,,,81.3,1.19,25495
03-08-2020,,,615375,37173,24679,12491,3,,,139789,80264,59525,,30470,6263,440,313,127,,,,,,,,81.97,1.18,25955
04-08-2020,,,628013,37796,25087,12706,3,,,140412,80617,59795,,31226,6122,448,318,130,,,,,,,,82.62,1.19,26472
05-08-2020,,,639335,38548,25598,12947,3,,,141164,81066,60098,,31960,6133,455,323,132,,,,,,,,82.91,1.18,26963
06-08-2020,,,652600,39303,26116,13183,4,,,141919,81891,60028,,32640,6205,458,325,133,,,,,,,,83.05,1.17,27526
07-08-2020,,,667244,40054,26617,13426,11,,,142915,83172,59743,,33444,6143,467,332,135,,,,,,,,83.5,1.17,28129
08-08-2020,,,683237,40843,27117,13715,11,,,143704,84090,59614,,34031,6338,474,337,137,,,,,,,,83.32,1.16,28798
09-08-2020,,,696664,41635,27626,13998,11,,,145427,84334,61093,,34781,6371,483,345,138,,,,,,,,83.54,1.16,29352
10-08-2020,,,705790,42429,28112,14306,11,,,146221,84825,61396,,35492,6448,489,350,139,,,,,,,,83.65,1.15,29741
11-08-2020,,,722780,43227,28656,14560,11,,,147019,85449,61570,,36082,6645,500,357,143,,,,,,,,83.47,1.16,30445
12-08-2020,,,736914,44024,29181,14832,11,,,147816,86219,61597,,36694,6827,503,359,144,,,,,,,,83.35,1.14,31039
13-08-2020,,,751225,44817,29705,15101,11,,,148609,86880,61729,,37486,6820,511,366,145,,,,,,,,83.64,1.14,31629
14-08-2020,,,766184,45614,30220,15383,11,,,150081,87878,62203,,38348,6748,518,370,148,,,,,,,,84.07,1.14,32249
15-08-2020,,,778189,46410,30753,15646,11,,,150877,88346,62531,,38939,6943,528,378,150,,,,,,,,83.9,1.14,32760
16-08-2020,,,791184,47153,31218,15924,11,,,151620,88568,63052,,39601,7014,538,383,155,,,,,,,,83.98,1.14,33311
17-08-2020,,,801232,48040,31738,16291,11,,,152507,89055,63452,,40610,6880,550,392,158,,,,,,,,84.53,1.14,33718
18-08-2020,,,812490,48936,32322,16603,11,,,153971,89636,64335,,41298,7081,557,396,161,,,,,,,,84.39,1.14,34219
19-08-2020,,,833173,49930,32973,16946,11,,,154965,90201,64764,,42056,7307,567,403,164,,,,,,,,84.23,1.14,35079
20-08-2020,,,853707,50926,33629,17286,11,,,156797,90709,66088,,42793,7555,578,408,170,,,,,,,,84.03,1.13,35932
21-08-2020,,,868016,52129,34397,17721,11,,,158000,91297,66703,,43413,8131,585,413,172,,,,,,,,83.28,1.12,36551
22-08-2020,,,885193,53290,35150,18129,11,,,161933,92371,69562,,44013,8680,597,422,175,,,,,,,,82.59,1.12,37269
23-08-2020,,,903523,54386,35858,18517,11,,,163029,93283,69746,,44822,8961,603,426,177,,,,,,,,82.41,1.11,38039
24-08-2020,,,921303,55460,36581,18868,11,,,165073,94281,70792,,45405,9442,613,433,180,,,,,,,,81.87,1.11,38784
25-08-2020,,,938914,56608,37332,19265,11,,,167397,95246,72151,,46496,9489,623,440,183,,,,,,,,82.14,1.1,39518
26-08-2020,,,961297,58005,38230,19764,11,,,170657,96324,74333,,47613,9758,634,449,185,,,,,,,,82.08,1.09,40455
27-08-2020,,,985217,59298,39061,20226,11,,,171950,96902,75048,,48690,9962,646,456,190,,,,,,,,82.11,1.09,41467
28-08-2020,,,1008916,60596,39912,20673,11,,,173248,97922,75326,,49710,10225,661,467,194,,,,,,,,82.04,1.09,42448
29-08-2020,,,1035131,61987,40835,21141,11,,,181634,98446,83188,,50711,10606,670,473,197,,,,,,,,81.81,1.08,43544
30-08-2020,,,1060143,63282,41653,21618,11,,,184293,98877,85416,,51620,10980,682,481,201,,,,,,,,81.57,1.08,44579
31-08-2020,,,1079232,64732,42579,22142,11,,,186780,99352,87428,,52672,11371,689,484,205,,,,,,,,81.37,1.06,45370
01-09-2020,,,1100351,66426,43713,22702,11,,,188474,99831,88643,,53835,11885,706,494,212,,,,,,,,81.05,1.06,46263
02-09-2020,,,1121546,68218,44846,23361,11,,,192058,100530,91528,,54875,12622,721,502,219,,,,,,,,80.44,1.06,47172
03-09-2020,,,1143463,70099,46118,23970,11,,,195863,101350,94513,,55889,13470,740,519,221,,,,,,,,79.73,1.06,48129
04-09-2020,,,1167167,71983,47313,24659,11,,,197777,101959,95818,,57171,14053,759,535,224,,,,,,,,79.42,1.05,49138
05-09-2020,,,1187623,74272,48834,25427,11,,,200066,102273,97793,,58580,14911,781,551,230,,,,,,,,78.87,1.05,50040
06-09-2020,,,1211295,76549,50347,26191,11,,,202343,102351,99992,,60051,15692,806,570,236,,,,,,,,78.45,1.05,51069
07-09-2020,,,1231602,78773,51851,26911,11,,,204567,102439,102128,,61611,16333,829,583,246,,,,,,,,78.21,1.05,51954
08-09-2020,,,1246370,81059,53322,27726,11,,,206853,102777,104076,,63315,16890,854,602,252,,,,,,,,78.11,1.05,52624
09-09-2020,,,1280217,83353,54833,28509,11,,,209147,103069,106078,,65143,17328,882,621,261,,,,,,,,78.15,1.06,54059
10-09-2020,,,1306887,85944,56606,29327,11,,,211738,103249,108489,,66705,18332,907,641,266,,,,,,,,77.61,1.06,55212
11-09-2020,,,1336477,88332,58174,30147,11,,,214224,104146,110078,,68525,18875,932,659,273,,,,,,,,77.58,1.06,56473
12-09-2020,,,1363656,91115,59966,31138,11,,,217007,104569,112438,,70713,19446,956,672,284,,,,,,,,77.61,1.05,57659
13-09-2020,,,1389712,93641,61715,31913,13,,,219533,104732,114801,,72587,20079,975,683,292,,,,,,,,77.52,1.04,58778
14-09-2020,,,1411692,96129,63407,32709,13,,,222021,105187,116834,,74712,20417,1000,698,302,,,,,,,,77.72,1.04,59747
15-09-2020,,,1431486,98622,65055,33554,13,,,224514,105549,118965,,77166,20430,1026,719,307,,,,,,,,78.24,1.04,60618
16-09-2020,,,1457859,101316,66808,34495,13,,,227208,105869,121339,,78937,21334,1045,731,314,,,,,,,,77.91,1.03,60618
17-09-2020,,,1483521,103773,68513,35247,13,,,229665,108632,121033,,81690,21014,1069,745,324,,,,,,,,78.72,1.03,62883
18-09-2020,,,1510111,106261,70227,36021,13,,,232153,108863,123290,,83878,21291,1092,761,331,,,,,,,,78.94,1.03,64034
19-09-2020,,,1536019,108952,71998,36941,13,,,234844,108997,125847,,86150,21682,1120,778,342,,,,,,,,79.07,1.03,65147
20-09-2020,,,1563516,111257,73521,37723,13,,,237149,109366,127783,,88697,21411,1149,798,351,,,,,,,,79.72,1.03,66320
21-09-2020,,,1587365,113075,74694,38368,13,,,238967,109782,129185,,90884,21014,1177,820,357,,,,,,,,80.37,1.04,67328
22-09-2020,,,1608589,114870,75871,38986,13,,,240756,110205,130551,,93776,19888,1206,838,368,,,,,,,,81.64,1.05,68244
23-09-2020,,,1634605,116856,77184,39659,13,,,242742,110627,132115,,96347,19276,1233,854,379,,,,,,,,82.45,1.06,69359
24-09-2020,,,1658105,118554,78306,40235,13,,,244440,110962,133478,,98410,18889,1255,871,384,,,,,,,,83.01,1.06,70346
25-09-2020,,,1676711,120578,79560,41005,13,,,246464,111278,135186,,101273,18032,1273,882,391,,,,,,,,83.99,1.06,71137
26-09-2020,,,1698337,122267,80675,41579,13,,,248153,111523,136630,,103827,17149,1291,895,396,,,,,,,,84.92,1.06,72077
27-09-2020,,,1721300,123782,81654,42115,13,,,249668,111852,137816,,105990,16485,1307,906,401,,,,,,,,85.63,1.06,73036
28-09-2020,,,1741188,125412,82705,42694,13,,,251278,112217,139061,,108411,15670,1331,920,411,,,,,,,,86.44,1.06,73881
29-09-2020,,,1760914,126974,83730,43231,13,,,252840,112571,140269,,110814,14804,1356,937,419,,,,,,,,87.27,1.07,74710
30-09-2020,,,1784906,128599,84761,43825,13,,,254465,112892,141573,,112877,14340,1382,954,428,,,,,,,,87.77,1.07,75747
01-10-2020,,,1810686,129912,85598,44301,13,,,255739,113177,142562,,115038,13472,1402,969,433,,,,,,,,88.55,1.08,76808
02-10-2020,,,1835720,131388,86551,44824,13,,,257215,113452,143763,,116716,13247,1425,983,442,,,,,,,,88.83,1.08,77854
03-10-2020,,,1860408,132576,87294,45269,13,,,258403,113765,144638,,118258,12868,1450,1000,450,,,,,,,,89.2,1.09,78866
04-10-2020,,,1881421,133878,88117,45748,13,,,259705,114136,145569,,120341,12067,1470,1037,433,,,,,,,,89.89,1.1,79734
05-10-2020,,,1899393,134909,88715,46181,13,,,260736,114563,146173,,121596,11822,1491,1048,443,,,,,,,,90.13,1.11,80480
06-10-2020,,,1937126,136115,89473,46629,13,,,261942,114936,147006,,123286,11320,1509,1055,454,,,,,,,,90.57,1.11,82018
07-10-2020,,,1960080,137398,90318,47067,13,,,263225,115294,147931,,124841,11029,1528,1068,460,,,,,,,,90.86,1.11,82987
08-10-2020,,,1985376,138682,91159,47510,13,,,264509,115439,149070,,126267,10867,1548,1082,466,,,,,,,,91.05,1.12,84035
09-10-2020,,,2010557,139932,91957,47962,13,,,265759,115793,149966,,127540,10830,1562,1091,471,,,,,,,,91.14,1.12,85079
10-10-2020,,,2037038,141090,92678,48399,13,,,266917,116039,150878,,128841,10677,1572,1097,475,,,,,,,,91.32,1.11,86163
11-10-2020,,,2059967,142155,93345,48797,13,,,267982,116365,151617,,130003,10573,1579,1103,476,,,,,,,,91.45,1.11,87097
