date,district_name,positive_cases_today,positive_cases_cumulative,recovered_total,recovered_new,recovery_rate,deaths_with_comorbidity,deaths_without_comorbidity,deaths_total,deaths_new,active_cases_less_11days,active_cases_more_11days,active_cases_total,vaccination_dose1,vaccination_dose2,vaccination_total
15-07-2020,Gurugram,82,7208,6078,145,,72,38,110,1,943,77,1020,,,
15-07-2020,Faridabad,216,5881,4741,70,,62,42,104,3,831,205,1036,,,
15-07-2020,Sonepat,66,2170,1517,43,,11,13,24,,597,32,629,,,
15-07-2020,Rohtak,36,1064,689,90,,3,13,16,,333,26,359,,,
15-07-2020,Bhiwani,8,689,535,17,,4,1,5,1,148,1,149,,,
15-07-2020,Rewari,25,735,454,42,,2,4,6,,270,5,275,,,
15-07-2020,Karnal,19,563,400,15,,3,5,8,,155,0,155,,,
15-07-2020,Ambala,33,691,434,35,,3,3,6,,250,1,251,,,
15-07-2020,Jhajjar,9,539,345,,,4,0,4,,177,13,190,,,
15-07-2020,Palwal,26,555,408,13,,4,2,6,,140,1,141,,,
15-07-2020,Mahindergarh,7,519,297,16,,1,0,1,,214,7,221,,,
15-07-2020,Hisar,34,509,281,39,,2,5,7,,212,9,221,,,
15-07-2020,Panipat,8,423,233,15,,6,2,8,1,170,12,182,,,
15-07-2020,Nuh,19,367,254,8,,0,4,4,1,108,1,109,,,
15-07-2020,Kurukshetra,8,215,155,,,1,0,1,,57,2,59,,,
15-07-2020,Sirsa,7,230,147,17,,0,1,1,,80,2,82,,,
15-07-2020,Jind,3,156,113,,,4,0,4,,31,8,39,,,
15-07-2020,Fatehabad,31,178,126,10,,1,0,1,,50,1,51,,,
15-07-2020,Panchkula,24,179,120,1,,0,0,0,,58,1,59,,,
15-07-2020,Yamunanagar,4,137,109,,,1,1,2,,24,2,26,,,
15-07-2020,Kaithal,10,162,117,1,,0,0,0,,43,2,45,,,
15-07-2020,Charkhi Dadri,3,101,79,,,0,1,1,,14,7,21,,,
15-07-2020,Foreign returnee (USA),0,21,21,,,0,0,0,,0,0,0,,,
15-07-2020,Italian,0,14,14,,,0,0,0,,0,0,0,,,
16-07-2020,Gurugram,142,7350,6198,120,,72,38,110,,1029,13,1042,,,
16-07-2020,Faridabad,170,6051,4861,120,,62,42,104,,1050,36,1086,,,
16-07-2020,Sonepat,59,2229,1563,46,,11,13,24,,609,33,642,,,
16-07-2020,Rohtak,14,1078,689,,,3,13,16,,347,26,373,,,
16-07-2020,Bhiwani,8,697,583,48,,4,1,5,,108,1,109,,,
16-07-2020,Rewari,84,819,463,9,,2,4,6,,345,5,350,,,
16-07-2020,Karnal,0,563,400,,,3,5,8,,150,5,155,,,
16-07-2020,Ambala,45,736,439,5,,3,3,6,,290,1,291,,,
16-07-2020,Jhajjar,18,557,399,54,,5,0,5,1,147,6,153,,,
16-07-2020,Palwal,25,580,440,32,,4,2,6,,133,1,134,,,
16-07-2020,Mahindergarh,16,535,306,9,,1,0,1,,220,8,228,,,
16-07-2020,Hisar,21,530,284,3,,2,5,7,,227,12,239,,,
16-07-2020,Panipat,36,459,271,38,,6,4,10,2,169,9,178,,,
16-07-2020,Nuh,0,367,267,13,,0,4,4,,93,3,96,,,
16-07-2020,Kurukshetra,8,223,164,9,,1,0,1,,57,1,58,,,
16-07-2020,Sirsa,9,239,148,1,,0,1,1,,88,2,90,,,
16-07-2020,Jind,2,158,117,4,,4,0,4,,31,6,37,,,
16-07-2020,Fatehabad,15,193,131,5,,1,0,1,,61,0,61,,,
16-07-2020,Panchkula,18,197,122,2,,0,0,0,,75,0,75,,,
16-07-2020,Yamunanagar,1,138,109,,,1,1,2,,25,2,27,,,
16-07-2020,Kaithal,5,167,117,,,0,0,0,,48,2,50,,,
16-07-2020,Charkhi Dadri,0,101,79,,,0,1,1,,14,7,21,,,
16-07-2020,Foreign returnee (USA),0,21,21,,,0,0,0,,0,0,0,,,
16-07-2020,Italian,0,14,14,,,0,0,0,,0,0,0,,,
17-07-2020,Gurugram,133,7483,6319,121,,74,38,112,2,1043,9,1052,,,
17-07-2020,Faridabad,160,6211,4996,135,,62,42,104,,1099,12,1111,,,
17-07-2020,Sonepat,69,2298,1563,,,11,13,24,,678,33,711,,,
17-07-2020,Rohtak,0,1078,689,,,3,13,16,,347,26,373,,,
17-07-2020,Bhiwani,10,707,591,8,,4,1,5,,108,3,111,,,
17-07-2020,Rewari,156,975,574,111,,2,4,6,,390,5,395,,,
17-07-2020,Karnal,24,587,447,47,,3,5,8,,131,1,132,,,
17-07-2020,Ambala,0,736,439,,,3,3,6,,288,3,291,,,
17-07-2020,Jhajjar,25,582,430,31,,5,0,5,,143,4,147,,,
17-07-2020,Palwal,12,592,456,16,,5,2,7,1,128,1,129,,,
17-07-2020,Mahindergarh,57,592,314,8,,1,0,1,,265,12,277,,,
17-07-2020,Hisar,39,569,291,7,,2,5,7,,256,15,271,,,
17-07-2020,Panipat,15,474,274,3,,6,4,10,,179,11,190,,,
17-07-2020,Nuh,43,410,286,19,,2,4,6,2,115,3,118,,,
17-07-2020,Kurukshetra,9,232,164,,,1,0,1,,59,8,67,,,
17-07-2020,Sirsa,10,249,159,11,,0,1,1,,87,2,89,,,
17-07-2020,Jind,0,158,117,,,4,0,4,,31,6,37,,,
17-07-2020,Fatehabad,0,193,134,3,,1,0,1,,56,2,58,,,
17-07-2020,Panchkula,26,223,122,,,0,0,0,,101,0,101,,,
17-07-2020,Yamunanagar,6,144,119,10,,1,1,2,,22,1,23,,,
17-07-2020,Kaithal,1,168,120,3,,0,0,0,,46,2,48,,,
17-07-2020,Charkhi Dadri,0,101,79,,,0,1,1,,14,7,21,,,
17-07-2020,Foreign returnee (USA),0,21,21,,,0,0,0,,0,0,0,,,
17-07-2020,Italian,0,14,14,,,0,0,0,,0,0,0,,,
