date,total_cases,history_of_travel,history_of_contact
17-08-2020,45641,12029,33612
18-08-2020,47399,12110,35289
19-08-2020,49732,12268,37464
20-08-2020,51700,12451,39249
21-08-2020,53683,12619,41064
22-08-2020,55855,12830,43025
23-08-2020,57763,12970,44793
25-08-2020,61380,13281,48099
26-08-2020,63856,13444,50412
27-08-2020,66262,13624,52638
28-08-2020,68805,13855,54950
30-08-2020,73356,14211,59145
31-08-2020,74886,14355,60531
01-09-2020,75827,14416,61411
03-09-2020,79126,14609,64517
04-09-2020,81605,14739,66866
05-09-2020,84260,14891,69369
06-09-2020,87342,15087,72255
07-09-2020,88990,15177,73813
08-09-2020,92016,15389,76627
09-09-2020,95418,15568,79850
10-09-2020,98767,15783,82984
12-09-2020,104640,16141,88499
13-09-2020,107779,16303,91476
15-09-2020,113534,16551,96983
16-09-2020,117364,16753,100611
17-09-2020,121715,16951,104764
19-09-2020,130526,17429,113097
20-09-2020,135222,17610,117612
21-09-2020,138132,17779,120353
23-09-2020,147633,18138,129495
24-09-2020,153957,18408,135549
25-09-2020,160434,18664,141770
26-09-2020,167440,18909,148531
27-09-2020,174885,19280,155605
28-09-2020,179423,19493,159930
30-09-2020,195607,19903,175704
01-10-2020,203742,20188,183554
02-10-2020,213000,20419,192581
03-10-2020,220834,20655,200179
04-10-2020,229387,20866,208521
05-10-2020,234429,20997,213432
06-10-2020,242300,21197,221103
11-10-2020,288703,22243,266460
13-10-2020,303397,22498,280899
14-10-2020,309641,22597,287044
15-10-2020,317430,22723,294707
16-10-2020,324713,22867,301846
17-10-2020,333729,22994,310735
18-10-2020,341360,23154,318206
19-10-2020,346382,23213,323169
20-10-2020,352973,23318,329655
21-10-2020,361342,23478,337864
22-10-2020,368824,23601,345223
24-10-2020,385588,23912,361676
25-10-2020,392431,24071,368360
26-10-2020,396718,24123,372595
29-10-2020,417985,24557,393428
30-10-2020,424623,24642,399981
31-10-2020,432606,24728,407878
01-11-2020,439631,24813,414818
02-11-2020,443769,24867,418902
04-11-2020,459147,25071,434076
05-11-2020,465967,25166,440801
06-11-2020,472969,25264,447705
07-11-2020,480170,25360,454810
08-11-2020,485610,25465,460145
09-11-2020,489203,25526,463677
10-11-2020,495213,25626,469587
11-11-2020,502220,25712,476508
12-11-2020,507757,25852,481905
13-11-2020,513561,25970,487591
14-11-2020,519918,26077,493841
15-11-2020,524499,26162,498337
17-11-2020,533001,26321,506680
18-11-2020,539420,26419,513001
19-11-2020,545142,26536,518606
21-11-2020,556942,26732,530210
23-11-2020,560699,26808,533891
24-11-2020,571373,26985,544388
25-11-2020,577864,27080,550784
26-11-2020,583242,27156,556086
27-11-2020,587208,27237,556086
28-11-2020,593458,27329,566129
29-11-2020,599101,27416,571685
30-11-2020,602483,27480,575003
01-12-2020,607858,27594,580264
02-12-2020,614174,27692,586482
04-12-2020,625268,27868,597400
06-12-2020,635893,28005,607888
07-12-2020,639165,28054,611111
08-12-2020,644197,28152,616045
