date,psychosocial_workers,calls_to_persons_in_surveillance,followup_calls,post_covid_calls,calls_special,calls_to_school_children,calls_to_health_care_workers,calls_received_helpline,calls_total
2020-08-31,1210,1037211,788246,,348860,244700,48939,,2503546
2020-09-01,1210,1042536,798358,,348860,246758,49259,,2521449
2020-09-03,1210,1063013,821852,,348860,252382,50078,35934,2572119
2020-09-04,1210,1071508,836662,,348860,255811,50456,36077,2599374
2020-09-05,1210,1079755,850971,,348860,258613,50948,36241,2625388
2020-09-06,1210,1088985,860306,,348860,261547,51235,36351,2647284
2020-09-07,1206,1095692,877450,,348860,264116,51686,36470,2674274
2020-09-08,1206,1106403,891980,,348860,266999,52033,36650,2702925
2020-09-09,1206,1117557,906291,,348860,270366,52409,36810,2732293
2020-09-10,1206,1127197,920971,,348860,273263,52878,36967,2760136
2020-09-12,1278,1141326,937506,,348860,280060,53793,37185,2798230
2020-09-13,1278,1160724,961009,,348860,282625,54198,37475,2844891
2020-09-15,1284,1180670,988477,,348860,288384,55265,37802,2899458
2020-09-16,1284,1180670,988477,,348860,288384,55265,37802,2899458
2020-09-17,1285,1201971,1021655,,348860,294412,55858,38111,2960867
2020-09-19,1333,1222440,1051943,,348860,300702,56589,38377,3018911
2020-09-20,1333,1233611,1066375,,348860,303563,56808,38533,3047750
2020-09-21,1333,1243827,1079676,,348860,305970,57121,38655,3074109
2020-09-23,1323,1266039,1106947,,348860,311920,57651,38970,3130387
2020-09-24,1323,1278236,1122532,,348860,315179,57832,39136,3161775
2020-09-25,1323,1289760,1138700,,348860,318587,58061,39306,3193274
2020-09-26,1327,1302013,1153974,,348860,321641,58288,39456,3224232
2020-09-27,1327,1314688,1167183,,348860,324386,58495,39613,3253225
2020-09-28,1327,1326086,1180053,,348860,326667,58603,39766,3280035
2020-09-30,1327,1353268,1211680,,348860,332514,59162,40136,3345620
2020-10-01,1327,1367617,1225988,,348860,335174,59333,40316,3377288
2020-10-02,1327,1383317,1242412,,348860,337788,59507,40521,3412405
2020-10-03,1327,1397932,1257385,,348860,340068,59762,40717,3444724
2020-10-04,1327,1413318,1270879,,348860,342711,59814,40885,3476467
2020-10-05,1327,1427171,1284546,,348860,344829,59927,41058,3506391
2020-10-06,1327,1444315,1299438,,348860,347145,60166,41270,3541194
2020-10-11,1346,1518626,1381175,,348860,361842,60711,42279,3713493
2020-10-13,1346,1550964,1413257,,348860,366064,61061,42651,3782857
2020-10-14,1346,1565104,1430314,,348860,370074,61120,42843,3818315
2020-10-15,1346,1577811,1448420,,348860,372714,61227,43039,3852071
2020-10-16,1346,1591413,1464402,,348860,375650,61300,43209,3884834
2020-10-17,1346,1605466,1479888,,348860,378464,61389,43399,3917466
2020-10-18,1346,1621127,1496209,,348860,381247,61436,43601,3952480
2020-10-19,1373,1634075,1512390,,348860,383290,61504,43775,3983894
2020-10-20,1373,1652425,1526461,,348860,385985,61531,43989,4019251
