date,district,cumulative_under_observation,cumulative_under_home_isolation,cumulative_hospitalized,new_hospitalized
17-08-2020,Thiruvananthapuram,23147,20287,2860,286
17-08-2020,Kollam,8114,7349,765,81
17-08-2020,Pathanamthitta,5080,4776,304,58
17-08-2020,Alappuzha,4195,3930,265,29
17-08-2020,Kottayam,10202,9604,598,107
17-08-2020,Idukki,7547,6157,1390,86
17-08-2020,Ernakulam,15015,13906,1109,73
17-08-2020,Thrissur,9135,8512,623,148
17-08-2020,Palakkad,13693,12825,868,51
17-08-2020,Malappuram,36233,34431,1802,184
17-08-2020,Kozhikode,14720,13372,1348,249
17-08-2020,Wayanad,2761,2374,387,29
17-08-2020,Kannur,9079,8536,543,46
17-08-2020,Kasaragod,5108,4273,835,28
17-08-2020,total,164029,150332,13697,1455
18-08-2020,Thiruvananthapuram,22553,19741,2812,338
18-08-2020,Kollam,8537,7704,833,76
18-08-2020,Pathanamthitta,5386,5087,299,31
18-08-2020,Alappuzha,4270,4041,229,26
18-08-2020,Kottayam,9377,8785,592,91
18-08-2020,Idukki,7705,6287,1418,139
18-08-2020,Ernakulam,15576,14415,1161,157
18-08-2020,Thrissur,8891,8257,634,55
18-08-2020,Palakkad,13768,12880,888,112
18-08-2020,Malappuram,37531,35758,1773,184
18-08-2020,Kozhikode,14922,13606,1316,165
18-08-2020,Wayanad,2784,2424,360,42
18-08-2020,Kannur,9171,8588,583,97
18-08-2020,Kasaragod,5093,4358,735,70
18-08-2020,total,165564,151931,13633,1583
19-08-2020,Thiruvananthapuram,23282,20466,2816,425
19-08-2020,Kollam,8951,8182,769,56
19-08-2020,Pathanamthitta,5267,4922,345,65
19-08-2020,Alappuzha,7700,6242,1458,126
19-08-2020,Kottayam,9667,9036,631,100
19-08-2020,Idukki,4215,3979,236,13
19-08-2020,Ernakulam,17137,15893,1244,225
19-08-2020,Thrissur,9010,8288,722,125
19-08-2020,Palakkad,14142,13295,847,69
19-08-2020,Malappuram,38702,36993,1709,192
19-08-2020,Kozhikode,14720,13408,1312,116
19-08-2020,Wayanad,2634,2263,371,23
19-08-2020,Kannur,9141,8494,647,157
19-08-2020,Kasaragod,5119,4467,652,38
19-08-2020,total,169687,155928,13759,1730
20-08-2020,Thiruvananthapuram,23987,20899,3088,493
20-08-2020,Kollam,9169,8378,791,34
20-08-2020,Pathanamthitta,5390,4979,411,111
20-08-2020,Alappuzha,7926,6294,1632,326
20-08-2020,Kottayam,10322,9529,793,202
20-08-2020,Idukki,4210,3913,297,70
