date,district,total_active_cases_till_yesterday,new_cases_today,discharged_cases_today,deaths_today,total_active_cases_including_today,total_indegenous_cases_till_yesterday,indegenous_cases_today,total_imported_cases_till_yesterday,imported_cases_today,total_cases_till_today,total_cases_discharged,total_deaths
23-07-2020,ariyalur,134,48,24,0,158,695,48,16,0,759,598,3
23-07-2020,chengalpattu,2542,375,245,4,2668,10508,375,5,0,10888,8006,214
23-07-2020,chennai,13947,1336,1703,11,13569,89542,1336,22,0,90900,75384,1947
23-07-2020,coimbatore,1236,238,198,6,1270,2501,238,38,0,2777,1479,28
23-07-2020,cuddalore,517,79,40,3,553,1828,76,163,3,2070,1496,21
23-07-2020,dharmapuri,244,19,6,0,257,347,14,139,5,505,246,2
23-07-2020,dindigul,898,107,68,6,931,1762,107,61,0,1930,971,28
23-07-2020,erode,120,20,5,0,135,503,19,16,1,539,396,8
23-07-2020,kallakurichi,670,134,72,0,732,2121,132,396,2,2651,1903,16
23-07-2020,kancheepuram,2554,330,231,5,2648,5677,330,3,0,6010,3282,80
23-07-2020,kanyakumari,1725,137,0,2,1860,2635,137,86,0,2858,976,22
23-07-2020,karur,105,27,4,0,128,252,27,44,0,323,186,9
23-07-2020,krishnagiri,243,31,18,1,255,455,27,65,4,551,283,13
23-07-2020,madurai,3020,274,450,8,2836,8581,274,129,0,8984,5965,183
23-07-2020,nagapattinam,194,4,3,0,195,419,3,61,1,484,288,1
23-07-2020,namakkal,194,40,19,1,214,349,38,43,2,432,215,3
23-07-2020,nilgiris,247,59,92,0,214,522,59,6,0,587,371,2
23-07-2020,perambalur,58,7,9,1,55,246,7,2,0,255,197,3
23-07-2020,pudukottai,610,111,76,0,645,1163,109,25,2,1299,637,17
23-07-2020,ramanathapuram,768,100,105,0,763,2559,100,133,0,2792,1976,53
23-07-2020,ranipet,1284,214,37,1,1460,2739,214,48,0,3001,1520,21
23-07-2020,salem,846,47,177,1,715,2224,42,338,5,2609,1874,20
23-07-2020,sivagangai,888,64,30,1,921,1701,64,59,0,1824,872,31
23-07-2020,tenkasi,891,68,0,4,955,1296,68,48,0,1412,450,7
23-07-2020,thanjavur,762,122,44,1,839,1401,122,19,0,1542,686,17
23-07-2020,theni,1307,188,71,3,1421,2873,188,26,0,3087,1625,41
23-07-2020,thirupathur,198,74,15,0,257,569,68,85,6,728,465,6
23-07-2020,thiruvallur,3738,416,254,8,3892,10203,416,8,0,10627,6547,188
23-07-2020,thiruvannamalai,1916,193,86,3,2020,4103,192,341,1,4637,2575,42
23-07-2020,thiruvarur,374,1,20,0,355,1023,1,37,0,1061,705,1
23-07-2020,thoothukudi,2232,415,175,0,2472,4034,415,207,0,4656,2158,26
23-07-2020,tirunelveli,1080,246,5,3,1318,2577,246,396,0,3219,1886,15
23-07-2020,tiruppur,277,33,15,1,294,559,33,8,0,600,300,6
23-07-2020,trichy,1307,190,146,6,1345,2673,190,9,0,2872,1477,50
23-07-2020,vellore,1439,117,243,3,1310,4321,116,34,1,4472,3123,39
23-07-2020,villupuram,710,112,70,2,750,2374,112,127,0,2613,1832,31
23-07-2020,virudhunagar,2072,480,312,3,2237,4184,480,103,0,4767,2493,37
23-07-2020,airport surveillance (international),307,9,99,0,217,0,0,742,9,751,533,1
23-07-2020,airport surveillance (domestic),97,7,41,0,63,0,0,461,7,468,405,0
23-07-2020,railway surveillance,14,0,2,0,12,0,0,424,0,424,412,0
24-07-2020,ariyalur,158,37,34,1,160,743,37,16,0,796,632,4
24-07-2020,chengalpattu,2669,419,218,4,2866,10884,419,5,0,11308,8224,218
24-07-2020,chennai,13576,1299,1110,22,13743,90885,1299,22,0,92206,76494,1969
24-07-2020,coimbatore,1270,189,180,4,1275,2739,189,38,0,2966,1659,32
24-07-2020,cuddalore,554,91,36,0,609,1905,91,166,0,2162,1532,21
24-07-2020,dharmapuri,257,36,7,0,286,361,29,144,7,541,253,2
24-07-2020,dindigul,933,80,479,3,531,1871,80,61,0,2012,1450,31
24-07-2020,erode,135,25,20,0,140,522,24,17,1,564,416,8
24-07-2020,kallakurichi,735,179,100,0,814,2256,179,398,0,2833,2003,16
24-07-2020,kancheepuram,2650,349,609,4,2386,6009,349,3,0,6361,3891,84
24-07-2020,kanyakumari,1860,266,347,5,1774,2772,266,86,0,3124,1323,27
24-07-2020,karur,128,5,3,0,130,279,5,44,0,328,189,9
24-07-2020,krishnagiri,255,82,31,1,305,482,72,69,10,633,314,14
24-07-2020,madurai,2828,326,483,10,2661,8847,326,129,0,9302,6448,193
24-07-2020,nagapattinam,188,46,13,1,220,415,45,62,1,523,301,2
