date,travel_mode,passengers,positive_cases
13-12-2021,airport_domestic,6036800,1085
13-12-2021,airport_international,592942,1035
13-12-2021,train,35374,428
13-12-2021,road_own,354843,6145
13-12-2021,road_bus,41416,
13-12-2021,sea_port,2447,34
13-12-2021,grand total,7063822,8727
11-12-2021,airport_domestic,5991282,1085
11-12-2021,airport_international,589941,1034
11-12-2021,train,35374,428
11-12-2021,road_own,354835,6145
11-12-2021,road_bus,41416,
11-12-2021,sea_port,2447,34
11-12-2021,grand total,7015295,8726
10-12-2021,airport_domestic,5969348,1085
10-12-2021,airport_international,588182,1034
10-12-2021,train,35374,428
10-12-2021,road_own,354831,6145
10-12-2021,road_bus,41416,
10-12-2021,sea_port,2447,34
10-12-2021,grand total,6991598,8726
09-12-2021,airport_domestic,5946920,1085
09-12-2021,airport_international,585690,1034
09-12-2021,train,35374,428
09-12-2021,road_own,354826,6144
09-12-2021,road_bus,41416,
09-12-2021,sea_port,2447,34
09-12-2021,grand total,6966673,8725
08-12-2021,airport_domestic,5925461,1085
08-12-2021,airport_international,584023,1034
08-12-2021,train,35374,428
08-12-2021,road_own,354821,6142
08-12-2021,road_bus,41416,
08-12-2021,sea_port,2447,34
08-12-2021,grand total,6943542,8723
07-12-2021,airport_domestic,5905058,1085
07-12-2021,airport_international,581903,1034
07-12-2021,train,35374,428
07-12-2021,road_own,354817,6142
07-12-2021,road_bus,41416,
07-12-2021,sea_port,2447,34
07-12-2021,grand total,6921015,8723
06-12-2021,airport_domestic,5884347,1085
06-12-2021,airport_international,579934,1034
06-12-2021,train,35374,428
06-12-2021,road_own,354817,6140
06-12-2021,road_bus,41416,
06-12-2021,sea_port,2447,34
06-12-2021,grand total,6898335,8721
05-12-2021,airport_domestic,5862117,1085
05-12-2021,airport_international,577967,1034
05-12-2021,train,35374,428
05-12-2021,road_own,354817,6140
05-12-2021,road_bus,41416,
05-12-2021,sea_port,2447,34
05-12-2021,grand total,6874138,8721
04-12-2021,airport_domestic,5840780,1085
04-12-2021,airport_international,575752,1034
04-12-2021,train,35374,428
04-12-2021,road_own,354811,6140
04-12-2021,road_bus,41416,
04-12-2021,sea_port,2447,34
04-12-2021,grand total,6850580,8721
03-12-2021,airport_domestic,5821202,1085
03-12-2021,airport_international,573939,1033
03-12-2021,train,35374,428
03-12-2021,road_own,354805,6136
03-12-2021,road_bus,41416,
03-12-2021,sea_port,2447,34
03-12-2021,grand total,6829183,8716
02-12-2021,airport_domestic,5801391,1085
02-12-2021,airport_international,571183,1032
02-12-2021,train,35374,428
02-12-2021,road_own,354797,6130
02-12-2021,road_bus,41416,
02-12-2021,sea_port,2447,34
02-12-2021,grand total,6806608,8709
01-12-2021,airport_domestic,5782548,1085
01-12-2021,airport_international,569846,1032
01-12-2021,train,35374,428
01-12-2021,road_own,354795,6127
01-12-2021,road_bus,41416,
01-12-2021,sea_port,2447,34
01-12-2021,grand total,6786426,8706
30-11-2021,airport_domestic,5763117,1085
30-11-2021,airport_international,569279,1032
30-11-2021,train,35374,428
30-11-2021,road_own,354795,6119
30-11-2021,road_bus,41416,
30-11-2021,sea_port,2447,34
30-11-2021,grand total,6766428,8698
29-11-2021,airport_domestic,5743346,1085
29-11-2021,airport_international,568796,1032
29-11-2021,train,35374,428
29-11-2021,road_own,354794,6117
29-11-2021,road_bus,41416,
29-11-2021,sea_port,2447,34
29-11-2021,grand total,6746173,8696
28-11-2021,airport_domestic,5723109,1085
28-11-2021,airport_international,568789,1032
28-11-2021,train,35374,428
28-11-2021,road_own,354794,6117
28-11-2021,road_bus,41416,
28-11-2021,sea_port,2447,34
28-11-2021,grand total,6725929,8696
27-11-2021,airport_domestic,5702320,1085
27-11-2021,airport_international,567640,1032
27-11-2021,train,35374,428
27-11-2021,road_own,354792,6117
27-11-2021,road_bus,41416,
27-11-2021,sea_port,2447,34
27-11-2021,grand total,6703989,8696
26-11-2021,airport_domestic,5682496,1085
26-11-2021,airport_international,566711,1032
26-11-2021,train,35374,428
26-11-2021,road_own,354791,6117
26-11-2021,road_bus,41416,
26-11-2021,sea_port,2447,34
26-11-2021,grand total,6683235,8696
25-11-2021,airport_domestic,5662374,1085
25-11-2021,airport_international,565719,1032
25-11-2021,train,35374,428
25-11-2021,road_own,354788,6117
25-11-2021,road_bus,41416,
25-11-2021,sea_port,2447,34
25-11-2021,grand total,6662118,8696
24-11-2021,airport_domestic,5641759,1085
24-11-2021,airport_international,565276,1032
24-11-2021,train,35374,428
24-11-2021,road_own,354783,6117
24-11-2021,road_bus,41416,
24-11-2021,sea_port,2447,34
24-11-2021,grand total,6641055,8696
23-11-2021,airport_domestic,5621032,1085
23-11-2021,airport_international,564751,1032
23-11-2021,train,35374,428
23-11-2021,road_own,354781,6117
23-11-2021,road_bus,41416,
23-11-2021,sea_port,2447,34
23-11-2021,grand total,6619801,8696
22-11-2021,airport_domestic,5598376,1085
22-11-2021,airport_international,564293,1032
22-11-2021,train,35374,428
22-11-2021,road_own,354779,6117
22-11-2021,road_bus,41416,
22-11-2021,sea_port,2447,34
22-11-2021,grand total,6596685,8696
21-11-2021,airport_domestic,5576255,1085
21-11-2021,airport_international,563853,1032
21-11-2021,train,35374,428
21-11-2021,road_own,354776,6117
21-11-2021,road_bus,41416,
21-11-2021,sea_port,2447,34
21-11-2021,grand total,6574121,8696
20-11-2021,airport_domestic,5556409,1085
20-11-2021,airport_international,563230,1032
20-11-2021,train,35374,428
20-11-2021,road_own,354771,6117
20-11-2021,road_bus,41416,
20-11-2021,sea_port,2447,34
20-11-2021,grand total,6553647,8696
19-11-2021,airport_domestic,5538101,1085
19-11-2021,airport_international,562310,1032
19-11-2021,train,35374,428
19-11-2021,road_own,354770,6117
19-11-2021,road_bus,41416,
19-11-2021,sea_port,2447,34
19-11-2021,grand total,6534418,8696
18-11-2021,airport_domestic,5520011,1085
18-11-2021,airport_international,561723,1032
18-11-2021,train,35374,428
18-11-2021,road_own,354765,6117
18-11-2021,road_bus,41416,
18-11-2021,sea_port,2447,34
18-11-2021,grand total,6515736,8696
17-11-2021,airport_domestic,5502145,1085
17-11-2021,airport_international,561200,1032
17-11-2021,train,35374,428
17-11-2021,road_own,354760,6117
17-11-2021,road_bus,41416,
17-11-2021,sea_port,2447,34
17-11-2021,grand total,6497342,8696
16-11-2021,airport_domestic,5484441,1085
16-11-2021,airport_international,560609,1032
16-11-2021,train,35374,428
16-11-2021,road_own,354756,6117
16-11-2021,road_bus,41416,
16-11-2021,sea_port,2447,34
16-11-2021,grand total,6479043,8696
15-11-2021,airport_domestic,5465250,1085
15-11-2021,airport_international,560237,1032
15-11-2021,train,35374,428
15-11-2021,road_own,354755,6117
15-11-2021,road_bus,41416,
15-11-2021,sea_port,2447,34
15-11-2021,grand total,6459479,8696
14-11-2021,airport_domestic,5445049,1085
14-11-2021,airport_international,559711,1030
14-11-2021,train,35374,428
14-11-2021,road_own,354750,6117
14-11-2021,road_bus,41416,
14-11-2021,sea_port,2447,34
14-11-2021,grand total,6438747,8694
13-11-2021,airport_domestic,5427040,1085
13-11-2021,airport_international,558790,1030
13-11-2021,train,35374,428
13-11-2021,road_own,354747,6117
13-11-2021,road_bus,41416,
13-11-2021,sea_port,2447,34
13-11-2021,grand total,6419814,8694
12-11-2021,airport_domestic,5410645,1085
12-11-2021,airport_international,558660,1030
12-11-2021,train,35374,428
12-11-2021,road_own,354746,6117
12-11-2021,road_bus,41416,
12-11-2021,sea_port,2447,34
12-11-2021,grand total,6403288,8694
11-11-2021,airport_domestic,5400904,1085
