date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate
01-09-2020,2734,127697,2325,95162,9,836,24598,0.65,1.77,74.5,76.94
02-09-2020,2892,130589,2240,97402,10,846,25271,0.64,1.76,74.5,77.02
03-09-2020,2817,133406,2611,100013,10,856,25293,0.64,1.75,74.9,77.09
04-09-2020,2478,135884,2011,102024,10,866,25730,0.63,1.74,75,77.14
05-09-2020,2511,138395,2579,104603,11,877,25729,0.63,1.73,75.5,77.24
06-09-2020,2574,140969,2927,107530,9,886,25449,0.62,1.71,76.2,77.29
08-09-2020,2392,145163,2346,112587,11,906,24579,0.62,1.69,77.5,77.54
09-09-2020,2479,147642,2485,115072,10,916,24741,0.62,1.69,77.9,77.76
10-09-2020,2534,150176,2071,117143,11,927,25066,0.61,1.68,78,77.83
11-09-2020,2426,152602,2324,119467,13,940,25240,0.61,1.67,78.2,77.63
12-09-2020,2278,154880,2458,121925,10,950,25050,0.61,1.66,78.7,77.75
13-09-2020,2216,157096,2603,124528,11,961,24674,0.61,1.65,79.2,77.84
14-09-2020,1417,158513,2479,127007,13,974,23639,0.61,1.64,80.1,77.87
15-09-2020,2058,160571,2180,129187,10,984,23534,0.61,1.64,80.45,78.26
16-09-2020,2273,162844,2260,131447,12,996,23569,0.61,1.63,80.71,78.52
17-09-2020,2159,165003,2108,133555,9,1005,23674,0.6,1.62,80.94,78.59
18-09-2020,2043,167046,1802,135357,11,1016,24081,0.6,1.61,81.02,78.84
19-09-2020,2123,169169,2151,137508,9,1025,24070,0.6,1.61,81.28,79.26
20-09-2020,2137,171306,2192,139700,8,1033,24019,0.6,1.6,81.54,79.65
21-09-2020,1302,172608,2230,141930,9,1042,22990,0.6,1.6,82.22,79.87
22-09-2020,2166,174774,2143,144073,10,1052,22620,0.6,1.6,82.43,80.82
23-09-2020,2296,177070,2062,146135,10,1062,23527,0.59,1.59,82.52,81.23
24-09-2020,2176,179246,2004,148139,8,1070,23929,0.59,1.59,82.64,81.42
25-09-2020,2381,181627,2021,150160,10,1080,24592,0.59,1.58,82.67,81.71
26-09-2020,2239,183866,2281,152441,11,1091,24683,0.59,1.58,82.9,81.98
27-09-2020,1967,185833,2058,154499,9,1100,24607,0.59,1.57,83.13,82.39
28-09-2020,1378,187211,1932,156431,7,1107,24054,0.59,1.57,83.55,82.53
29-09-2020,2072,189283,2259,158690,9,1116,23934,0.58,1.57,83.83,82.88
30-09-2020,2103,191386,2243,160933,11,1127,23880,0.58,1.56,84.08,83.27
01-10-2020,2214,193600,2474,163407,8,1135,23702,0.58,1.56,84.4,83.51
02-10-2020,2009,195609,2437,165844,10,1145,23372,0.58,1.6,84.78,83.5
03-10-2020,1718,197327,2002,167846,8,1153,23224,0.58,1.6,85.05,83.8
04-10-2020,1949,199276,2366,170212,10,1163,22816,0.58,1.6,85.41,84.1
05-10-2020,1335,200611,2176,172388,8,1171,22134,0.58,1.5,85.93,84.1
06-10-2020,1983,202594,2381,174769,10,1181,21784,0.58,1.6,86.26,84.7
07-10-2020,2154,204748,2239,177008,8,1189,21864,0.58,1.5,86.45,84.9
08-10-2020,1896,206644,2067,179075,12,1201,21724,0.58,1.5,86.65,85.2
09-10-2020,1891,208535,1878,180953,7,1208,21801,0.57,1.5,86.77,85.5
10-10-2020,1811,210346,2072,183025,9,1217,21551,0.57,1.5,87.01,85.7
11-10-2020,1717,212063,2103,185128,5,1222,21209,0.57,1.5,87.29,85.9
12-10-2020,1021,213084,2214,187342,6,1228,20036,0.57,1.5,87.91,86.2
13-10-2020,1708,214792,2009,189351,5,1233,19748,0.57,1.5,88.15,86.8
14-10-2020,1446,216238,1918,191269,8,1241,19413,0.57,1.5,88.45,87
15-10-2020,1432,217670,1949,193218,8,1249,19084,0.57,1.5,88.76,87.3
16-10-2020,1554,219224,1435,194653,7,1256,19251,0.57,1.5,88.79,87.5
17-10-2020,1451,220675,1983,196636,9,1265,18905,0.57,1.5,89.1,87.7
18-10-2020,1436,222111,2154,198790,6,1271,18279,0.57,1.5,89.5,88
19-10-2020,948,223059,1896,200686,4,1275,17432,0.57,1.5,89.96,88.2
20-10-2020,1486,224545,1891,202577,7,1282,17208,0.57,1.5,90.21,88.6
21-10-2020,1579,226124,1811,204388,5,1287,17071,0.56,1.5,90.38,88.8
22-10-2020,1456,227580,1717,206105,5,1292,16977,0.56,1.5,90.56,89.2
23-10-2020,1421,229001,1221,207326,6,1298,17214,0.56,1.5,90.53,89.5
24-10-2020,1273,230274,1708,209034,5,1303,16809,0.56,1.5,90.77,89.7
25-10-2020,978,231252,1446,210480,4,1307,16430,0.56,1.5,91.01,89.9
