date,total_positives,total_asymptomatic,perc_asymptomatic,total_symptomatic,perc_symptomatic
2020-09-23,177070,123949,70,53121,30
2020-10-06,202594,141816,70,60778,30
2020-10-07,204748,143324,70,61424,30
2020-10-08,206644,144651,70,61993,30
2020-10-09,208535,145974,70,62561,30
2020-10-10,210346,147242,70,63104,30
2020-10-11,212063,148444,70,63619,30
2020-10-12,213084,149159,70,63925,30
2020-10-13,214792,150354,70,64438,30
2020-10-14,216238,151367,70,64871,30
2020-10-15,217670,152369,70,65301,30
2020-10-16,219224,153457,70,65767,30
2020-10-17,220675,154472,70,66203,30
2020-10-19,223059,156141,70,66918,30
2020-10-21,226124,158287,70,67837,30
2020-10-22,227580,159306,70,68274,30
2020-10-23,229001,160301,70,68700,30
2020-10-24,230274,161192,70,69082,30
2020-10-25,231252,161876,70,69376,30
2020-10-26,231834,162284,70,69550,30
2020-10-27,232671,162870,70,69801,30
2020-10-28,234152,163906,70,70246,30
2020-10-29,235656,164959,70,70697,30
2020-10-30,237187,166031,70,71156,30
2020-11-01,240048,168034,70,72014,30
2020-11-02,240970,168679,70,72291,30
2020-11-03,242506,169754,70,72752,30
2020-11-04,244143,170900,70,73243,30
2020-11-05,245682,171977,70,73705,30
2020-11-06,247284,173099,70,74185,30
2020-11-07,248891,174224,70,74667,30
2020-11-08,250331,175232,70,75099,30
2020-11-09,251188,175832,70,75356,30
2020-11-10,252455,176719,70,75736,30
2020-11-11,253651,177556,70,76095,30
2020-11-12,254666,178267,70,76399,30
2020-11-13,255663,178964,70,76699,30
2020-11-14,256713,179699,70,77014,30
2020-11-15,257374,180162,70,77212,30
2020-11-16,257876,180513,70,77363,30
2020-11-17,258828,181179,70,77649,30
2020-11-18,259776,181843,70,77933,30
2020-11-19,260834,182584,70,78250,30
2020-11-20,261728,183210,70,78518,30
2020-11-21,262653,183857,70,78796,30
2020-11-22,263526,184468,70,79058,30
2020-11-23,264128,184890,70,79238,30
2020-11-24,265049,185534,70,79515,30
2020-11-25,266042,186229,70,79812,30
2020-11-26,266904,186833,70,80071,30
2020-11-27,267665,187366,70,80299,30
2020-11-28,268418,187893,70,80525,30
2020-11-29,269223,188456,70,80767,30
2020-11-30,269816,188871,70,80945,30
2020-12-10,275904,193132,70,82772,30
2020-12-11,276516,193561,70,82955,30
2020-12-12,277151,194006,70,83145,30
2020-12-13,277724,194407,70,83317,30
2020-12-14,278108,194676,70,83432,30
2020-12-15,278599,195019,70,83579,30
2020-12-16,279135,195394,70,83741,30
2020-12-17,279644,195751,70,83893,30
2020-12-18,280195,196136,70,84059,30
2020-12-19,280822,196575,70,84247,30
2020-12-20,281414,196990,70,84424,30
2020-12-21,281730,197211,70,84519,30
2020-12-22,282347,197643,70,84704,30
2020-12-23,282982,198087,70,84894,30
2020-12-24,283556,198489,70,85067,30
2020-12-25,284074,198851,70,85222,30
2020-12-26,284391,199074,70,85317,30
2020-12-27,284863,199404,70,85459,30
2020-12-28,285068,199547,70,85521,30
2020-12-29,285465,199826,70,85639,30
2020-12-30,285939,200158,70,85781,30
2021-01-01,286815,200771,70,86044,30
2021-01-02,287108,200976,70,86132,30
2021-01-03,287502,201251,70,86251,30
2021-01-04,287740,201418,70,86322,30
2021-01-05,287993,201595,70,86398,30
2021-01-06,288410,201887,70,86523,30
2021-01-07,288789,202152,70,86637,30
2021-01-08,289135,202394,70,86741,30
2021-01-09,289433,202603,70,86830,30
2021-01-10,289784,202848,70,86936,30
2021-01-11,290008,203006,70,87002,30
2021-01-12,290309,203216,70,87093,30
2021-01-13,290640,203448,70,87192,30
2021-01-14,290916,203641,70,87275,30
2021-01-15,291118,203782,70,87336,30
2021-01-16,291367,203957,70,87410,30
2021-01-17,291666,204166,70,87500,30
2021-01-18,291872,204310,70,87562,30
2021-01-19,292128,204489,70,87639,30
2021-01-20,292395,204677,70,87718,30
2021-01-21,292621,204835,70,87786,30
2021-01-22,292835,204984,70,87851,30
2021-01-23,293056,205139,70,87917,30
2021-01-24,293253,205277,70,87976,30
2021-01-25,293401,205381,70,88020,30
2021-01-26,293590,205513,70,88077,30
2021-01-27,293737,205616,70,88121,30
2021-01-28,293923,205746,70,88177,30
2021-01-29,294120,205884,70,88236,30
2021-02-01,294587,206211,70,88376,30
2021-02-02,294739,206317,70,88422,30
2021-02-03,294924,206447,70,88477,30
2021-02-04,295101,206571,70,88530,30
2021-02-05,295270,206689,70,88581,30
2021-02-06,295431,206802,70,88629,30
2021-02-07,295581,206907,70,88674,30
2021-02-08,295682,206977,70,88705,30
2021-02-09,295831,207081,70,88750,30
2021-02-10,295988,207191,70,88797,30
2021-02-11,296134,207294,70,88840,30
2021-02-12,296277,207394,70,88883,30
2021-02-13,296428,207499,70,88929,30
2021-02-14,296574,207602,70,88972,30
2021-02-15,296673,207671,70,89002,30
2021-02-16,296802,207762,70,89040,30
2021-02-17,296950,207865,70,89085,30
2021-02-18,297113,207979,70,89134,30
2021-02-19,297278,208095,70,89183,30
2021-02-26,298453,208917,70,89536,30
2021-02-27,298631,209042,70,89589,30
2021-03-01,298923,209246,70,89677,30
2021-03-02,299086,209360,70,89726,30
2021-03-03,299254,209478,70,89776,30
2021-03-04,299406,209584,70,89822,30
2021-03-05,299572,209700,70,89872,30
2021-03-06,299742,209819,70,89923,30
2021-03-07,299900,209930,70,89970,30
2021-03-08,300011,210007,70,90004,30
2021-03-09,300153,210107,70,90046,30
2021-03-10,300342,210239,70,90103,30
2021-03-11,300536,210375,70,90161,30
2021-03-12,300717,210502,70,90215,30
2021-03-13,300933,210653,70,90280,30
2021-03-14,301161,210812,70,90349,30
2021-03-15,301318,210923,70,90395,30
2021-03-16,301522,211065,70,90457,30
2021-03-17,301769,211238,70,90531,30
2021-03-18,302047,211433,70,90614,30
2021-03-19,302360,211652,70,90708,30
2021-03-20,302724,211907,70,90817,30
2021-03-21,303118,212183,70,90935,30
2021-03-22,303455,212419,70,91036,30
2021-03-23,303867,212707,70,91160,30
2021-03-24,304298,213009,70,91289,30
2021-03-25,304791,213354,70,91437,30
2021-03-26,305309,213716,70,91593,30
2021-03-27,305804,214063,70,91741,30
2021-03-28,306339,214437,70,91902,30
2021-03-29,306742,214719,70,92023,30
2021-03-30,307205,,80,,20
2021-03-31,307889,,79.1,,20.9
2021-04-01,308776,,79.9,,20.1
2021-04-02,309741,,78.1,,21.9
2021-04-03,310819,,79.5,,20.5
2021-04-04,312140,,78.5,,21.5
2021-04-05,313237,,79.8,,20.2
2021-04-06,314735,,80.1,,19.9
2021-04-07,316649,,78.9,,21.1
2021-04-08,318704,,79.2,,20.8
2021-04-09,321182,,80.2,,19.8
2021-04-10,324091,,79.5,,20.5
2021-04-11,327278,,80.1,,19.9
2021-04-12,329529,,79.8,,20.2
2021-04-13,332581,,80.8,,19.2
2021-04-14,334738,,79.8,,20.2
2021-04-15,338045,,80.8,,19.2
2021-04-16,341885,,80.5,,19.5
2021-04-17,346331,,80.9,,19.1
2021-04-18,351424,,80.5,,19.8
2021-04-19,355433,,80.9,,19.1
2021-04-20,361359,,81.1,,18.9
2021-04-21,367901,,80.1,,19.9
2021-04-22,373468,,79.5,,20.5
2021-04-23,379494,,80.5,,19.5
2021-04-24,387106,,80.1,,19.9
2021-04-25,395232,,79.5,,20.5
2021-04-26,401783,,79.9,,20.1
2021-04-27,411905,,79.5,,20.5
2021-04-28,419966,,80.1,,19.9
2021-04-29,427960,,80.3,,19.7
2021-04-30,435606,,79.8,,20.2
2021-05-02,450790,,79.8,,20.2
2021-05-03,456485,,79.5,,20.5
2021-05-04,463361,,79.8,,20.2
2021-05-05,469722,,80.1,,19.9
2021-05-06,475748,,80,,20
2021-05-07,481640,,79.8,,20.2
2021-05-08,492385,,79.8,,20.2
2021-05-09,497361,,79.9,,20.1
2021-05-10,502187,,79.5,,20.5
2021-05-11,506988,,79.9,,20.1
2021-05-12,511711,,79.5,,20.5
2021-05-13,516404,,79.8,,20.2
2021-05-14,520709,,79.9,,20.1
2021-05-15,525007,,79.9,,20.1
2021-05-16,528823,,79.8,,20.2
2021-05-17,532784,,79.9,,20.1
2021-05-18,536766,,79.8,,20.2
2021-05-19,540603,,79.7,,20.3
2021-05-20,544263,,79.8,,20.2
2021-05-21,547727,,79.9,,20.1
2021-05-22,551035,,79.8,,20.2
2021-05-23,553277,,79.9,,20.1
2021-05-24,556320,,79.9,,20.1
2021-05-25,560141,,79.8,,20.2
2021-05-26,563903,,79.9,,20.1
2021-05-27,567517,,79.8,,20.2
2021-05-28,571044,,79.9,,20.1
2021-05-29,574026,,79.9,,20.1
2021-05-30,575827,,79.9,,20.1
2021-05-31,578351,,79.7,,20.3
2021-06-01,580844,,79.8,,20.2
