date,cases_new,tests_today,tests_total,cases_total,discharged_total,deaths_total,active_cases,vax_today
2020-05-01,,185,6674,,,,,
2020-05-02,,188,6961,,,,,
2020-05-03,,137,7169,,,,,
2020-05-04,,161,7397,,,,,
2020-05-05,,121,7625,,,,,
2020-05-06,,136,7905,,,,,
2020-05-07,,192,8306,,,,,
2020-05-08,,105,8529,,,,,
2020-05-09,,190,8799,,,,,
2020-05-10,,93,8987,,,,,
2020-05-11,,149,9229,,,,,
2020-05-12,,320,9740,,,,,
2020-05-13,,251,10011,,,,,
2020-05-14,,263,10443,,,,,
2020-05-15,,495,11194,,,,,
2020-05-16,,504,11701,,,,,
2020-05-17,,513,12254,,,,,
2020-05-18,,572,12898,,,,,
2020-05-19,,735,13662,,,,,
2020-05-20,,706,14426,,,,,
2020-05-21,,829,15392,,,,,
2020-05-22,,1280,16833,,,,,
2020-05-23,,1268,18016,,,,,
2020-05-24,,1062,19679,,,,,
2020-05-25,,1044,20804,332,58,4,267,
2020-05-26,,737,21751,400,64,4,329,
2020-05-27,,924,22557,438,79,4,352,
2020-05-28,,1004,23898,493,79,4,407,
2020-05-29,,1352,25380,602,89,5,505,
2020-05-30,,1152,26755,727,102,5,617,
2020-05-31,,1485,28657,802,102,5,692,
2020-06-01,,953,29843,929,200,6,720,
2020-06-02,,1218,31101,999,243,7,746,
2020-06-03,,1044,32339,1066,259,8,795,
2020-06-04,,550,33022,1145,286,10,845,
2020-06-05,,498,33804,1199,309,11,874,
2020-06-06,,446,34334,1245,422,11,807,
2020-06-07,,501,34771,1341,498,13,824,
2020-06-08,,545,36700,1380,663,13,697,
2020-06-09,,723,37784,1488,749,13,719,
2020-06-17,43,1493,49462,1985,1230,25,717,
2020-06-18,57,1038,50796,2079,1262,26,777,
2020-06-19,25,1315,53155,2127,1423,26,663,
2020-06-20,101,1279,54512,2278,1433,27,803,
2020-06-21,23,1124,55819,2324,1486,27,796,
2020-06-22,57,769,56724,2401,1511,27,848,
2020-06-23,103,1607,58338,2505,1541,29,920,
2020-06-24,33,1115,59616,2568,1653,35,863,
2020-06-25,20,1249,61165,2642,1745,35,845,
2020-06-26,34,1293,62500,2725,1822,37,848,
2020-06-27,66,1257,63960,2791,1912,37,824,
2020-06-28,32,959,64984,2823,2018,38,749,
2020-06-29,8,1412,66396,2831,2111,39,659,
2020-06-30,51,2193,69024,2881,2231,41,582,
2020-07-01,66,951,70032,2947,2317,41,562,
2020-07-02,37,1143,72104,2984,2405,42,510,
2020-07-03,64,1224,73738,3048,2481,42,498,
2020-07-04,45,1021,76878,3093,2502,42,522,
2020-07-05,31,838,78306,3124,2524,42,530,
2020-07-06,37,1175,79605,3161,2586,42,505,
2020-07-07,69,1632,81447,3230,2621,43,538,
2020-07-08,28,1968,83900,3258,2650,46,534,
2020-07-09,47,2097,86458,3305,2672,46,558,
2020-07-10,68,2114,89179,3373,2706,46,592,
2020-07-11,45,2009,92198,3417,2718,46,623,
2020-07-12,120,1739,94121,3537,2786,47,674,
2020-07-13,71,1867,96123,3608,2856,49,671,
2020-07-14,78,2595,98878,3686,2867,50,736,
2020-07-15,104,2985,102529,3785,2948,50,754,
2020-07-17,120,3617,113846,4102,3021,51,996,
2020-07-18,174,2653,116694,4276,3081,52,1108,
2020-07-19,239,2573,119345,4515,3116,52,1311,
2020-07-20,127,3625,123000,4642,3212,55,1338,
2020-07-21,210,3875,127098,4849,3297,55,1459,
2020-07-22,451,2966,129783,5300,3349,57,1856,
2020-07-24,272,3070,135447,5717,3441,62,2176,
2020-07-25,244,3465,139229,5961,3495,63,2365,
2020-07-26,143,2379,141431,6104,3566,63,2437,
2020-07-27,224,3349,145627,6328,3675,66,2549,
2020-07-28,259,3647,150065,6587,3720,70,2759,
2020-07-29,279,3780,154984,6866,3811,72,2945,
2020-07-30,199,5285,163683,7065,3996,76,2955,
2020-07-31,118,3964,168113,7183,4168,80,2897,
2020-08-01,264,4134,172477,7447,4330,83,2996,
2020-08-02,146,3083,175881,7593,4437,86,3032,
2020-08-03,207,2668,178595,7800,4538,90,3134,
2020-08-04,208,3964,182335,8008,4847,95,3028,
2020-08-05,246,4779,186966,8254,5233,98,2885,
2020-08-06,298,3932,190898,8552,5427,98,2989,
2020-08-07,278,5279,199081,8901,5731,112,3020,
2020-08-08,501,4743,205565,9402,5963,117,3283,
2020-08-09,230,4062,209627,9632,6134,125,3334,
2020-08-10,389,5140,218838,10021,6301,134,3547,
2020-08-11,411,5114,225618,10432,6470,136,3787,
2020-08-12,439,5121,232259,10886,6687,140,4020,
2020-08-13,416,6491,242150,11302,7014,143,4103,
2020-08-14,313,7186,251236,11615,7502,147,3924,
2020-08-15,325,4696,256008,11940,7748,151,3997,
2020-08-16,235,5038,260790,12175,8100,152,3879,
2020-08-17,319,5053,265748,12493,8485,158,3806,
2020-08-18,497,7609,273357,12961,8724,164,4024,
2020-08-19,264,6604,279961,13225,9132,178,3865,
2020-08-20,411,6369,286330,13636,9433,187,3966,
2020-08-21,447,7091,294279,14083,9676,192,4164,
2020-08-22,483,6952,301813,14566,10021,195,4296,
2020-08-24,412,6960,316265,15529,10912,207,4355,
2020-08-25,485,8809,325384,16014,11201,213,4545,
2020-08-26,535,8794,334979,16549,11524,219,4749,
2020-08-27,728,9530,348897,17277,11775,228,5215,
2020-08-28,588,10105,361389,17865,12124,239,5440,
2020-08-29,658,10796,376747,18571,12524,250,5735,
2020-08-30,664,8218,384796,19235,13004,257,5912,
2020-08-31,592,8447,394015,19827,13608,269,5887,
2020-09-01,571,9940,403955,20398,14012,280,6042,
2020-09-02,836,9286,413595,21234,14437,291,6442,
2020-09-03,946,9909,424156,22180,14945,300,6871,
2020-09-04,831,10821,435449,23011,15447,312,7187,
2020-09-05,950,9126,445277,23961,15982,330,7575,
2020-09-06,668,8273,454027,24629,16573,341,7640,
2020-09-07,807,7721,462803,25436,17046,348,7965,
2020-09-08,658,8655,472111,26094,17473,360,8184,
2020-09-09,1061,9879,482663,27211,18262,372,8500,
2020-09-10,1015,8116,491505,28226,18783,377,8955,
2020-09-11,995,8861,501880,29221,19428,388,9294,
2020-09-12,1115,8006,511129,30336,20031,402,9781,
2020-09-13,1637,7291,519869,31973,21040,414,10397,
2020-09-14,1043,7377,528897,33016,22077,429,10374,
2020-09-15,1391,9835,541910,34407,23085,438,10739,
2020-09-16,1540,9528,555071,35947,24277,447,11068,
2020-09-17,1192,9148,567169,37139,24810,460,11714,
2020-09-18,868,9805,579582,38007,26095,464,11293,
2020-09-19,2078,8778,594476,40085,26973,478,12465,
2020-09-20,878,7133,605236,40963,27828,491,12455,
2020-09-21,814,8546,616986,41777,29000,501,12075,
2020-09-22,874,10891,630448,42651,30107,512,11831,
2020-09-23,1069,7698,638707,43720,31123,529,11867,
2020-09-24,684,7575,648140,44404,32154,542,11507,
2020-09-25,928,8022,656974,45332,33642,555,10934,
2020-09-26,949,8082,668282,46281,34649,566,10856,
2020-09-27,764,6508,679596,47045,35462,574,10799,
2020-09-28,457,7402,690421,47502,36646,580,10066,
2020-09-29,493,9330,701139,47995,38059,591,9122,
2020-09-30,1005,9985,712124,49000,39035,611,9111,
2020-10-01,365,9919,721019,49248,39836,625,8544,
2020-10-02,311,8343,728436,49559,40176,636,8504,
2020-10-03,503,8630,736371,50062,41095,648,8076,
2020-10-04,1419,7373,743551,51481,41487,652,9089,
2020-10-05,510,9673,753224,51991,42368,669,8701,
2020-10-06,338,10660,763884,52329,42968,677,8414,
2020-10-07,630,11509,776868,52959,43631,688,8367,
2020-10-08,400,11703,789115,53359,44535,702,7849,
2020-10-09,704,10595,801966,54063,45774,716,7289,
2020-10-10,462,11272,814616,54525,46186,734,7321,
2020-10-11,526,7568,822184,55051,46642,747,7373,
2020-10-12,296,9579,831812,55347,47306,762,6976,
2020-10-13,294,11866,845333,55641,47971,782,6576,
2020-10-14,429,11937,858167,56070,48798,796,6145,
2020-10-15,423,11399,870458,56493,49631,814,5682,
2020-10-16,549,11692,883120,57042,50155,829,5692,
2020-10-24,359,10899,979025,60155,54169,984,4542,
2020-10-25,221,8244,987364,60376,54488,993,4425,
2020-10-26,368,9161,996525,60744,55188,1001,4080,
2020-10-27,213,12233,1008758,60957,55610,1007,3865,
2020-10-28,304,13207,1021965,61261,56073,1009,3696,
2020-10-29,305,12854,1034819,61566,56529,1009,3545,
2020-10-30,349,10844,1010617,61915,56771,1011,3634,
2020-10-31,413,10257,1022780,62328,56923,1023,3883,
2020-11-01,222,9413,1033417,62550,57101,1027,3914,
2020-11-02,331,11090,1042666,62881,57542,1029,3802,
2020-11-03,316,11119,1055463,63197,57951,1033,3705,
2020-11-04,388,9240,1067295,63585,58221,1038,3818,
2020-11-05,480,10598,1078499,64065,58823,1047,3680,
2020-11-06,473,11479,1090119,64538,59227,1056,3736,
2020-11-07,498,10895,1099557,65036,59564,1063,3890,
2020-11-08,243,6571,1110511,65279,59719,1065,3972,
2020-11-09,398,11683,1120019,65677,59924,1075,4149,
2020-11-10,328,12587,1132143,66005,60429,1080,3955,
2021-01-31,61,5312,2134552,96129,91966,1644,1175,2437
2021-01-30,82,8830,2127358,96068,91880,1643,1202,2973
2021-01-29,78,8976,2116001,95986,91713,1642,1289,6301
2021-01-28,82,8666,2104208,95908,91597,1642,1338,4827
2021-01-27,85,9570,2095086,95826,91419,1639,1439,144
2021-01-26,39,5544,2086012,95741,91323,1636,1455,
2021-01-25,62,12114,2078868,95702,91221,1635,1523,4032
2021-01-24,54,6508,2067575,95640,90967,1631,1725,
