"date	total_vax_today	first_dose_today	second_dose_today	cumulative_vax	cumulative_vax_first_dose	cumulative_vax_sec_dose	cvc_count	aefi_cases	vax_wastage"
"2021-09-22			264312					4376	"
"2021-09-21	895357	637727	257630	51717266	36735144	14982122		4315	-7"
"2021-09-20			62659					4275	"
"2021-09-19			339031					4274	"
"2021-09-18	404924	249452	155472	49281189	34958387	14322802		4240	-7"
"2021-09-17			202677					4146	"
"2021-09-16	409353	199898	209455	48479179	34514526	13964653		4030	-7"
"2021-09-15	363333	222247	141086	48069826	34314628	13755198		4030	-7"
"2021-09-14	448662	289989	158673	47706493	34092381	13614112		3993	-7"
"2021-09-13	183858	143913	39945	47257831	33802392	13455439		3928	-7"
"2021-09-12			189463					3925	"
"2021-09-11	747904	519005	228899	46505609	33279578	13226031		3907	-7"
"2021-09-10	499781	339129	160652	45757705	32760573	12997132		3848	-7"
"2021-09-09	695650	499681	195969	45257924	32421444	12836480		3818	-7"
"2021-09-08	560553	380901	179652	44562274	31921763	12640511		3796	-7"
"2021-09-07	704874	489969	214905	44001721	31540862	12460859		3769	-7"
"2021-09-06	197059	129971	67088	43296847	31050893	12245954		3652	-7"
"2021-09-05			145988					3652	"
"2021-09-04	543871	373995	169876	42699804	30666926	12032878		3652	-7"
"2021-09-03	608700	440447	168253	42155933	30292931	11863002		3616	-7"
"2021-09-02	487968	338999	148969	41547233	29852484	11694749		3616	-7"
"2021-09-01	1247267	957497	289770	41059265	29513485	11545780		3587	-7"
"2021-08-31	398358	271315	127043	39811998	28555988	11256010		3510	-7"
"2021-08-30	293495	216106	77389	39413640	28284673	11128967		3472	-7"
"2021-08-29	505172	319449	185723	39120145	28068567	11051578		3381	-7"
"2021-08-28	556573	343691	212882	38614973	27749118	10865855		3350	-7"
"2021-08-27	438782	278628	160154	38058400	27405427	10652973		3279	-7"
"2021-08-25	452793	270896	181897	37149687	26843631	10306056		3186	-7"
"2021-08-24	519250	310430	208820	36696894	26572735	10124159		3148	-7"
"2021-08-23	98579	63898	34681	36177644	26262305	9915339		3110	-7"
"2021-08-22			132964					3091	"
"2021-08-21	202730	138994	63736	35700105	25952411	9747694		3062	-7"
"2021-08-20	292768	217985	74783	35497375	25813417	9683958		3019	-7"
"2021-08-19			77380					2967	"
"2021-08-18	349079	279975	69104	34931229	25399434	9531795		2867	-7"
"2021-08-17	357544	289998	67546	34582150	25119459	9462691		2773	-7"
"2021-08-16	67217	61298	5919	34224606	24829461	9395145		2740	-7"
"2021-08-15			50944					2676	"
"2021-08-14	445166	386925	58241	33766547	24428265	9338282		2637	-7"
"2021-08-13	340072	288874	51198	33321381	24041340	9280041		2604	-7"
"2021-08-12	299872	255895	43977	32981309	23752466	9228843		2576	-7"
"2021-08-11	349335	298857	50478	32681437	23496571	9184866		2558	-7"
"2021-08-10	294212	239885	54327	32332102	23197714	9134388		2512	-7"
"2021-08-09	97755	87780	9975	32037890	22957829	9080061		2475	-7"
"2021-08-08	271896	219927	51969	31940135	22870049	9070086		2461	-7"
"2021-08-07	391898	336896	55002	31668239	22650122	9018117		2442	-7"
"2021-08-06	409863	339911	69952	31276341	22313226	8963115		2403	-7"
"2021-08-05	299805	239891	59914	30866478	21973315	8893163		2384	-7"
"2021-08-04	478394	388408	89986	30566673	21733424	8833249		2372	-7"
"2021-08-03	480089	388923	91166	30088279	21345016	8743263		2362	-7"
"2021-08-02	271835	187252	84583	29608190	20956093	8652097		2342	-7"
"2021-08-01	371595	293409	78186	29336355	20768841	8567514		2340	-7"
"2021-07-30	275460	193344	82116	28589900	20196562	8393338		2309	-7"
"2021-07-29	396719	374732	21987	28314440	20003218	8311222		2302	-7"
"2021-07-28	261592	190440	71152	27917721	19628486	8289235		2284	-7"
"2021-07-27	304537	212057	92480	27656129	19438046	8218083		2266	-7"
"2021-07-26	74102	59262	14840	27351592	19225989	8125603		2240	-7"
"2021-07-25	333770	220774	112996	27277490	19166727	8110763		2220	-7"
"2021-07-24	340991	190932	150059	26943720	18945953	7997767		2163	-7"
"2021-07-23	217496	117139	100357	26602729	18755021	7847708		2152	-7"
"2021-07-22	88485	57033	31452	26385233	18637882	7747351		2128	-7"
"2021-07-21	254629	139211	115418	26296748	18580849	7715899		2117	-7"
"2021-07-20	324254	160107	164147	26042119	18441638	7600481		2107	-7"
"2021-07-19	90508	46635	43873	25717865	18281531	7436334		2086	-7"
"2021-07-18	384899	159226	225673	25627357	18234896	7392461		2084	-7"
"2021-07-17	304530	110319	194211	25242458	18075670	7166788		2075	-7"
"2021-07-16	232620	108839	123781	24937928	17965351	6972577		2068	-7"
"2021-07-15	319395	114100	205295	24705308	17856512	6848796		2058	-7"
"2021-07-14	225015	96680	128335	24385913	17742412	6643501		2022	-7"
"2021-07-13	199123	64924	134199	24160898	17645732	6515166		2014	-6"
"2021-07-12	88391	27665	60726	23961775	17580808	6380967		2010	-6"
"2021-07-11	211283	70703	140580	23873384	17553143	6320241		2008	-6"
"2021-07-10	237821	82011	155810	23662101	17482440	6179661		2001	-6"
"2021-07-09	244714	94647	150067	23424280	17400429	6023851		1991	-6"
