,1
0,191392.56707733864
1,192580.1916208006
2,193821.93241715798
3,195119.0778955202
4,196472.9313388336
5,197884.81095524126
6,199356.04994947457
7,200887.99659421475
8,202482.01430147135
9,204139.4816939793
10,205861.79267653817
11,207650.35650741303
12,209506.59786971466
13,211431.9569427594
14,213427.8894734438
15,215495.86684764357
16,217637.3761615585
17,219853.92029311688
18,222147.01797333354
19,224518.20385769004
20,226969.0285975057
21,229501.05891133467
22,232115.87765631633
23,234815.08389956498
24,237600.29298953334
25,240473.13662740582
26,243435.2629384696
27,246488.33654348174
28,249634.03863004217
29,252874.0670239962
30,256210.13626077765
31,259643.9776568077
32,263177.3393808547
33,266811.98652542004
34,270549.70117812225
35,274392.28249305295
36,278341.54676215345
37,282399.3274866193
38,286567.4754482451
39,290847.8587808068
40,295242.3630414623
41,299752.8912820853
42,304381.3641206808
43,309129.71981273027
44,313999.91432259785
45,318993.9213948808
46,324113.732625775
47,329361.35753451096
48,334738.82363466726
