date,cumulative_positive_cases,cumulative_positivity_rate,cumulative_recovered,cumulative_deaths,cumulative_cfr,active_cases
30-06-2020,,,58348,2742,,26270
29-06-2020,,,56235,2680,,26246
28-06-2020,,,52607,2623,,27847
27-06-2020,,,49301,2558,,28329
26-06-2020,,,47091,2492,,27657
25-06-2020,,,44765,2429,,26586
24-06-2020,,,41437,2365,,26588
23-06-2020,,,39313,2301,,24988
22-06-2020,,,36602,2233,,23820
21-06-2020,,,33013,2175,,24558
20-06-2020,,,31294,2112,,23340
19-06-2020,,,,,,
18-06-2020,,,21341,1969,,26669
17-06-2020,,,,,,
16-06-2020,,,,,,
15-06-2020,,,,,,
14-06-2020,,,,,,
13-06-2020,,,,,,
12-06-2020,,,,,,
11-06-2020,,,,,,
10-06-2020,,,,,,
09-06-2020,,,,,,
08-06-2020,,,,,,
07-06-2020,,,,,,
06-06-2020,,,,,,
05-06-2020,,,,,,
04-06-2020,,,,,,
03-06-2020,,,,,,
02-06-2020,,,,,,
01-06-2020,,,,,,
01-07-2020,,,59992,2803,,27007
02-07-2020,,,63007,2864,,26304
03-07-2020,,,65624,2923,,26148
04-07-2020,,,68256,3004,,25940
05-07-2020,,,71339,3067,,25038
06-07-2020,,,72088,3115,,25620
07-07-2020,,,74217,3165,,25449
08-07-2020,,,78199,3213,,23452
09-07-2020,,,82226,3258,,21567
10-07-2020,,,,,,
11-07-2020,,,87692,3334,,19895
12-07-2020,,,89968,3371,,19155
13-07-2020,,,91312,3411,,19017
14-07-2020,,,93236,3446,,18664
15-07-2020,,,95699,3487,,17807
16-07-2020,,,97693,3545,,17407
17-07-2020,,,99301,3571,,17235
18-07-2020,,,101274,3597,,16711
19-07-2020,,,103134,3628,,16031
20-07-2020,,,104918,3663,,15166
21-07-2020,,,106118,3690,,15288
22-07-2020,,,107650,3719,,14954
23-07-2020,,,109065,3745,,14554
24-07-2020,,,110931,3777,,13681
25-07-2020,,,113068,3806,,12657
26-07-2020,,,114875,3827,,11904
27-07-2020,,,116372,3853,,10994
28-07-2020,,,117507,3881,,10887
29-07-2020,,,118633,3907,,10770
30-07-2020,,,,,,
31-07-2020,,,120930,3963,,10705
01-08-2020,,,122131,3989,,10596
02-08-2020,,,123317,4004,,10356
03-08-2020,,,124254,4021,,10207
04-08-2020,,,125226,4033,,9897
05-08-2020,,,126116,4044,,10072
06-08-2020,,,127124,4059,,10348
07-08-2020,,,128232,4082,,10409
08-08-2020,,,129362,4098,,10667
09-08-2020,,,130587,4111,,10729
10-08-2020,,,131657,4131,,10346
11-08-2020,,,132384,4139,,10868
12-08-2020,,,133405,4153,,10946
13-08-2020,,,134318,4167,,10975
14-08-2020,,,135108,4178,,11366
15-08-2020,,,136251,4188,,11489
16-08-2020,,,137561,4196,,10823
17-08-2020,,,138301,4214,,10852
18-08-2020,,,,,,
19-08-2020,,,,,,
20-08-2020,,,,,,
21-08-2020,,,,,,
22-08-2020,,,,,,
23-08-2020,,,,,,
24-08-2020,,,,,,
25-08-2020,,,,,,
26-08-2020,,,,,,
27-08-2020,,,,,,
28-08-2020,,,,,,
29-08-2020,,,,,,
31-08-2020,,,,,,
01-09-2020,,,,,,
02-09-2020,,,,,,
03-09-2020,,,,,,
04-09-2020,,,,,,
05-09-2020,,,,,,
07-09-2020,,,,,,
08-09-2020,,,,,,
09-09-2020,,,,,,
10-09-2020,,,,,,
11-09-2020,,,,,,
12-09-2020,214069,10.28,181295,4715,2.2,28059
13-09-2020,218304,10.2,184748,4744,2.17,28812
14-09-2020,221533,10.14,188122,4770,2.15,28641
15-09-2020,225796,10.05,191203,4806,2.13,29787
16-09-2020,230269,9.97,194516,4839,2.1,30914
17-09-2020,234701,9.9,198103,4877,2.08,31721
18-09-2020,238828,9.83,201671,4907,2.05,32250
19-09-2020,242899,9.75,205890,4945,2.04,32064
20-09-2020,246711,9.66,209632,4982,2.02,32097
21-09-2020,249259,9.67,213304,5014,2.01,30941
22-09-2020,253075,9.59,216401,5051,2,31623
23-09-2020,256789,9.52,220866,5087,1.98,30836
24-09-2020,260623,9.45,224375,5123,1.97,31125
25-09-2020,264450,9.39,228436,5147,1.95,30867
26-09-2020,267822,9.32,232912,5193,1.94,29717
27-09-2020,271114,9.27,236651,5235,1.93,29228
28-09-2020,273098,9.22,240703,5272,1.93,27123
29-09-2020,276325,9.15,243481,5320,1.93,27524
30-09-2020,279715,9.08,247446,5361,1.92,26908
01-10-2020,282752,9.02,250613,5401,1.91,26738
02-10-2020,285672,8.95,253784,5438,1.9,26450
03-10-2020,287930,8.91,257224,5472,1.9,25234
04-10-2020,290613,8.86,260350,5510,1.9,24753
05-10-2020,292560,8.82,263938,5542,1.89,23080
06-10-2020,,,,,,
07-10-2020,298107,8.71,270305,5616,1.88,22186
08-10-2020,300833,8.66,272948,5653,1.88,22232
09-10-2020,303693,8.62,276046,5692,1.87,21955
10-10-2020,306559,8.58,278812,5740,1.87,22007
11-10-2020,309339,8.54,281869,5769,1.86,21701
12-10-2020,311188,8.5,284844,5809,1.87,20535
13-10-2020,314224,8.46,286880,5854,1.86,21490
14-10-2020,317548,8.42,289747,5898,1.86,21903
15-10-2020,321031,8.38,292502,5924,1.85,22605
16-10-2020,324459,8.35,295699,5946,1.83,22814
17-10-2020,327718,8.32,298853,5981,1.83,22884
18-10-2020,331017,8.3,301716,6009,1.82,23292
19-10-2020,333171,8.27,304561,6040,1.81,22570
20-10-2020,336750,8.25,306747,6081,1.81,23922
21-10-2020,340436,8.22,310191,6128,1.8,24117
22-10-2020,344318,8.2,312918,6163,1.79,25237
23-10-2020,348404,8.18,316214,6189,1.78,26001
24-10-2020,352520,8.17,319828,6225,1.77,26467
25-10-2020,356656,8.17,323654,6258,1.76,26744
26-10-2020,359488,8.17,327390,6312,1.76,25786
27-10-2020,364341,8.18,330112,6356,1.74,27873
28-10-2020,370014,8.19,334240,6396,1.73,29378
29-10-2020,375753,8.21,338378,6423,1.71,30952
30-10-2020,381644,8.23,342811,6470,1.7,32363
31-10-2020,386706,8.26,347476,6511,1.68,32719
01-11-2020,392370,8.3,351635,6562,1.67,34173
02-11-2020,396371,8.32,356459,6604,1.67,33308
03-11-2020,403096,8.36,360069,6652,1.65,36375
04-11-2020,409938,8.4,365866,6703,1.64,37369
05-11-2020,416653,8.45,371155,6769,1.62,38729
06-11-2020,,,,,,
07-11-2020,430784,8.53,383614,6912,1.61,40258
08-11-2020,438529,8.6,389683,6989,1.59,41857
09-11-2020,443552,8.63,396697,7060,1.59,39795
