,date,hospital_beds_total,hospital_beds_occupied,hospital_beds_vacant,covid_care_center_beds_total,covid_care_center_beds_occupied,covid_care_center_beds_vacant,covid_health_center_beds_total,covid_health_center_beds_occupied,covid_health_center_beds_vacant,home_isolation_count,cases_positive,positivity_rate,cases_recovered,deaths,rise_in_case,day,month
0,30-06-2020,13661,5912,7749,7869,1686,6183,544,233,311,16240,2199,,2113,62,86,Tuesday,Jun-20
1,29-06-2020,13411,5977,7434,7869,1615,6254,544,241,303,16329,2084,,3628,57,-1544,Monday,Jun-20
2,28-06-2020,13411,6014,7397,5909,1558,4351,344,238,106,17148,2889,,3306,65,-417,Sunday,Jun-20
3,27-06-2020,13411,6068,7343,5909,1700,4209,344,232,112,17381,2948,,2210,66,738,Saturday,Jun-20
4,26-06-2020,13411,6221,7190,5909,1504,4405,344,223,121,16249,3460,,2326,63,1134,Friday,Jun-20
5,25-06-2020,13411,6241,7170,5909,1585,4324,344,211,133,15159,3390,,3328,64,62,Thursday,Jun-20
6,24-06-2020,13411,6203,7208,5909,1547,4362,344,206,138,14844,3788,,2124,64,1664,Wednesday,Jun-20
7,23-06-2020,13389,6264,7125,5909,1607,4302,344,207,137,12963,3947,,2711,68,1236,Tuesday,Jun-20
8,22-06-2020,13183,6213,6970,5909,1579,4330,344,197,147,12922,2909,,3589,58,-680,Monday,Jun-20
9,21-06-2020,12651,6054,6597,5909,1426,4883,344,205,139,12106,3000,,1719,63,1281,Sunday,Jun-20
10,20-06-2020,12208,5923,6285,5909,1139,4770,344,149,195,12611,3630,,7725,77,-4095,Saturday,Jun-20
11,18-06-2020,10919,5448,5471,344,140,204,5974,1155,4819,,,,,,,Thursday,Jun-20
12,01-07-2020,15242,5892,9350,7869,1745,6124,544,225,319,16703,,,,,,Wednesday,Jul-20
13,02-07-2020,15243,5747,9496,7869,1885,5984,544,170,374,16129,,,,,,Thursday,Jul-20
14,03-07-2020,15243,5635,9608,7869,1948,5921,544,167,377,15878,,,,,,Friday,Jul-20
15,04-07-2020,15283,5522,9761,7869,1756,6113,544,153,391,16004,,,,,,Saturday,Jul-20
16,05-07-2020,15301,5356,9945,7869,1726,6143,544,148,396,15564,,,,,,Sunday,Jul-20
17,06-07-2020,15301,5250,10051,7869,1714,6155,544,136,408,17141,,,,,,Monday,Jul-20
18,07-07-2020,15301,5003,10298,7869,1688,6181,544,142,402,16608,,,,,,Tuesday,Jul-20
19,08-07-2020,15096,4859,10237,7869,1758,6111,544,141,403,14661,,,,,,Wednesday,Jul-20
20,09-07-2020,15096,4784,10312,7869,1918,5951,544,135,409,12543,,,,,,Thursday,Jul-20
21,11-07-2020,15253,4502,10751,9217,1857,7360,544,157,387,11598,,,,,,Saturday,Jul-20
22,12-07-2020,15253,4315,,9217,2055,7162,544,153,391,11059,,,,,,Sunday,Jul-20
23,13-07-2020,15253,4309,10944,9217,2148,7069,544,144,300,11170,,,,,,Monday,Jul-20
24,14-07-2020,15300,4194,,9294,2041,7253,544,128,416,10695,,,,,,Tuesday,Jul-20
25,15-07-2020,15363,4021,11342,9284,2029,7255,554,167,387,9943,,,,,,Wednesday,Jul-20
26,16-07-2020,15364,3819,11545,9284,2113,7171,554,171,383,9652,,,,,,Thursday,Jul-20
27,17-07-2020,15474,3696,11778,9284,2304,6980,554,178,376,9595,,,,,,Friday,Jul-20
28,18-07-2020,15475,3635,11840,9284,2291,6993,554,174,380,9136,,,,,,Saturday,Jul-20
29,19-07-2020,15475,3592,11883,9454,2250,7204,554,159,395,8819,,,,,,Sunday,Jul-20
30,20-07-2020,15475,3517,11958,9454,2165,7289,554,151,403,8379,,,,,,Monday,Jul-20
31,21-07-2020,15475,3517,11958,9454,2136,7318,554,160,394,8126,,,,,,Tuesday,Jul-20
32,22-07-2020,15475,3342,12133,9454,2262,7292,554,157,397,7966,,,,,,Wednesday,Jul-20
33,23-07-2020,15475,3271,12204,9554,2092,7462,554,150,404,8000,,,,,,Thursday,Jul-20
34,24-07-2020,15475,3210,12265,9554,1522,8032,554,146,408,7778,,,,,,Friday,Jul-20
35,25-07-2020,15475,3135,12340,9244,904,,554,137,417,7339,,,,,,Saturday,Jul-20
36,26-07-2020,15475,2856,12619,9444,853,,554,144,410,6976,,,,,,Sunday,Jul-20
37,27-07-2020,15271,2835,12436,9412,761,,554,147,407,6638,,,,,,Monday,Jul-20
38,28-07-2020,15408,2775,12633,9412,678,,554,159,395,6219,,,,,,Tuesday,Jul-20
39,29-07-2020,16008,3028,12980,10018,647,,554,166,388,5894,,,,,,Wednesday,Jul-20
40,31-07-2020,14303,2932,11371,10244,652,,554,163,391,5763,,,,,,Friday,Jul-20
41,01-08-2020,13578,2979,10599,10244,673,,554,166,388,5660,,,,,,Saturday,Aug-20
42,02-08-2020,13578,2886,10692,10244,685,,554,161,393,5663,,,,,,Sunday,Aug-20
43,03-08-2020,13578,2973,10605,10244,694,,554,158,396,,,,,,,Monday,Aug-20
44,04-08-2020,13578,2954,10624,10146,654,,554,154,400,5461,,,,,,Tuesday,Aug-20
45,05-08-2020,13578,2995,10583,10146,616,,554,158,396,5227,,,,,,Wednesday,Aug-20
46,06-08-2020,13571,3024,10547,10146,622,,554,159,395,5244,,,,,,Thursday,Aug-20
47,07-08-2020,13571,3069,10502,10146,624,,554,157,397,5367,,,,,,Friday,Aug-20
48,08-08-2020,13527,3058,10469,10146,659,,554,174,380,5372,,,,,,Saturday,Aug-20
49,09-08-2020,13527,3084,10443,10146,711,,554,172,382,5462,,,,,,Sunday,Aug-20
50,10-08-2020,13527,3115,10412,10146,711,,554,176,378,5637,,,,,,Monday,Aug-20
51,11-08-2020,13722,3212,10510,10146,697,,554,179,375,5523,,,,,,Tuesday,Aug-20
52,12-08-2020,13963,3351,10612,10146,707,,554,177,377,5598,,,,,,Wednesday,Aug-20
53,13-08-2020,14016,3322,10694,10143,743,,594,192,402,5762,,,,,,Thursday,Aug-20
54,14-08-2020,14125,3372,10753,10143,726,,594,194,400,5882,,,,,,Friday,Aug-20
55,15-08-2020,14125,3495,10630,10143,724,,594,185,409,5809,,,,,,Saturday,Aug-20
56,16-08-2020,14117,3483,10634,10143,739,,594,187,407,5762,,,,,,Sunday,Aug-20
57,17-08-2020,14117,3566,10551,10143,765,,594,182,412,5552,,,,,,Monday,Aug-20
58,18-08-2020,14121,3539,10582,10143,637,,594,167,427,5351,,,,,,Tuesday,Aug-20
59,19-08-2020,14122,3595,10527,10143,600,,594,167,427,5377,,,,,,Wednesday,Aug-20
60,20-08-2020,14122,3582,10540,10143,593,,594,174,420,5707,,,,,,Thursday,Aug-20
61,21-08-2020,14125,3585,10540,10143,598,,594,175,419,5818,,,,,,Friday,Aug-20
62,22-08-2020,14124,3600,10524,10143,589,,594,202,392,5791,,,,,,Saturday,Aug-20
63,23-08-2020,14126,3617,10509,10143,612,,594,203,391,5896,,,,,,Sunday,Aug-20
64,24-08-2020,14127,3590,10537,10143,625,,594,207,387,6143,,,,,,Monday,Aug-20
65,25-08-2020,14129,3617,10512,10143,661,,594,227,367,5949,,,,,,Tuesday,Aug-20
66,26-08-2020,14130,3682,10448,10143,694,,594,243,351,6208,,,,,,Wednesday,Aug-20
67,27-08-2020,14135,3814,10321,10143,715,,594,243,351,6596,,,,,,Thursday,Aug-20
68,28-08-2020,14138,3904,10234,10143,728,,594,260,334,6850,,,,,,Friday,Aug-20
69,29-08-2020,14143,3966,10177,10143,821,,594,275,319,7024,,,,,,Saturday,Aug-20
70,31-08-2020,14145,4146,9999,10143,901,,599,345,254,7876,,,,,,Monday,Aug-20
71,01-09-2020,14148,4186,9962,10143,902,,601,351,250,8119,,,,,,Tuesday,Sep-20
72,02-09-2020,14146,4278,9868,10143,941,,601,367,234,8407,,,,,,Wednesday,Sep-20
73,03-09-2020,14140,4477,9663,10143,963,,601,380,221,9135,,,,,,Thursday,Sep-20
74,04-09-2020,14159,4730,9429,10143,984,,601,392,209,9822,,,,,,Friday,Sep-20
75,05-09-2020,14163,4934,9229,8580,1049,,601,400,201,10514,,,,,,Saturday,Sep-20
76,07-09-2020,14165,5218,8947,8580,1187,,601,448,153,11613,,,,,,Monday,Sep-20
77,12-09-2020,14390,6294,8096,8580,1614,,601,459,142,15371,,,,,,Saturday,Sep-20
78,13-09-2020,14377,6503,7874,8580,1692,,601,436,165,15946,,,,,,Sunday,Sep-20
79,14-09-2020,14409,6592,7817,8580,1807,,601,445,156,16568,,,,,,Monday,Sep-20
80,15-09-2020,14482,6658,7824,8137,1859,,594,431,163,16576,,,,,,Tuesday,Sep-20
81,16-09-2020,14521,6783,7738,8137,1908,,601,426,175,17324,,,,,,Wednesday,Sep-20
82,17-09-2020,14652,6893,7759,8137,1915,,601,443,158,18038,,,,,,Thursday,Sep-20
83,18-09-2020,14974,6956,8018,8137,2014,,601,452,149,18701,,,,,,Friday,Sep-20
84,19-09-2020,14996,7043,7953,8137,1890,,601,412,189,18648,,,,,,Saturday,Sep-20
85,20-09-2020,15621,7040,8581,8137,1937,,601,398,203,18910,,,,,,Sunday,Sep-20
86,21-09-2020,15681,6990,8691,8137,1805,,601,385,216,19213,,,,,,Monday,Sep-20
87,22-09-2020,15804,7051,8753,8137,1906,,601,386,215,18464,,,,,,Tuesday,Sep-20
88,23-09-2020,15810,6998,8812,8137,1913,4841,601,377,224,17834,,,,,,Wednesday,Sep-20
89,24-09-2020,15810,7026,8784,,,,601,344,257,17995,,,,,,Thursday,Sep-20
90,25-09-2020,15812,6990,8822,,,,527,358,169,18096,,,,,,Friday,Sep-20
91,26-09-2020,,,,,,,,,,17600,,,,,,Saturday,Sep-20
92,27-09-2020,,,,,,,,,,17291,,,,,,Sunday,Sep-20
93,28-09-2020,15833,6659,9174,,,,527,337,190,16679,,,,,,Monday,Sep-20
94,29-09-2020,15839,6515,9324,,,,527,321,206,16049,,,,,,Tuesday,Sep-20
95,30-09-2020,15834,6283,9551,8137,1266,5705,527,312,215,15657,,,,,,Wednesday,Sep-20
