date,positive_cases,recovered,new_persons_in_surveillance,new_persons_in_home_ins_isolation,new_persons_in_hospital_isolation,daily_deaths,deaths_declared_as_per_appeal,pending_deaths
17-08-2020,1725,1131,10903,9448,1455,13,,
18-08-2020,1758,1365,9617,8034,1583,6,,
19-08-2020,2333,1217,11280,9550,1730,7,,
20-08-2020,1968,1217,11447,9249,2198,9,,
21-08-2020,1983,1419,11045,8917,2128,12,,
22-08-2020,2172,1292,13500,10801,2699,15,,
23-08-2020,1908,1110,9978,7912,2066,5,,
25-08-2020,2375,1456,10801,8967,1834,10,,
26-08-2020,2476,1351,13636,11538,2098,13,,
27-08-2020,2406,2067,12664,10199,2465,10,,
28-08-2020,2543,2097,9726,7185,2541,7,,
30-08-2020,2154,1766,10513,8135,2378,7,,
31-08-2020,1530,1693,9243,7432,1811,7,,
01-09-2020,1140,2111,8722,7256,1466,4,,
03-09-2020,1553,1950,8517,6814,1703,10,,
04-09-2020,2479,2716,14746,13996,1750,11,,
05-09-2020,2655,2111,10648,8125,2523,11,,
06-09-2020,3082,2196,11592,9182,2410,10,,
07-09-2020,1648,2246,10357,7372,2385,12,,
08-09-2020,3026,1862,12487,10411,2076,13,,
09-09-2020,3402,2058,12507,9756,2751,12,,
10-09-2020,3349,1657,12217,9526,2691,12,,
12-09-2020,2885,1944,11952,9376,2576,15,,
13-09-2020,3139,1855,12487,9803,2684,14,,
15-09-2020,3215,2532,11856,9532,2324,12,,
16-09-2020,3830,2263,14008,11021,2987,14,,
17-09-2020,4351,2737,11999,8918,3081,10,,
19-09-2020,4644,2862,13116,10046,3070,18,,
20-09-2020,4696,2751,13936,10782,3154,16,,
21-09-2020,2910,3022,11489,8808,2681,18,,
23-09-2020,5376,2951,14652,11521,3131,20,,
24-09-2020,6324,3168,14528,11187,3341,21,,
25-09-2020,6477,3481,15083,11673,3410,22,,
26-09-2020,7006,3199,19523,16077,3446,21,,
27-09-2020,7445,3391,15919,12167,3752,21,,
28-09-2020,4538,3347,17091,13836,3255,20,,
30-09-2020,8830,3536,18965,15497,3468,23,,
01-10-2020,8135,2828,19191,16041,3150,29,,
02-10-2020,9258,4092,18723,15124,3599,20,,
03-10-2020,7834,4476,16539,13114,3425,22,,
04-10-2020,8553,4851,20598,17200,3398,23,,
05-10-2020,5042,4640,16528,13564,2964,23,,
06-10-2020,7871,4981,20183,17739,2444,25,,
11-10-2020,9347,8924,18126,14468,3658,25,,
13-10-2020,8764,7723,18868,15943,2925,21,,
