date,district,deaths_reported,death_through_appeal,pending_deaths,death_cases_approved
22-10-2021,Thiruvananthapuram,10,1,289,300
22-10-2021,Kollam,8,0,0,8
22-10-2021,Pathanamthitta,9,2,0,11
22-10-2021,Alappuzha,2,1,0,3
22-10-2021,Kottayam,4,0,0,4
22-10-2021,Idukki,9,12,0,21
22-10-2021,Ernakulam,8,45,0,53
22-10-2021,Thrissur,4,36,0,40
22-10-2021,Palakkad,9,30,0,39
22-10-2021,Malappuram,6,6,0,12
22-10-2021,Kozhikode,6,0,2,8
22-10-2021,Wayanad,0,1,0,1
22-10-2021,Kannur,23,36,0,59
22-10-2021,Kasaragod,1,2,1,4
22-10-2021,total,99,172,292,563
23-10-2021,Thiruvananthapuram,8,0,225,233
23-10-2021,Kollam,1,13,0,14
23-10-2021,Pathanamthitta,6,18,2,26
23-10-2021,Alappuzha,0,12,0,12
23-10-2021,Kottayam,5,0,0,5
23-10-2021,Idukki,0,0,10,10
23-10-2021,Ernakulam,9,57,0,66
23-10-2021,Thrissur,7,0,0,7
23-10-2021,Palakkad,6,0,0,6
23-10-2021,Malappuram,4,14,0,18
23-10-2021,Kozhikode,13,0,1,14
23-10-2021,Wayanad,0,4,19,23
23-10-2021,Kannur,6,19,0,25
23-10-2021,Kasaragod,0,5,0,5
23-10-2021,total,65,142,257,464
24-10-2021,Thiruvananthapuram,5,0,132,137
24-10-2021,Kollam,25,0,19,44
24-10-2021,Pathanamthitta,0,0,11,11
24-10-2021,Alappuzha,0,0,5,5
24-10-2021,Kottayam,4,0,1,5
24-10-2021,Idukki,0,0,7,7
24-10-2021,Ernakulam,6,0,31,37
24-10-2021,Thrissur,8,0,0,8
24-10-2021,Palakkad,7,0,3,10
24-10-2021,Malappuram,5,15,0,20
24-10-2021,Kozhikode,8,0,0,8
24-10-2021,Wayanad,2,0,2,4
24-10-2021,Kannur,0,39,0,39
24-10-2021,Kasaragod,1,27,0,28
24-10-2021,total,71,81,211,363
25-10-2021,Thiruvananthapuram,1,0,29,30
25-10-2021,Kollam,2,0,3,5
25-10-2021,Pathanamthitta,8,0,57,65
25-10-2021,Alappuzha,2,0,37,39
25-10-2021,Kottayam,2,0,4,6
25-10-2021,Idukki,0,0,4,4
25-10-2021,Ernakulam,9,0,16,25
25-10-2021,Thrissur,8,0,11,19
25-10-2021,Palakkad,5,0,10,15
25-10-2021,Malappuram,3,8,3,14
25-10-2021,Kozhikode,5,0,1,6
25-10-2021,Wayanad,1,0,24,25
25-10-2021,Kannur,6,0,20,26
25-10-2021,Kasaragod,1,1,0,2
25-10-2021,total,53,9,219,281
26-10-2021,Thiruvananthapuram,5,0,42,47
26-10-2021,Kollam,4,0,2,6
26-10-2021,Pathanamthitta,5,0,3,8
26-10-2021,Alappuzha,3,0,17,20
26-10-2021,Kottayam,8,0,55,63
26-10-2021,Idukki,10,0,4,14
26-10-2021,Ernakulam,7,0,136,143
26-10-2021,Thrissur,13,17,76,106
26-10-2021,Palakkad,19,30,3,52
