date,international_cumulative,domestic_cumulative,total
17-08-2020,,,739913
18-08-2020,,,746048
19-08-2020,,,751661
20-08-2020,,,757518
21-08-2020,,,762853
22-08-2020,,,768438
23-08-2020,,,775195
25-08-2020,,,787676
26-08-2020,,,793221
27-08-2020,,,800261
28-08-2020,,,804853
30-08-2020,,,818273
31-08-2020,,,824920
01-09-2020,,,831082
03-09-2020,,,840864
04-09-2020,,,847689
05-09-2020,,,853364
06-09-2020,,,860670
07-09-2020,,,867566
08-09-2020,,,874727
09-09-2020,,,881371
10-09-2020,,,888497
12-09-2020,,,901970
13-09-2020,,,908126
15-09-2020,,,919923
16-09-2020,,,926455
17-09-2020,,,931992
19-09-2020,,,944694
20-09-2020,,,951296
21-09-2020,,,957533
23-09-2020,,,972416
24-09-2020,,,979221
25-09-2020,,,986559
26-09-2020,,,994811
27-09-2020,,,1002351
28-09-2020,,,1010640
30-09-2020,,,1026374
01-10-2020,,,1026374
02-10-2020,,,1043115
03-10-2020,,,1052916
04-10-2020,,,1061735
05-10-2020,,,1070026
06-10-2020,,,1077855
11-10-2020,,,1123083
13-10-2020,,,1139207
14-10-2020,,,1146709
15-10-2020,,,1154901
16-10-2020,,,1163959
17-10-2020,,,1172920
18-10-2020,,,1182557
19-10-2020,,,1191862
20-10-2020,,,1200884
21-10-2020,,,1209321
22-10-2020,,,1217829
24-10-2020,,,1237624
25-10-2020,,,1247204
26-10-2020,,,1256072
29-10-2020,,,1281945
30-10-2020,,,1291602
31-10-2020,,,1301612
01-11-2020,,,1312307
02-11-2020,,,1322691
04-11-2020,,,1341530
05-11-2020,,,1351665
06-11-2020,,,1361624
07-11-2020,,,1371695
08-11-2020,,,1382430
09-11-2020,,,1392155
10-11-2020,,,1402447
11-11-2020,,,1411801
12-11-2020,,,1421488
13-11-2020,,,1431898
14-11-2020,,,1442304
15-11-2020,,,1453482
17-11-2020,,,1474449
18-11-2020,,,1483186
19-11-2020,,,1492541
21-11-2020,,,1501877
23-11-2020,,,1530139
24-11-2020,,,1538946
25-11-2020,,,1547847
26-11-2020,,,1557745
27-11-2020,,,1567500
28-11-2020,,,1576671
29-11-2020,,,1584177
30-11-2020,,,1594526
01-12-2020,,,1594526
02-12-2020,,,1613765
04-12-2020,,,1633647
06-12-2020,,,1650151
07-12-2020,,,1658325
08-12-2020,,,1667333
09-12-2020,,,1675523
12-12-2020,,,1694694
13-12-2020,,,1705124
14-12-2020,,,1720926
15-12-2020,,,1728897
17-12-2020,,,1746186
18-12-2020,,,1754757
19-12-2020,,,1754757
20-12-2020,,,1773312
21-12-2020,,,1780431
22-12-2020,,,1787645
23-12-2020,,,1793688
24-12-2020,,,1801329
25-12-2020,,,1801329
26-12-2020,,,1812240
27-12-2020,,,1817619
29-12-2020,,,1830549
31-12-2020,,,1843788
01-01-2021,,,1851044
02-01-2021,,,1857566
05-01-2021,,,1880281
06-01-2021,,,1886779
07-01-2021,,,1886779
08-01-2021,,,1886779
10-01-2021,,,1925180
12-01-2021,,,1943349
13-01-2021,,,1952195
14-01-2021,,,1952195
15-01-2021,,,1968654
16-01-2021,,,1976189
17-01-2021,,,1984878
18-01-2021,,,1984878
20-01-2021,,,2008158
21-01-2021,,,2016755
22-01-2021,,,2026968
23-01-2021,,,2036468
24-01-2021,,,2045841
26-01-2021,,,2090871
28-01-2021,,,2109247
29-01-2021,,,2118192
31-01-2021,,,2137799
01-02-2021,,,2146824
02-02-2021,,,2155478
04-02-2021,,,2171962
05-02-2021,,,2182250
06-02-2021,,,2191358
07-02-2021,,,2200428
08-02-2021,,,2209604
09-02-2021,,,2209604
10-02-2021,,,2217735
11-02-2021,,,2234133
12-02-2021,,,2243825
13-02-2021,,,2253003
14-02-2021,,,2253003
15-02-2021,,,2269189
16-02-2021,,,2277761
17-02-2021,,,2285530
18-02-2021,,,2293741
19-02-2021,,,2302412
20-02-2021,,,2310730
21-02-2021,,,2319438
22-02-2021,,,2328864
24-02-2021,,,2340699
25-02-2021,,,2340699
26-02-2021,,,2340699
27-02-2021,1053731,675118,1728849
28-02-2021,1053731,675118,1728849
01-03-2021,1067414,680006,1747420
02-03-2021,1073696,682235,1755931
03-03-2021,1079084,683959,1763043
05-03-2021,1092625,687389,1780014
06-03-2021,1092652,689494,1782146
07-03-2021,1105960,692089,1798049
08-03-2021,1111609,694681,1806290
09-03-2021,1111609,694681,1806290
12-03-2021,1134243,703375,1837618
13-03-2021,1140848,705339,1846187
14-03-2021,1146444,708072,1854516
16-03-2021,1157383,712949,1870332
17-03-2021,1163264,714908,1878172
20-03-2021,1182769,721795,1904564
21-03-2021,1182769,721795,1904564
22-03-2021,1195718,727490,1923208
23-03-2021,1195718,727490,1923208
25-03-2021,1214037,733836,1947873
26-03-2021,1214037,736337,1950374
27-03-2021,1221339,738903,1960242
28-03-2021,1228168,741787,1969955
29-03-2021,1234586,744651,1979237
30-03-2021,1241085,747047,1988132
31-03-2021,1248789,748744,1997533
01-04-2021,1248789,748744,1997533
02-04-2021,1256500,751151,2007651
04-04-2021,1273548,757283,2030831
05-04-2021,1288502,762670,2051172
06-04-2021,1288502,762670,2051172
10-04-2021,1321524,773755,2095279
11-04-2021,1321524,773755,2095279
12-04-2021,1335398,780373,2115771
13-04-2021,1340842,782985,2123827
14-04-2021,1340842,782985,2123827
15-04-2021,1352423,787484,2139907
16-04-2021,1357706,789827,2147533
18-04-2021,1364481,792156,2156637
20-04-2021,1379217,799444,2178661
24-04-2021,1398555,807720,2206275
25-04-2021,1404110,810342,2214452
