date,district,cases_today,percentage_tests_positive,outside_source_details,case_details,remarks,cases_total,active_cases,recovered_total,deaths_total
2021-07-25,sas nagar,9,0.98,,9 new cases,,68437,41,67339,1057
2021-07-25,amritsar,8,0.26,,8 new cases,,47039,49,45406,1584
2021-07-25,bathinda,7,0.68,,7 new cases,,41492,72,40381,1039
2021-07-25,hoshiarpur,7,0.34,,"2 contact of positive case, 5 new cases",,30632,43,29614,975
2021-07-25,patiala,6,0.28,,6 new cases,,48686,36,47313,1337
2021-07-25,fazilka,3,0.35,,3 new cases (opd),,20137,44,19568,525
2021-07-25,jalandhar,3,0.07,,3 new cases,,63059,75,61494,1490
2021-07-25,ludhiana,3,0.11,,3 new cases (opd),,87265,59,85113,2093
2021-07-25,faridkot,2,0.23,,2 new cases,,13821,31,13479,311
2021-07-25,ferozepur,2,0.35,,2 new cases,,14212,69,13651,492
2021-07-25,fg sahib,2,0.21,,2 new cases,,8776,9,8486,281
2021-07-25,barnala,1,0.22,,1 new cases,,5900,19,5641,240
2021-07-25,sangrur,1,0.05,,1 new case,,15672,14,14791,867
2021-07-25,gurdaspur,0,0,,,3124 samplestested,22218,29,21392,797
2021-07-25,kapurthala,0,0,,,1781 samplestested,17728,18,17158,552
2021-07-25,mansa,0,0,,,606 samplestested,15566,11,15253,302
2021-07-25,moga,0,0,,,398 samplestested,8614,5,8378,231
2021-07-25,muktsar,0,0,,,2522 samplestested,18711,28,18160,523
2021-07-25,pathankot,0,0,,,1135 samplestested,18573,23,18137,413
2021-07-25,ropar,0,0,,,572 samplestested,12868,9,12443,416
2021-07-25,sbs nagar,0,0,,,982 samplestested,11422,2,11049,371
2021-07-25,tarn taran,0,0,,,976 samplestested,7966,13,7583,370
2021-07-25,on the daypunjab,54,0.16,,,,,,,
2021-07-25,total,,,,,,598794,699,581829,16266
2021-07-24,pathankot,11,0.91,,11 new case,,18574,26,18135,413
2021-07-24,patiala,9,0.39,,"5 contact of positive case, 4 new cases",,48680,36,47307,1337
2021-07-24,amritsar,7,0.23,,7 new cases,,47031,51,45398,1582
2021-07-24,ferozepur,6,0.61,,6 new cases,,14210,71,13649,490
2021-07-24,ludhiana,6,0.12,,6 new cases (opd),,87262,72,85097,2093
2021-07-24,sas nagar,6,0.66,,6 new cases,,68428,37,67334,1057
2021-07-24,bathinda,5,0.4,,5 new cases,,41485,82,40364,1039
2021-07-24,fazilka,5,0.6,,"1 contact of positive case, 4 new cases(opd)",,20134,54,19555,525
2021-07-24,hoshiarpur,5,0.22,,"1 contact of positive case, 4 new cases",,30625,44,29607,974
2021-07-24,jalandhar,4,0.08,,4 new cases,,63056,85,61481,1490
2021-07-24,kapurthala,4,0.2,,4 new cases,,17728,24,17152,552
2021-07-24,barnala,3,0.74,,3 new cases,,5899,18,5641,240
2021-07-24,fg sahib,3,0.3,,3 new cases,,8775,11,8485,279
2021-07-24,gurdaspur,3,0.09,,3 new cases,,22218,32,21389,797
2021-07-24,moga,2,0.38,,2 new cases,,8614,7,8376,231
2021-07-24,ropar,2,0.25,,2 new cases,,12868,11,12441,416
2021-07-24,faridkot,1,0.13,,1 new case,,13819,30,13478,311
2021-07-24,muktsar,1,0.04,,1 new case,,18711,31,18157,523
2021-07-24,mansa,0,0,,,,15565,11,15253,301
2021-07-24,sangrur,0,0,,,,15671,17,14787,867
2021-07-24,sbs nagar,0,0,,,,11422,3,11048,371
2021-07-24,tarn taran,0,0,,,,7966,18,7578,370
2021-07-24,on the daypunjab,83,0.21,,,,,,,
2021-07-24,total,,,,,,598741,771,581712,16258
2021-07-23,jalandhar,16,0.33,,16 new cases,,63052,91,61471,1490
2021-07-23,bathinda,6,0.75,,6 new cases,,41480,93,40348,1039
2021-07-23,faridkot,5,0.6,,5 new cases,,13818,36,13471,311
2021-07-23,ferozepur,5,0.61,,5 new cases,,14204,67,13647,490
2021-07-23,sas nagar,5,0.64,,5 new cases,,68422,36,67329,1057
2021-07-23,amritsar,4,0.16,,4 new cases,,47024,55,45388,1581
2021-07-23,hoshiarpur,4,0.16,,4 new cases,,30620,44,29602,974
2021-07-23,muktsar,4,0.2,,4 new case,,18710,35,18152,523
