date,district,cases_today,deaths_today,cases_total,deaths_total,under_treatment,cured_total
25-07-2021,amritsar,0,0,60,4,39,12
25-07-2021,barnala,0,0,14,4,5,1
25-07-2021,bathinda,0,0,51,5,16,25
25-07-2021,faridkot,0,0,12,1,4,4
25-07-2021,fatehgarh sahib,0,0,9,1,4,4
25-07-2021,fazilka,0,0,16,1,2,8
25-07-2021,firozepur,1,0,17,1,7,7
25-07-2021,gurdaspur,1,0,30,3,18,6
25-07-2021,hoshiarpur,0,0,25,1,20,3
25-07-2021,jalandhar,0,0,54,6,33,13
25-07-2021,kapurthala,0,0,12,2,5,5
25-07-2021,ludhiana,0,0,108,8,35,46
25-07-2021,mansa,0,0,27,0,12,12
25-07-2021,moga,0,0,10,0,6,1
25-07-2021,pathankot,0,0,5,1,3,1
25-07-2021,patiala,0,0,32,2,18,7
25-07-2021,rupnagar (ropar),0,0,2,0,2,0
25-07-2021,s.a.s nagar,0,0,13,0,9,4
25-07-2021,sangrur,0,0,30,1,17,10
25-07-2021,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0
25-07-2021,sri muktsar sahib,0,0,34,2,17,8
25-07-2021,tarn taran,0,0,19,1,14,4
25-07-2021,other states,0,0,70,6,33,23
25-07-2021,grand total,2,0,659,51,327,204
24-07-2021,amritsar,0,0,60,4,39,12
24-07-2021,barnala,0,0,14,4,5,1
24-07-2021,bathinda,0,0,51,5,15,26
24-07-2021,faridkot,0,0,12,1,4,4
24-07-2021,fatehgarh sahib,0,0,9,1,5,3
24-07-2021,fazilka,0,0,16,1,1,9
24-07-2021,firozepur,0,0,16,1,6,7
24-07-2021,gurdaspur,0,0,29,3,17,6
24-07-2021,hoshiarpur,0,0,25,1,20,3
24-07-2021,jalandhar,0,0,54,6,33,13
24-07-2021,kapurthala,0,0,12,2,5,5
24-07-2021,ludhiana,0,0,108,8,36,45
24-07-2021,mansa,0,0,27,0,12,12
24-07-2021,moga,0,0,10,0,6,1
24-07-2021,pathankot,0,0,5,1,3,1
24-07-2021,patiala,0,0,32,2,18,7
24-07-2021,rupnagar (ropar),0,0,2,0,2,0
24-07-2021,s.a.s nagar,0,0,13,0,9,4
24-07-2021,sangrur,0,0,30,1,17,10
24-07-2021,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0
24-07-2021,sri muktsar sahib,0,0,34,2,17,8
24-07-2021,tarn taran,0,0,19,1,14,4
24-07-2021,other states,0,0,70,6,34,22
24-07-2021,grand total,0,0,657,51,326,203
23-07-2021,amritsar,0,0,60,4,39,12
23-07-2021,barnala,0,0,14,4,5,1
23-07-2021,bathinda,0,0,51,5,15,26
23-07-2021,faridkot,0,0,12,1,4,4
23-07-2021,fatehgarh sahib,0,0,9,1,5,3
23-07-2021,fazilka,0,0,16,1,1,9
23-07-2021,firozepur,0,0,16,1,6,7
23-07-2021,gurdaspur,0,0,29,3,17,6
23-07-2021,hoshiarpur,0,0,25,1,20,3
23-07-2021,jalandhar,0,0,54,6,33,13
23-07-2021,kapurthala,0,0,12,2,5,5
23-07-2021,ludhiana,1,0,108,8,36,45
23-07-2021,mansa,0,0,27,0,12,12
23-07-2021,moga,0,0,10,0,6,1
23-07-2021,pathankot,0,0,5,1,3,1
23-07-2021,patiala,0,0,32,2,18,7
23-07-2021,rupnagar (ropar),0,0,2,0,2,0
23-07-2021,s.a.s nagar,0,0,13,0,9,4
23-07-2021,sangrur,-1,0,30,1,17,10
23-07-2021,shahid bhagat singh nagar(nawanshahr),0,0,9,1,8,0
