date,comorbidities_government_dme,comorbidities_government_dms,comorbidities_private,comorbidities_total,no_comorbidities_government_dme,no_comorbidities_government_dms,no_comorbidities_private,no_comorbidities_other_government_institutions,no_comorbidities_total
23-07-2020,44,8,19,77,3,1,6,,11
24-07-2020,53,7,21,82,4,1,1,,6
25-07-2020,52,5,22,84,3,1,1,,5
26-07-2020,37,3,34,75,8,0,2,,10
28-07-2020,55,6,22,85,2,0,1,,3
29-07-2020,40,8,27,75,3,3,1,,7
30-07-2020,51,6,30,89,5,1,2,,8
31-07-2020,51,8,28,89,7,0,1,,8
01-08-2020,60,7,21,90,8,0,1,,9
02-08-2020,59,6,22,90,6,1,1,,8
03-08-2020,69,7,23,102,6,0,0,,7
04-08-2020,69,7,22,99,6,0,3,,9
05-08-2020,75,2,26,104,5,1,2,,8
06-08-2020,74,9,21,104,5,0,1,,6
07-08-2020,62,7,41,115,4,0,0,,4
08-08-2020,62,7,35,109,6,0,2,,9
09-08-2020,63,8,31,103,12,1,3,,16
10-08-2020,71,4,30,105,3,1,4,,9
11-08-2020,48,9,45,107,6,2,2,,11
13-08-2020,64,9,36,112,5,0,2,,7
14-08-2020,67,5,30,105,6,0,4,,12
15-08-2020,61,6,41,115,9,0,3,,12
16-08-2020,62,6,37,108,14,0,2,,17
18-08-2020,64,10,31,108,10,1,1,,13
19-08-2020,61,12,32,107,5,1,0,,9
21-08-2020,49,4,35,93,6,1,1,,8
22-08-2020,40,7,22,72,5,1,1,,8
23-08-2020,61,5,21,87,10,0,0,,10
26-08-2020,53,9,41,107,7,1,0,,11
27-08-2020,54,8,30,101,6,1,0,,8
28-08-2020,48,10,32,97,2,1,1,,5
29-08-2020,43,5,27,82,3,0,1,,5
30-08-2020,41,9,35,87,5,0,2,,7
31-08-2020,31,7,34,81,6,1,1,,10
01-09-2020,51,3,33,92,2,0,2,,4
02-09-2020,42,9,40,93,1,1,1,,5
03-09-2020,44,7,30,83,3,1,4,,9
04-09-2020,32,11,27,71,6,1,1,,8
07-09-2020,40,5,34,82,4,0,2,,7
09-09-2020,40,9,20,76,1,0,1,,2
10-09-2020,27,7,22,58,4,2,0,,6
11-09-2020,33,2,36,74,3,0,0,,3
12-09-2020,25,8,33,68,2,0,4,,8
14-09-2020,26,2,18,50,1,0,1,,3
15-09-2020,26,5,27,60,7,0,1,,8
16-09-2020,23,4,20,50,4,0,3,,7
17-09-2020,27,3,20,52,4,0,3,,7
18-09-2020,21,3,32,60,5,0,2,,7
20-09-2020,25,5,18,51,3,1,4,,9
21-09-2020,22,3,28,57,2,0,1,,3
22-09-2020,29,6,29,69,3,0,3,,7
23-09-2020,24,5,26,59,1,1,1,,4
24-09-2020,24,11,21,58,5,1,2,,8
25-09-2020,31,2,33,68,2,0,2,,4
27-09-2020,37,10,27,77,2,1,0,,3
28-09-2020,29,7,25,64,1,1,4,,6
29-09-2020,31,8,26,66,1,0,3,,4
30-09-2020,27,8,18,62,0,2,3,,5
01-10-2020,23,5,22,57,2,1,5,,9
02-10-2020,31,5,22,62,1,1,2,,5
03-10-2020,21,11,24,61,3,1,0,,4
04-10-2020,24,5,27,60,3,0,2,,6
05-10-2020,20,8,30,59,2,0,1,,3
06-10-2020,29,5,30,66,3,1,0,,5
07-10-2020,23,6,31,61,2,0,1,,6
08-10-2020,25,5,28,60,4,1,3,,8
09-10-2020,26,4,32,64,1,0,2,,4
11-10-2020,19,3,38,63,1,0,1,,2
12-10-2020,18,6,25,56,2,0,4,,6
13-10-2020,21,9,18,53,0,2,1,,4
14-10-2020,24,3,19,50,0,0,2,,2
15-10-2020,22,1,22,47,2,0,0,,2
16-10-2020,26,6,18,51,2,2,2,,6
17-10-2020,23,2,25,54,0,0,2,,3
18-10-2020,22,2,29,55,1,0,0,,1
19-10-2020,19,4,25,48,1,0,0,,1
20-10-2020,18,6,18,44,2,3,1,,6
22-10-2020,16,5,20,43,1,1,0,,2
23-10-2020,13,4,12,30,2,0,1,,3
24-10-2020,11,4,12,30,0,1,4,,5
25-10-2020,10,5,14,30,0,1,0,,1
26-10-2020,10,4,13,29,1,1,1,,3
27-10-2020,11,4,11,27,0,0,0,,0
28-10-2020,12,3,14,31,1,0,2,,4
29-10-2020,12,2,15,32,2,0,1,,3
30-10-2020,15,2,16,36,1,0,1,,2
31-10-2020,8,3,17,31,0,0,0,,0
01-11-2020,10,2,14,28,0,1,1,,2
02-11-2020,8,0,19,28,0,0,2,,3
03-11-2020,9,4,15,29,1,0,0,,2
04-11-2020,10,2,17,29,1,0,0,,1
05-11-2020,12,1,13,26,1,0,1,,2
06-11-2020,19,1,5,25,1,0,1,,2
07-11-2020,9,0,13,22,1,1,1,,3
08-11-2020,6,1,9,20,0,0,0,,0
09-11-2020,8,2,6,17,0,1,0,,1
10-11-2020,13,1,7,22,1,0,2,,3
11-11-2020,8,1,11,24,2,0,2,,4
12-11-2020,8,2,11,22,2,0,1,,3
13-11-2020,4,0,5,12,0,0,2,,2
16-11-2020,6,0,9,16,0,0,0,,1
17-11-2020,5,0,12,18,0,0,0,,0
18-11-2020,6,0,10,18,0,0,0,,0
19-11-2020,5,1,7,18,1,0,0,,1
20-11-2020,5,0,11,17,1,0,0,,1
21-11-2020,6,1,7,18,0,0,0,,0
22-11-2020,7,0,10,18,0,0,1,,1
23-11-2020,7,1,8,16,0,0,1,,1
24-11-2020,9,0,6,16,0,0,1,,1
25-11-2020,8,0,6,14,0,0,2,,2
26-11-2020,7,0,5,13,0,0,1,,1
27-11-2020,6,0,5,12,0,0,0,,0
28-11-2020,5,0,7,13,0,0,0,,0
29-11-2020,6,0,2,9,0,0,0,,0
01-12-2020,4,0,5,9,0,0,1,,1
02-12-2020,4,0,6,11,0,0,0,,0
03-12-2020,5,1,7,13,1,0,0,,1
05-12-2020,6,0,8,15,0,0,0,,0
06-12-2020,4,0,11,16,0,0,0,,0
07-12-2020,4,2,9,16,0,0,0,,0
08-12-2020,4,1,7,13,0,0,0,,0
09-12-2020,5,1,7,14,0,0,0,,0
10-12-2020,5,0,8,16,0,0,1,,1
11-12-2020,8,0,8,17,0,0,0,,0
12-12-2020,5,1,6,12,1,0,0,,1
13-12-2020,4,0,6,10,1,0,1,,2
14-12-2020,5,1,8,14,0,0,0,,0
15-12-2020,4,0,6,10,0,0,0,,0
17-12-2020,4,0,5,10,1,0,0,,1
18-12-2020,4,0,7,12,0,0,0,,0
19-12-2020,5,0,6,14,0,0,0,,0
20-12-2020,4,1,8,15,0,0,0,,0
21-12-2020,6,0,6,12,0,0,0,,0
22-12-2020,7,0,4,13,1,0,3,,4
23-12-2020,6,0,3,11,0,0,1,,1
24-12-2020,3,2,6,12,0,0,0,,0
25-12-2020,4,0,7,11,0,0,1,,1
26-12-2020,4,0,5,10,1,0,0,,1
27-12-2020,6,1,3,10,0,0,0,,0
28-12-2020,6,0,4,10,0,0,1,,1
29-12-2020,4,0,6,11,1,0,0,,1
30-12-2020,6,0,5,14,0,0,3,,3
31-12-2020,5,0,4,10,0,0,3,,3
01-01-2021,7,0,5,13,0,0,0,,0
02-01-2021,4,0,4,9,1,0,1,,2
03-01-2021,4,0,4,10,0,0,0,,0
04-01-2021,4,1,3,10,0,0,0,,0
05-01-2021,4,0,6,10,0,0,1,,1
06-01-2021,3,0,5,9,1,1,0,,2
07-01-2021,5,0,6,12,0,0,0,,0
08-01-2021,2,0,3,8,0,0,0,,0
09-01-2021,2,0,5,7,0,0,0,,0
10-01-2021,1,2,3,7,0,0,0,,0
11-01-2021,1,0,4,6,0,0,0,,0
12-01-2021,1,0,5,6,2,0,0,,2
13-01-2021,1,0,3,6,0,0,0,,0
14-01-2021,2,0,2,4,0,0,0,,0
15-01-2021,1,0,3,4,1,0,0,,1
16-01-2021,2,0,4,6,0,0,0,,0
17-01-2021,2,0,4,6,0,0,1,,1
18-01-2021,2,0,5,8,0,0,0,,0
19-01-2021,2,0,6,9,0,0,0,,0
21-01-2021,3,0,6,9,0,0,0,,0
22-01-2021,1,0,6,8,0,0,0,,0
23-01-2021,1,0,1,2,0,0,0,,0
24-01-2021,1,1,3,7,0,0,0,,0
25-01-2021,1,0,2,4,0,0,0,,0
26-01-2021,2,0,3,5,0,0,0,,0
27-01-2021,3,0,4,7,0,0,1,,1
28-01-2021,2,1,3,6,0,0,0,,0
29-01-2021,3,0,2,5,0,0,1,,1
30-01-2021,2,0,2,4,1,0,0,,1
31-01-2021,3,0,2,6,0,0,0,,0
01-02-2021,2,0,4,6,1,0,0,,1
02-02-2021,3,0,1,4,0,0,0,,0
03-02-2021,2,0,2,4,0,0,0,,0
04-02-2021,1,0,1,3,1,0,0,,1
05-02-2021,0,0,2,3,1,0,0,,1
06-02-2021,1,0,2,3,0,0,0,,0
07-02-2021,0,0,0,0,1,0,0,,1
08-02-2021,1,0,3,4,0,0,0,,0
09-02-2021,1,0,3,4,0,0,0,,0
10-02-2021,2,0,2,5,0,0,0,,0
11-02-2021,1,0,3,5,1,0,0,,1
12-02-2021,2,0,2,4,1,0,1,,2
13-02-2021,1,0,2,4,1,0,0,,1
14-02-2021,2,0,2,5,0,0,1,,1
15-02-2021,2,0,3,6,0,0,0,,0
16-02-2021,3,0,4,7,0,0,0,,0
17-02-2021,2,0,3,5,0,0,1,,1
18-02-2021,2,0,2,5,1,0,0,,1
19-02-2021,2,0,4,6,1,0,0,,1
20-02-2021,3,0,1,6,0,0,0,,0
21-02-2021,0,0,0,1,2,0,0,,2
22-02-2021,3,0,2,6,0,0,0,,0
23-02-2021,1,0,2,5,0,0,1,,1
24-02-2021,2,1,2,5,1,0,0,,1
25-02-2021,2,0,2,4,1,0,0,,1
26-02-2021,2,0,2,4,1,0,0,,1
27-02-2021,3,0,2,5,0,0,0,,0
28-02-2021,1,0,1,3,0,0,0,,0
01-03-2021,3,0,2,5,0,0,0,,0
02-03-2021,1,0,0,1,0,0,0,,0
03-03-2021,2,0,0,2,0,0,0,,0
04-03-2021,1,0,1,3,1,0,0,,1
05-03-2021,3,0,1,4,0,0,1,,1
06-03-2021,3,0,1,4,0,0,0,,0
07-03-2021,0,0,1,1,0,0,0,,0
08-03-2021,1,0,2,3,0,0,0,,0
09-03-2021,2,0,2,4,0,0,0,,0
10-03-2021,2,1,2,5,0,0,0,,0
11-03-2021,2,0,3,5,0,0,0,,0
12-03-2021,2,0,2,4,0,0,0,,0
13-03-2021,2,0,2,4,0,0,0,,0
14-03-2021,2,0,2,4,0,0,0,,0
15-03-2021,2,0,2,4,0,0,0,,0
16-03-2021,2,0,1,5,0,0,0,,0
17-03-2021,2,0,4,7,1,0,0,,1
18-03-2021,3,1,5,9,0,0,0,,0
19-03-2021,3,0,6,9,0,0,0,,0
20-03-2021,1,0,5,6,2,0,0,,2
21-03-2021,4,0,3,7,1,0,1,,2
22-03-2021,5,0,4,9,0,0,1,,1
23-03-2021,3,0,4,8,1,0,0,,1
24-03-2021,5,1,5,11,0,0,1,,1
25-03-2021,3,0,5,10,0,0,0,,1
26-03-2021,2,0,4,7,2,0,0,,2
27-03-2021,5,0,4,9,0,0,0,,0
28-03-2021,4,2,4,10,1,0,0,,1
29-03-2021,,,,,0,0,1,,2
30-03-2021,4,1,7,14,2,0,0,,2
31-03-2021,7,0,10,17,1,0,1,,2
01-04-2021,7,1,8,16,0,0,2,,3
02-04-2021,2,1,8,12,0,0,0,,0
03-04-2021,5,0,7,14,0,0,0,,0
04-04-2021,4,0,7,12,2,0,0,,2
05-04-2021,1,1,5,9,2,0,0,,2
06-04-2021,8,0,4,12,1,0,2,,3
07-04-2021,6,0,8,14,2,0,1,,3
08-04-2021,5,0,8,14,4,0,0,,5
09-04-2021,8,0,8,20,2,0,1,,3
10-04-2021,6,3,7,18,5,0,0,,5
11-04-2021,5,1,13,20,1,0,1,,2
12-04-2021,6,0,10,18,0,0,1,,1
13-04-2021,6,2,7,16,1,0,1,,2
14-04-2021,7,2,11,22,2,0,1,,3
15-04-2021,6,3,12,22,3,2,2,,7
16-04-2021,8,2,18,29,3,0,0,,4
17-04-2021,8,2,18,30,4,1,4,,9
18-04-2021,12,2,20,37,3,1,1,,5
19-04-2021,11,6,22,40,4,0,0,,4
20-04-2021,9,4,23,41,2,0,3,,7
21-04-2021,15,3,29,50,0,0,3,,3
22-04-2021,14,1,34,51,3,0,5,,8
23-04-2021,19,3,39,66,6,0,5,,12
24-04-2021,19,9,36,67,7,1,5,,13
25-04-2021,21,2,46,70,7,0,5,,12
26-04-2021,33,7,37,80,6,1,7,,14
27-04-2021,31,2,26,63,9,0,5,,14
28-04-2021,36,5,41,84,8,0,6,,14
29-04-2021,40,3,36,88,8,0,10,,19
30-04-2021,27,7,42,83,15,5,10,,30
01-05-2021,51,11,43,114,18,3,12,,33
02-05-2021,41,13,58,113,14,2,23,,40
03-05-2021,42,6,43,100,15,1,3,,22
04-05-2021,53,5,48,110,21,3,10,,34
05-05-2021,50,16,58,133,19,0,15,,34
06-05-2021,51,7,67,150,24,5,14,,45
07-05-2021,62,18,59,150,27,5,14,,47
08-05-2021,70,22,79,180,40,9,11,,61
09-05-2021,69,32,74,189,27,9,11,,47
10-05-2021,65,17,75,174,27,6,23,,58
11-05-2021,105,14,84,220,51,3,22,,78
12-05-2021,83,24,110,226,31,11,21,,67
14-05-2021,64,29,101,220,34,4,29,,68
15-05-2021,94,17,98,228,41,3,27,,75
16-05-2021,86,14,121,227,51,5,27,,84
17-05-2021,89,20,126,257,44,5,26,,78
18-05-2021,88,25,149,273,54,14,23,,91
19-05-2021,106,18,156,293,40,9,22,,72
20-05-2021,106,32,149,300,52,7,36,,97
21-05-2021,139,35,140,339,76,18,28,,128
22-05-2021,120,33,140,323,73,21,29,,125
23-05-2021,115,39,148,308,58,20,34,,114
24-05-2021,97,50,145,301,42,28,32,,103
26-05-2021,125,46,158,347,68,19,39,,128
27-05-2021,136,44,161,349,58,27,38,,125
30-05-2021,152,44,155,364,59,21,44,,129
02-06-2021,137,62,158,368,42,25,46,,115
03-06-2021,132,39,167,353,52,8,46,,107
04-06-2021,145,50,151,361,40,20,39,,102
05-06-2021,136,56,139,345,49,20,27,,98
06-06-2021,138,51,131,324,56,19,35,,110
07-06-2021,140,44,77,268,41,16,26,,83
08-06-2021,131,41,118,302,60,12,32,,107
09-06-2021,103,58,129,311,32,16,40,,94
10-06-2021,118,43,106,279,30,19,29,,79
11-06-2021,118,50,109,298,37,13,29,,80
12-06-2021,119,27,95,273,40,16,35,,101
13-06-2021,93,41,61,198,35,13,19,,69
14-06-2021,71,34,89,197,22,15,19,,57
15-06-2021,76,35,89,204,21,12,30,,63
16-06-2021,64,53,85,206,23,14,21,,64
17-06-2021,57,18,90,166,18,7,19,,44
18-06-2021,59,39,111,220,16,14,34,,67
19-06-2021,41,29,52,135,13,10,18,,45
20-06-2021,62,31,60,154,9,2,16,,28
21-06-2021,60,25,62,151,9,9,20,,38
23-06-2021,72,13,43,131,18,3,14,,35
24-06-2021,54,20,46,127,10,6,11,,28
25-06-2021,63,15,47,125,12,5,8,,25
26-06-2021,57,30,41,131,6,4,7,,17
28-06-2021,39,12,25,76,6,4,12,,22
29-06-2021,47,6,40,94,12,5,7,,24
30-06-2021,43,14,30,97,8,2,4,,16
01-07-2021,50,14,20,85,10,3,4,,17
02-07-2021,55,5,16,79,9,2,7,,18
03-07-2021,57,10,17,98,9,3,5,,17
