date,airport,flights_arrived,passengers,positive_cases
13-12-2021,chennai,46188,4649812,448
13-12-2021,coimbatore,7223,789729,370
13-12-2021,madurai,4738,460399,159
13-12-2021,trichy,2327,136860,108
13-12-2021,total,60476,6036800,1085
11-12-2021,chennai,45924,4614038,448
11-12-2021,coimbatore,7180,783335,370
11-12-2021,madurai,4711,457723,159
11-12-2021,trichy,2317,136186,108
11-12-2021,total,60132,5991282,1085
10-12-2021,chennai,45796,4596685,448
10-12-2021,coimbatore,7158,780357,370
10-12-2021,madurai,4698,456462,159
10-12-2021,trichy,2312,135844,108
10-12-2021,total,59964,5969348,1085
09-12-2021,chennai,45665,4579187,448
09-12-2021,coimbatore,7137,777196,370
09-12-2021,madurai,4685,455195,159
09-12-2021,trichy,2307,135342,108
09-12-2021,total,59794,5946920,1085
08-12-2021,chennai,45536,4562244,448
08-12-2021,coimbatore,7118,774352,370
08-12-2021,madurai,4672,453922,159
08-12-2021,trichy,2302,134943,108
08-12-2021,total,59628,5925461,1085
07-12-2021,chennai,45406,4546397,448
07-12-2021,coimbatore,7097,771439,370
07-12-2021,madurai,4658,452591,159
07-12-2021,trichy,2297,134631,108
07-12-2021,total,59458,5905058,1085
06-12-2021,chennai,45277,4530009,448
06-12-2021,coimbatore,7078,768665,370
06-12-2021,madurai,4645,451340,159
06-12-2021,trichy,2292,134333,108
06-12-2021,total,59292,5884347,1085
05-12-2021,chennai,45142,4512322,448
05-12-2021,coimbatore,7057,765845,370
05-12-2021,madurai,4632,450021,159
05-12-2021,trichy,2286,133929,108
05-12-2021,total,59117,5862117,1085
04-12-2021,chennai,45007,4495541,448
04-12-2021,coimbatore,7036,762954,370
04-12-2021,madurai,4618,448643,159
04-12-2021,trichy,2282,133642,108
04-12-2021,total,58943,5840780,1085
03-12-2021,chennai,44879,4480025,448
03-12-2021,coimbatore,7017,760426,370
03-12-2021,madurai,4605,447444,159
03-12-2021,trichy,2277,133307,108
03-12-2021,total,58778,5821202,1085
02-12-2021,chennai,44749,4464546,448
02-12-2021,coimbatore,6996,757536,370
02-12-2021,madurai,4592,446289,159
02-12-2021,trichy,2270,133020,108
02-12-2021,total,58607,5801391,1085
01-12-2021,chennai,44622,4449534,448
01-12-2021,coimbatore,6977,755070,370
01-12-2021,madurai,4579,445233,159
01-12-2021,trichy,2263,132711,108
01-12-2021,total,58441,5782548,1085
30-11-2021,chennai,44492,4434259,448
30-11-2021,coimbatore,6957,752519,370
30-11-2021,madurai,4564,443944,159
30-11-2021,trichy,2256,132395,108
30-11-2021,total,58269,5763117,1085
29-11-2021,chennai,44359,4418030,448
29-11-2021,coimbatore,6939,750229,370
