date,perc_fatality_covid19,perc_fatality_comorbities
23-09-2020,46.13,
06-10-2020,44.96,
07-10-2020,44.96,
08-10-2020,44.96,
09-10-2020,44.96,
10-10-2020,44.96,
11-10-2020,44.96,
12-10-2020,44.96,
13-10-2020,44.96,
15-10-2020,44.96,
16-10-2020,44.96,
17-10-2020,44.96,
19-10-2020,44.96,
21-10-2020,44.96,
22-10-2020,44.96,
23-10-2020,44.96,
24-10-2020,44.96,
25-10-2020,44.96,
26-10-2020,44.96,
27-10-2020,44.96,
28-10-2020,44.96,
29-10-2020,44.96,
30-10-2020,44.96,
01-11-2020,44.96,
02-11-2020,44.96,
03-11-2020,44.96,
04-11-2020,44.96,
05-11-2020,44.96,
06-11-2020,44.96,
07-11-2020,44.96,
08-11-2020,44.96,
09-11-2020,44.96,
10-11-2020,44.96,
11-11-2020,44.96,
12-11-2020,44.96,
13-11-2020,44.96,
14-11-2020,44.96,
15-11-2020,44.96,
16-11-2020,44.96,
17-11-2020,44.96,
18-11-2020,44.96,
19-11-2020,44.96,
20-11-2020,44.96,
21-11-2020,44.96,
22-11-2020,44.96,
23-11-2020,44.96,
24-11-2020,44.96,
25-11-2020,44.96,
26-11-2020,44.96,
27-11-2020,44.96,
28-11-2020,44.96,
29-11-2020,44.96,
30-11-2020,44.96,
10-12-2020,44.96,
11-12-2020,44.96,
12-12-2020,44.96,
13-12-2020,44.96,
14-12-2020,44.96,
15-12-2020,44.96,
16-12-2020,44.96,
17-12-2020,44.96,
18-12-2020,44.96,
19-12-2020,44.96,
20-12-2020,44.96,
21-12-2020,44.96,
22-12-2020,44.96,
23-12-2020,44.96,
24-12-2020,44.96,
25-12-2020,44.96,
26-12-2020,44.96,
27-12-2020,44.96,
28-12-2020,44.96,
29-12-2020,44.96,
30-12-2020,44.96,
01-01-2021,44.96,
02-01-2021,44.96,
03-01-2021,44.96,
04-01-2021,44.96,
05-01-2021,44.96,
06-01-2021,44.96,
07-01-2021,44.96,
08-01-2021,44.96,
09-01-2021,44.96,
10-01-2021,44.96,
11-01-2021,44.96,
12-01-2021,44.96,
13-01-2021,44.96,
14-01-2021,44.96,
15-01-2021,44.96,
16-01-2021,44.96,
17-01-2021,44.96,
18-01-2021,44.96,
19-01-2021,44.96,
20-01-2021,44.96,
21-01-2021,44.96,
22-01-2021,44.96,
23-01-2021,44.96,
24-01-2021,44.96,
25-01-2021,44.96,
26-01-2021,44.96,
27-01-2021,44.96,
28-01-2021,44.96,
29-01-2021,44.96,
01-02-2021,44.96,
02-02-2021,44.96,
03-02-2021,44.96,
04-02-2021,44.96,
05-02-2021,44.96,
06-02-2021,44.96,
07-02-2021,44.96,
08-02-2021,44.96,
09-02-2021,44.96,
10-02-2021,44.96,
11-02-2021,44.96,
12-02-2021,44.96,
13-02-2021,44.96,
14-02-2021,44.96,
15-02-2021,44.96,
16-02-2021,44.96,
17-02-2021,44.96,
18-02-2021,44.96,
19-02-2021,44.96,
26-02-2021,44.96,
27-02-2021,44.96,
01-03-2021,44.96,
02-03-2021,44.96,
03-03-2021,44.96,
04-03-2021,44.96,
05-03-2021,44.96,
06-03-2021,44.96,
07-03-2021,44.96,
08-03-2021,44.96,
09-03-2021,44.96,
10-03-2021,44.96,
11-03-2021,44.96,
12-03-2021,44.96,
13-03-2021,44.96,
14-03-2021,44.96,
15-03-2021,44.96,
16-03-2021,44.96,
17-03-2021,44.96,
18-03-2021,44.96,
19-03-2021,44.96,
20-03-2021,44.96,
21-03-2021,44.96,
22-03-2021,44.96,
23-03-2021,44.96,
24-03-2021,44.96,
25-03-2021,44.96,
26-03-2021,44.96,
27-03-2021,44.96,
28-03-2021,44.96,
29-03-2021,44.96,
30-03-2021,44.96,
31-03-2021,44.96,
01-04-2021,44.96,
02-04-2021,44.96,
03-04-2021,44.96,
04-04-2021,44.31,
05-04-2021,44.31,
06-04-2021,44.31,
07-04-2021,44.31,
08-04-2021,44.31,
09-04-2021,44.31,
10-04-2021,44.31,
11-04-2021,44.31,
12-04-2021,44.31,
13-04-2021,44.31,
