date,cases_new,cases_total,discharged_total,discharged_new,deaths_total,deaths_new,cases_active_total,cases_active_new,discharge_rate,fatality_rate
22-09-2021,683,1563393,,,,,7724,-17,,
21-09-2021,537,1562710,1536291,592,18678,14,7741,-69,98.31,1.20%
20-09-2021,524,1562173,,,,,7810,-96,,
19-09-2021,635,1561649,,,,,7906,-61,,
18-09-2021,728,1561014,1534406,757,18641,12,7967,-41,98.3,1.19%
17-09-2021,719,1560286,,,,,8008,-17,,
16-09-2021,707,1559567,1532922,725,18620,7,8025,-25,98.29,1.19%
15-09-2021,743,1558860,1532197,753,18613,14,8050,-24,98.29,1.19%
14-09-2021,703,1558117,1531444,713,18599,12,8074,-22,98.29,1.19%
13-09-2021,506,1557414,1530731,587,18587,10,8096,-91,98.29,1.19%
12-09-2021,751,1556908,,,,,8187,-16,,
11-09-2021,752,1556157,1529387,754,18567,14,8203,-16,98.28,1.19%
10-09-2021,753,1555405,1528633,766,18553,14,8219,-27,98.28,1.19%
09-09-2021,724,1554652,1527867,758,18539,8,8246,-42,98.28,1.19%
08-09-2021,751,1553928,1527109,841,18531,9,8288,-99,98.27,1.19%
07-09-2021,601,1553177,1526268,687,18522,7,8387,-93,98.27,1.19%
06-09-2021,505,1552576,1525581,664,18515,13,8480,-172,98.26,1.19%
05-09-2021,707,1552071,,,,,8652,-27,,
04-09-2021,700,1551364,1524194,707,18491,8,8679,-15,98.25,1.19%
03-09-2021,686,1550664,1523487,715,18483,11,8694,-40,98.25,1.19%
02-09-2021,695,1549978,1522772,749,18472,13,8734,-67,98.24,1.19%
01-09-2021,679,1549283,1522023,681,18459,12,8801,-14,98.24,1.19%
31-08-2021,546,1548604,1521342,640,18447,13,8815,-107,98.24,1.19%
30-08-2021,510,1548058,1520702,647,18434,11,8922,-148,98.23,1.19%
29-08-2021,650,1547548,1520055,683,18423,6,9070,-39,98.22,1.19%
28-08-2021,661,1546898,1519372,688,18417,7,9109,-34,98.22,1.19%
27-08-2021,703,1546237,1518684,719,18410,8,9143,-24,98.22,1.19%
25-08-2021,708,1544817,1517239,730,18393,10,9185,-32,98.21,1.19%
24-08-2021,613,1544109,1516509,720,18383,12,9217,-119,98.21,1.19%
23-08-2021,510,1543496,1515789,628,18371,7,9336,-125,98.2,1.19%
22-08-2021,561,1542986,,,,,9461,-133,,
21-08-2021,678,1542425,1514475,709,18356,10,9594,-41,98.19,1.19%
20-08-2021,758,1541747,1513766,767,18346,9,9635,-749,98.19,1.19%
19-08-2021,731,1540989,,,,,9653,-62,,
18-08-2021,646,1540258,1512218,660,18325,7,9715,-21,98.18,1.19%
17-08-2021,547,1539612,1511558,637,18318,6,9736,-96,98.18,1.19%
16-08-2021,502,1539065,1510921,691,18312,9,9832,-198,98.17,1.19%
15-08-2021,673,1538563,,,,,10030,-48,,
14-08-2021,705,1537890,1509521,721,18291,15,10078,-31,98.16,1.19%
13-08-2021,739,1537185,1508800,749,18276,8,10109,-18,98.15,1.19%
12-08-2021,747,1536446,1508051,773,18268,10,10127,-36,98.15,1.19%
11-08-2021,700,1535699,1507278,746,18258,6,10163,-52,98.15,1.19%
10-08-2021,639,1534999,1506532,724,18252,12,10215,-97,98.15,1.19%
09-08-2021,557,1534360,1505808,719,18240,11,10312,-173,98.14,1.19%
08-08-2021,675,1533803,1505089,763,18229,12,10485,-100,98.13,1.19%
07-08-2021,749,1533128,1504326,791,18217,15,10585,-57,98.12,1.19%
06-08-2021,717,1532379,1503535,787,18202,9,10642,-79,98.12,1.19%
05-08-2021,812,1531662,1502748,823,18193,13,10721,-24,98.11,1.19%
04-08-2021,826,1530850,1501925,838,18180,10,10745,-22,98.11,1.19%
03-08-2021,729,1530024,1501087,756,18170,9,10767,-36,98.11,1.19%
02-08-2021,575,1529295,1500331,734,18161,12,10803,-171,98.11,1.19%
01-08-2021,701,1528720,1499597,827,18149,13,10974,-139,98.09,1.19%
30-07-2021,711,1527250,1497951,835,18128,5,11171,-129,98.08,1.19%
29-07-2021,766,1526539,1497116,822,18123,14,11300,-70,98.07,1.19%
28-07-2021,815,1525773,1496294,811,18109,14,11370,-10,98.07,1.19%
27-07-2021,662,1524958,1495483,838,18095,10,11380,-186,98.07,1.19%
26-07-2021,657,1524296,1494645,875,18085,12,11566,-230,98.05,1.19%
25-07-2021,806,1523639,1493770,892,18073,9,11796,-95,98.04,1.19%
24-07-2021,730,1522833,1492878,920,18064,8,11891,-198,98.03,1.19%
