,date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes,day,month,year,Index,people_per_hospital,covid_beds_for_population,icu_hdu_beds_for_population,ventilators_for_population,people_per_hospital_per_million,covid_beds_per_million,icu_hdu_beds_per_million,ventilators_per_million
462,05-05-2020,69.0,15,52.0,8785.0,13.04,860,,,271.0,,,,,,Tuesday,May2020,2020,20200505,1304347.8260869565,10244.735344336937,104651.16279069768,332103.3210332103,14492.753623188406,113.83039271485487,1162.7906976744187,3690.036900369004
461,08-06-2020,69.0,16,53.0,8785.0,22.03,920,,,392.0,,,,,,Monday,June2020,2020,20200608,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
460,09-06-2020,69.0,16,53.0,8785.0,22.96,920,,,392.0,,,,,,Tuesday,June2020,2020,20200609,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
459,10-06-2020,69.0,16,53.0,8785.0,23.16,920,,,392.0,,,,,,Wednesday,June2020,2020,20200610,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
458,11-06-2020,69.0,16,53.0,8785.0,23.92,920,,,392.0,,,,,,Thursday,June2020,2020,20200611,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
457,12-06-2020,69.0,16,53.0,8785.0,25.09,920,,,392.0,,,,,,Friday,June2020,2020,20200612,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
456,13-06-2020,69.0,16,53.0,8785.0,24.82,920,,,392.0,,,,,,Saturday,June2020,2020,20200613,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
455,14-06-2020,69.0,16,53.0,8785.0,24.54,920,,,392.0,,,,,,Sunday,June2020,2020,20200614,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
454,15-06-2020,69.0,16,53.0,8785.0,25.28,920,,,392.0,,,,,,Monday,June2020,2020,20200615,1304347.8260869565,10244.735344336937,97826.08695652174,229591.83673469388,14492.753623188406,113.83039271485487,1086.9565217391305,2551.0204081632655
453,16-06-2020,77.0,24,53.0,10105.0,21.93,948,,,395.0,,,,,,Tuesday,June2020,2020,20200616,1168831.168831169,8906.481939633844,94936.70886075949,227848.1012658228,12987.012987012988,98.96091044037605,1054.8523206751056,2531.6455696202534
