,level_0,index,date,total_positive_cases,active_cases,total_recovered,total_persons_in_surveillance,total_persons_in_home_ins_isolation,total_persons_in_hospital_isolation,total_deaths,total_deaths_declared_as_per_appeal,total_pending_deaths,day,month,year
0,0,0,17-08-2020,46140,15890,30029,164029,150332,13697,169,,,Monday,August2020,2020
1,1,1,18-08-2020,47898,16274,31394,165564,151931,13633,175,,,Tuesday,August2020,2020
2,2,2,19-08-2020,50231,17382,32611,169687,155928,13759,182,,,Wednesday,August2020,2020
3,3,3,20-08-2020,52199,18123,33828,173189,158543,14646,191,,,Thursday,August2020,2020
4,4,4,21-08-2020,54182,18673,35247,176930,161790,15140,203,,,Friday,August2020,2020
5,5,5,22-08-2020,56354,19538,36539,180249,163738,16511,218,,,Saturday,August2020,2020
6,6,6,23-08-2020,58262,20330,37649,182525,165996,16529,223,,,Sunday,August2020,2020
7,7,7,25-08-2020,61879,21232,40343,183794,166784,17010,244,,,Tuesday,August2020,2020
8,8,8,26-08-2020,64355,22344,41694,189781,172135,17646,257,,,Wednesday,August2020,2020
9,9,9,27-08-2020,66761,22673,43761,193925,175513,18412,267,,,Thursday,August2020,2020
10,10,10,28-08-2020,69304,23111,45858,194431,175306,19125,274,,,Friday,August2020,2020
11,11,11,30-08-2020,73855,23658,49849,199468,179982,19486,287,,,Sunday,August2020,2020
12,12,12,31-08-2020,75385,23488,51542,198843,179477,19366,294,,,Monday,August2020,2020
13,13,13,01-09-2020,76525,22512,53653,196582,177488,19094,298,,,Tuesday,September2020,2020
14,14,14,03-09-2020,79625,21516,57732,192168,174135,18033,315,,,Thursday,September2020,2020
15,15,15,04-09-2020,82104,21268,60448,197937,180743,17194,326,,,Friday,September2020,2020
16,16,16,05-09-2020,84759,21800,62559,198120,180898,17222,337,,,Saturday,September2020,2020
17,17,17,06-09-2020,87841,22676,64755,200296,182789,17507,347,,,Sunday,September2020,2020
18,18,18,07-09-2020,89489,22066,67001,200651,182521,18130,359,,,Monday,September2020,2020
19,19,19,08-09-2020,92515,23217,68863,198850,180963,17887,372,,,Tuesday,September2020,2020
20,20,20,09-09-2020,95917,24549,70921,202801,183921,18880,384,,,Wednesday,September2020,2020
21,21,21,10-09-2020,99266,26229,72578,204376,184128,20248,396,,,Thursday,September2020,2020
22,22,22,12-09-2020,105139,28802,75848,203300,181123,22177,425,,,Saturday,September2020,2020
23,23,23,13-09-2020,108278,30072,77703,204489,181850,22639,439,,,Sunday,September2020,2020
24,24,24,15-09-2020,114033,31156,82345,208141,185514,22627,466,,,Tuesday,September2020,2020
25,25,25,16-09-2020,117863,32709,84608,211037,187958,23079,480,,,Wednesday,September2020,2020
26,26,26,17-09-2020,122214,34314,87345,213595,189759,23836,489,,,Thursday,September2020,2020
27,27,27,19-09-2020,131005,37488,92951,217695,192534,25161,519,,,Saturday,September2020,2020
28,28,28,20-09-2020,135721,39415,95702,222179,196261,25918,535,,,Sunday,September2020,2020
29,29,29,21-09-2020,138631,39285,98724,218907,193129,25778,553,,,Monday,September2020,2020
30,30,30,23-09-2020,148132,42786,104682,212629,186140,26489,592,,,Wednesday,September2020,2020
31,31,31,24-09-2020,154456,45919,107850,212318,185198,27120,613,,,Thursday,September2020,2020
32,32,32,25-09-2020,160933,48892,111331,215691,188265,27426,635,,,Friday,September2020,2020
33,33,33,26-09-2020,167939,52678,114530,222330,194447,27883,656,,,Saturday,September2020,2020
34,34,34,27-09-2020,175384,56709,117921,227831,199061,28770,677,,,Sunday,September2020,2020
35,35,35,28-09-2020,179922,57879,121268,232450,203330,29120,697,,,Monday,September2020,2020
36,36,36,30-09-2020,196106,67061,128224,240884,211294,29590,742,,,Wednesday,September2020,2020
37,37,37,01-10-2020,204241,72339,131052,243107,212849,30258,771,,,Thursday,October2020,2020
38,38,38,02-10-2020,213499,77482,135144,246631,215778,30853,791,,,Friday,October2020,2020
39,39,39,03-10-2020,221333,80818,139620,251286,220218,31068,813,,,Saturday,October2020,2020
40,40,40,04-10-2020,229886,84497,144471,257707,226536,31171,836,,,Sunday,October2020,2020
41,41,41,05-10-2020,234928,84873,149111,258446,227942,2964,859,,,Monday,October2020,2020
42,42,42,06-10-2020,242799,87738,154092,263094,233703,29391,884,,,Tuesday,October2020,2020
43,43,43,11-10-2020,289202,96316,191798,284924,256172,28752,1003,,,Sunday,October2020,2020
44,44,44,13-10-2020,303896,95407,207357,282000,254841,27159,1046,,,Tuesday,October2020,2020
45,45,45,14-10-2020,310140,93837,215149,278989,252645,26344,1066,,,Wednesday,October2020,2020
46,46,46,15-10-2020,317929,94517,222231,274672,249001,25671,1089,,,Thursday,October2020,2020
47,47,47,16-10-2020,325212,95008,228998,276727,251145,25582,1113,,,Friday,October2020,2020
48,48,48,17-10-2020,334228,96004,236989,276900,251935,24965,1139,,,Saturday,October2020,2020
49,49,49,18-10-2020,341859,95200,245399,280236,255696,24540,1161,,,Sunday,October2020,2020
50,50,50,19-10-2020,346881,92731,252868,277291,253482,23809,1182,,,Monday,October2020,2020
51,51,51,20-10-2020,353472,91922,260243,282219,258747,23472,1206,,,Tuesday,October2020,2020
52,52,52,21-10-2020,361841,93425,267082,280232,257216,23016,1232,,,Wednesday,October2020,2020
53,53,53,22-10-2020,369323,93291,274675,280926,257733,23193,1255,,,Thursday,October2020,2020
54,54,54,24-10-2020,386087,97417,287261,283517,260062,23455,1306,,,Saturday,October2020,2020
55,55,55,25-10-2020,392930,96585,294910,16605,13166,3439,1332,,,Sunday,October2020,2020
56,56,56,26-10-2020,397217,93744,302017,283473,260675,22798,1352,,,Monday,October2020,2020
57,57,57,29-10-2020,418484,91784,325166,291964,269424,22540,1429,,,Thursday,October2020,2020
58,58,58,30-10-2020,425122,90565,332994,288635,266953,21682,1457,,,Friday,October2020,2020
59,59,59,31-10-2020,433105,91190,340324,291440,269059,22381,1484,,,Saturday,October2020,2020
60,60,60,01-11-2020,440130,89675,348835,293622,271499,22123,1512,,,Sunday,November2020,2020
61,61,61,02-11-2020,444268,86681,355943,293221,271744,21477,1533,,,Monday,November2020,2020
62,62,62,04-11-2020,459646,84995,372951,302063,281100,20963,1587,,,Wednesday,November2020,2020
63,63,63,05-11-2020,466466,84087,380650,302919,281568,21351,1613,,,Thursday,November2020,2020
64,64,64,06-11-2020,473468,83208,388504,307828,286680,21148,1640,,,Friday,November2020,2020
65,65,65,07-11-2020,480669,83261,395624,307107,286322,20785,1668,,,Saturday,November2020,2020
66,66,66,08-11-2020,486109,81823,402477,314684,294358,20326,1692,,,Sunday,November2020,2020
67,67,67,09-11-2020,489702,79410,408460,316096,296208,19888,1714,,,Monday,November2020,2020
68,68,68,10-11-2020,495712,78694,415158,316359,297041,19318,1742,,,Tuesday,November2020,2020
69,69,69,11-11-2020,502719,78420,422410,315246,296212,19034,1771,,,Wednesday,November2020,2020
70,70,70,12-11-2020,508256,77813,428529,315583,296773,18810,1796,,,Thursday,November2020,2020
71,71,71,13-11-2020,514060,77390,434730,316923,298448,18475,1822,,,Friday,November2020,2020
72,72,72,14-11-2020,520417,76927,441523,319481,301535,17946,1848,,,Saturday,November2020,2020
73,73,73,15-11-2020,524998,74802,448207,322296,304463,17833,1869,,,Sunday,November2020,2020
74,74,74,17-11-2020,533500,70070,461394,320023,303218,16805,1915,,,Tuesday,November2020,2020
75,75,75,18-11-2020,539919,69394,468460,318833,302330,16503,1943,,,Wednesday,November2020,2020
76,76,76,19-11-2020,545641,68229,475320,318025,301547,16478,1969,,,Thursday,November2020,2020
77,77,77,21-11-2020,557441,66856,488437,318079,301749,16330,2022,,,Saturday,November2020,2020
78,78,78,23-11-2020,566452,64166,500089,314543,298395,16148,2071,,,Monday,November2020,2020
79,79,79,24-11-2020,571872,64412,505238,314752,298902,15850,2095,,,Tuesday,November2020,2020
80,80,80,25-11-2020,578363,65106,511008,314676,298616,16060,2121,,,Wednesday,November2020,2020
81,81,81,26-11-2020,583741,64486,516978,317195,300925,16270,2148,,,Thursday,November2020,2020
82,82,82,27-11-2020,587707,63885,521522,313608,297531,16077,2171,,,Friday,November2020,2020
83,83,83,28-11-2020,593957,64834,526797,312251,296223,16028,2196,,,Saturday,November2020,2020
84,84,84,29-11-2020,599600,64589,532658,315497,299601,15896,2223,,,Sunday,November2020,2020
85,85,85,30-11-2020,602982,61894,538713,311770,296094,15676,2244,,,Monday,November2020,2020
86,86,86,01-12-2020,608357,61092,544864,310611,295494,15117,2270,,,Tuesday,December2020,2020
87,87,87,02-12-2020,614673,61455,550788,309280,294018,15262,2298,,,Wednesday,December2020,2020
88,88,88,04-12-2020,625767,61401,561874,314029,298929,15100,2358,,,Friday,December2020,2020
89,89,89,06-12-2020,636392,60924,572911,314400,299469,14931,2418,,,Sunday,December2020,2020
90,90,90,07-12-2020,639664,59467,577616,309887,295304,14583,2441,,,Monday,December2020,2020
91,91,91,08-12-2020,644696,59732,582351,21330,20057,1273,2472,,,Tuesday,December2020,2020
92,92,92,09-12-2020,649571,59923,586998,309935,295771,14164,2507,,,Wednesday,December2020,2020
93,93,93,12-12-2020,664632,60029,601861,315167,301833,13334,2594,,,Saturday,December2020,2020
94,94,94,13-12-2020,669330,59438,607119,316547,303150,13397,2623,,,Sunday,December2020,2020
95,95,95,14-12-2020,672037,57640,611600,310107,296920,13187,2647,,,Monday,December2020,2020
96,96,96,15-12-2020,677255,57757,616666,304165,290987,13178,2680,,,Tuesday,December2020,2020
97,97,97,17-12-2020,688409,58155,627364,296747,283389,13358,2734,,,Thursday,December2020,2020
98,98,98,18-12-2020,693865,58884,632065,294646,281217,13429,2757,,,Friday,December2020,2020
99,99,99,19-12-2020,700158,60396,636814,289910,276377,13533,2786,,,Saturday,December2020,2020
100,100,100,20-12-2020,705869,61604,641285,287099,273398,13701,2816,,,Sunday,December2020,2020
101,101,101,21-12-2020,709292,60504,645779,280375,266765,13610,2843,,,Monday,December2020,2020
102,102,102,22-12-2020,715341,61468,650836,279711,266178,13533,2870,,,Tuesday,December2020,2020
103,103,103,23-12-2020,721510,62802,655644,274206,260645,13561,2892,,,Wednesday,December2020,2020
104,104,104,24-12-2020,726687,63155,660445,270725,257013,13712,2914,,,Thursday,December2020,2020
