date,discharged_today,discharged_total,recovery_rate,cases_new,deaths_new,cfr,tests_cumulative,tests_positive_cumulative,current_home_quarantine,current_institutional_quarantine,active_cases
2021-01-02,2110,1834935,94.64,3218,51,2.56,12890441,1938854,258668,3159,53137
2021-01-04,10362,1847361,94.88,2765,29,2.55,13004876,1947011,241728,3078,48801
2021-01-05,2828,1850189,94.87,3160,64,2.55,13061976,1950171,241557,2788,49067
2021-01-06,2570,1852759,94.79,4382,66,2.55,13134019,1954553,233875,2523,50808
2021-01-07,3350,1856109,94.78,3729,72,2.55,13199201,1958282,270217,2824,51111
2021-01-08,2890,1858999,94.75,3693,73,2.55,13267917,1961975,242585,3015,51838
2021-01-09,2401,1861400,94.7,3581,57,2.55,13338488,1965556,234545,2474,52960
2021-01-10,2302,1863702,94.65,3558,34,2.54,13401170,1969114,234845,2453,54179
2021-01-11,4286,1867988,94.75,2438,40,2.54,13443229,1971552,230699,2468,52288
2021-01-12,3282,1871270,94.77,2936,50,2.54,13500734,1974488,227876,2388,51892
2021-01-13,3009,1874279,94.75,3556,70,2.54,13562194,1978044,226599,2496,52365
2021-01-14,3309,1877588,94.75,3579,70,2.54,13623298,1981623,196829,2403,52558
2021-01-15,3500,1881088,94.78,3145,45,2.54,13684589,1984768,224851,2240,52152
2021-01-16,3039,1884127,94.79,2910,52,2.54,13743486,1987678,224705,2037,51965
2021-01-17,2342,1886469,94.76,3081,50,2.53,13806387,1990759,225308,2045,52653
2021-01-19,4516,1894839,94.98,2294,50,2.53,13895277,1994977,218058,1996,48406
2021-01-20,4589,1899428,95.07,3015,59,2.53,13957469,1997992,218325,2230,46769
2021-01-21,3980,1903408,95.13,2886,52,2.53,14019188,2000878,212023,1936,45622
2021-01-22,3419,1906827,95.17,2779,50,2.53,14080930,2003657,213414,2019,44926
2021-01-23,3694,1910521,95.22,2697,56,2.53,14145829,2006354,213678,1993,43870
2021-01-24,1743,1912264,95.18,2752,45,2.53,14207595,2009106,208993,2309,44831
2021-01-26,2106,1917450,95.24,2405,47,2.53,14315227,2013353,184944,2613,43811
2021-01-27,2556,1920006,95.26,2171,32,2.53,14367094,2015524,200159,2615,43393
2021-01-28,3181,1923187,95.28,2889,50,2.52,14430223,2018413,197941,2804,43048
2021-01-29,2613,1925800,95.28,2771,56,2.52,14496359,2021184,195127,2771,43147
2021-02-01,3289,1932294,95.26,,27,2.52,14656223,2028347,192382,2152,43701
2021-02-02,4011,1936305,95.37,,30,2.52,14706992,2030274,189288,2121,41586
2021-02-03,7030,1943335,95.58,,30,2.52,14764744,2033266,182181,2093,37516
2021-02-04,5339,1948674,95.71,,46,2.52,14821561,2036002,178676,1911,34862
2021-02-05,3513,1952187,95.76,,40,2.51,14875633,2038630,177560,2025,33936
2021-02-06,1739,1953926,95.72,,25,2.51,14928130,2041398,173504,1980,34934
2021-02-07,1622,1955548,95.67,2673,30,2.51,14977683,2044071,172311,1979,35948
2021-02-08,3423,1958971,95.73,2216,15,2.51,15010037,2046287,167764,1976,34720
2021-02-09,2554,1961525,95.74,2515,35,2.51,15058995,2048802,167694,1805,34640
2021-02-11,6107,19700532,95.84,3297,25,2.5,15163781,2052905,166785,1852,30265
2021-02-12,2422,1972475,95.91,3670,36,2.5,15219416,2056575,168087,1789,31474
2021-02-13,1773,1974248,95.83,3611,38,2.5,15272826,2060186,175418,1746,33269
2021-02-15,3105,1978708,95.7,3365,23,2.49,15359026,2067643,174704,1714,36201
2021-02-17,3853,1985261,95.62,4787,40,2.49,154355268,2076093,195704,1664,38013
2021-02-28,3753,2024704,93.95,8293,62,2.42,16284612,2155070,335492,3332,77008
2021-03-17,9138,2163391,91.26,23179,84,2.24,17835495,2370507,671620,6738,152760
2021-03-21,11314,2214867,89.32,30535,99,2.15,18356200,2479682,969867,9601,210120
2021-03-22,19463,2234330,89.22,24645,58,2.13,18462030,2504327,1063077,11092,215241
2021-03-23,13165,2247495,88.73,28699,132,2.12,18584463,2533026,1177265,11887,230641
2021-03-24,15098,2262593,88.21,31855,95,2.09,18725307,2564881,1268094,13499,247299
2021-03-25,20444,2283037,87.78,35952,111,2.07,18878754,2600833,1362899,13770,262685
2021-03-29,20854,2353307,85.71,31643,102,1.98,19495189,2745518,1607415,16614,336584
2021-03-30,23820,2377127,85.71,27918,139,1.96,19625065,2773436,1656697,17649,340542
2021-03-31,23600,2400727,85.34,39544,227,1.94,19792143,2812980,1729816,17863,356243
2021-04-04,27508,2522823,83.8,57074,222,1.86,20540111,3010597,2205899,19711,430503
2021-04-05,26252,2549075,83.36,47288,155,1.83,20715793,3057885,2416981,20115,451375
2021-04-06,34256,2583331,82.98,55469,297,1.81,20917486,3113354,2455498,22797,472283
2021-04-07,30296,2613627,82.36,59907,322,1.79,21148736,3173261,2578530,21212,501559
2021-04-08,36130,2649757,82.05,56286,376,1.77,21385551,3229547,2702613,22661,521317
2021-04-11,34008,2782161,81.65,63294,349,1.7,22114372,3407245,3175585,25694,565587
2021-04-14,39624,2905721,81.21,58952,278,1.64,22802200,3578160,3455206,28494,612070
2021-04-18,45654,3106828,80.92,68631,503,1.58,23854185,3839338,3675518,26529,670388
2021-04-25,61450,3530060,82.19,66191,832,1.51,25749543,4295027,4236825,29966,698354
2021-04-26,71736,3601796,82.92,48700,524,1.5,25972018,4343727,3978420,30398,674770
2021-04-27,67752,3669548,83.21,66358,895,1.5,26254737,4410085,4264936,30146,672434
2021-04-28,61181,3730729,83.4,63309,985,1.5,26527862,4473394,4203547,31159,673481
2021-05-02,51356,3981658,84.31,56647,669,1.49,27652758,4722401,3996946,27735,668353
2021-05-03,59500,4041158,84.7,48621,567,1.49,27864426,4771022,3908491,28593,656870
2021-05-05,57006,4164098,85.32,57640,920,1.49,28384582,4880542,3852501,32174,641569
2021-05-06,63842,4227940,85.54,62194,853,1.49,28661668,4942736,3826089,29406,639075
2021-05-10,61607,4469425,86.97,37236,549,1.49,29631127,5138973,3670320,26664,590818
2021-05-11,71966,4541391,87.67,40956,793,1.49,29848791,5179929,3591783,29955,558996
2021-05-13,54535,4654731,88.34,42582,850,1.5,30351356,5269292,3502630,28847,533294
2021-05-16,59318,4826371,89.74,34389,974,1.52,31103991,5378452,3491981,28398,468109
2021-05-18,52898,4927480,90.69,28438,679,1.54,31588717,5433506,3097161,25004,419727
2021-05-19,51457,4978937,91.06,34031,594,1.54,31874364,5467537,3059095,23828,401695
2021-05-20,47371,5026308,91.43,29911,738,1.55,32154275,5497448,2935409,21648,383253
2021-05-23,29177,5140272,92.12,26672,594,1.59,33013516,5579897,2696306,21771,348395
2021-05-24,42320,5182592,92.51,22122,361,1.59,33277290,5602019,2729301,24932,327580
2021-05-26,23065,5241833,92.76,24752,453,1.62,33824959,5650907,2370326,19943,315042
2021-05-30,22532,5362370,93.55,18600,402,1.65,34861608,5731815,1998976,12981,271801
2021-06-02,29270,5460589,94.54,15169,285,1.67,35514594,5776184,1687643,7418,216016
2021-06-03,25617,5486206,94.73,15229,307,1.68,35774626,5791413,1566490,7055,204974
2021-06-06,14433,5543267,95.05,12557,233,1.72,36508967,5831781,1346389,6426,185527
2021-06-07,21081,5564348,95.25,10219,154,1.72,36696139,5842000,1247033,6232,174320
