date,district_name,cases_daily,cases_total,deaths_daily,deaths_total
2021-01-02,mcgm,593,294660,7,11132
2021-01-02,thane,47,39581,2,954
2021-01-02,tmc,103,56406,1,1227
2021-01-02,navi mumbai,83,53568,1,1083
2021-01-02,kdmc,88,60828,0,990
2021-01-02,ulhasnagar mc,19,11348,0,343
2021-01-02,bhivandi nijampur mc,5,6656,0,346
2021-01-02,mira bhayandar mc,28,26861,0,647
2021-01-02,palghar,24,16377,0,318
2021-01-02,vasai virar mc,25,30430,0,593
2021-01-02,raigad,30,36831,7,929
2021-01-02,panvel mc,38,29601,1,569
2021-01-02,mumbai circle total,1083,663147,19,19131
2021-01-02,nashik,68,35158,2,734
2021-01-02,nashik mc,136,76029,3,1009
2021-01-02,malegaon mc,8,4604,0,163
2021-01-02,ahamadnagar,76,44132,2,662
2021-01-02,ahamadnagar mc,45,25145,0,385
2021-01-02,dhule,3,8522,0,189
2021-01-02,dhule mc,4,7145,0,155
2021-01-02,jalgaon,19,43736,2,1145
2021-01-02,jalgaon mc,10,12472,0,306
2021-01-02,nandurbar,49,8285,0,169
2021-01-02,nashik circle total,418,265228,9,4917
2021-01-02,pune,136,88294,0,2082
2021-01-02,pmc,250,191680,0,4408
2021-01-02,pcmc,122,93753,0,1277
2021-01-02,solapur,53,41582,1,1179
2021-01-02,solapur mc,25,11992,0,586
2021-01-02,satara,61,54699,1,1769
2021-01-02,pune circle total,647,482000,2,11301
2021-01-02,kolhapur,4,34804,0,1253
2021-01-02,kolhapur mc,4,14349,0,407
2021-01-02,sangli,21,32429,0,1150
2021-01-02,sangli mc,1,17756,0,619
2021-01-02,sindhudurg,12,6044,0,160
2021-01-02,ratnagiri,13,11193,0,379
2021-01-02,kolhapur circle total,55,116575,0,3968
2021-01-02,aurangabad,7,15238,0,309
2021-01-02,aurangabad mc,47,32794,0,904
2021-01-02,jalna,19,12846,2,345
2021-01-02,hingoli,3,4192,0,96
2021-01-02,parbhani,2,4339,0,157
2021-01-02,parbhani mc,5,3272,0,125
2021-01-02,aurangabad circle total,83,72681,2,1936
2021-01-02,latur,16,20806,0,464
2021-01-02,latur mc,12,2557,0,218
2021-01-02,osmanabad,21,16905,1,540
2021-01-02,beed,42,17131,2,523
2021-01-02,nanded,16,8554,0,372
2021-01-02,nanded mc,32,12855,0,291
2021-01-02,latur circle total,139,78808,3,2408
2021-01-02,akola,9,4158,0,131
2021-01-02,akola mc,21,6504,2,218
2021-01-02,amarawati,31,7343,0,169
2021-01-02,amarawati mc,55,12884,0,212
2021-01-02,yawatmal,40,13888,0,395
2021-01-02,buldhana,56,13731,2,222
2021-01-02,washim,14,6836,0,149
2021-01-02,akola circle total,226,65344,4,1496
2021-01-02,nagpur,87,14140,1,681
2021-01-02,nagpur mc,345,111972,2,2531
2021-01-02,wardha,30,9578,2,267
2021-01-02,bhandara,48,12789,0,275
2021-01-02,gondia,16,13861,6,167
2021-01-02,chandrapur,25,14507,1,232
