date,district_name,cases_total,recoveries_total,deaths_total,deaths_total_other_causes,active_cases
2021-01-02,mumbai,294660,273634,11132,867,9027
2021-01-02,thane,255248,239389,5590,59,10210
2021-01-02,palghar,46807,45623,911,17,256
2021-01-02,raigad,66432,64410,1498,7,517
2021-01-02,ratnagiri,11193,10426,379,2,386
2021-01-02,sindhudurg,6044,5552,160,1,331
2021-01-02,pune,373727,352140,7767,37,13783
2021-01-02,satara,54699,52087,1769,10,833
2021-01-02,sangli,50185,48095,1769,3,318
2021-01-02,kolhapur,49153,46971,1660,3,519
2021-01-02,solapur,53574,50966,1765,16,827
2021-01-02,nashik,115791,112206,1906,1,1678
2021-01-02,ahmednagar,69277,66615,1047,1,1614
2021-01-02,jalgaon,56208,54220,1451,20,517
2021-01-02,nandurbar,8285,7572,169,1,543
2021-01-02,dhule,15667,15166,344,3,154
2021-01-02,aurangabad,48032,46068,1213,15,736
2021-01-02,jalna,12846,12315,345,1,185
2021-01-02,beed,17131,16269,523,7,332
2021-01-02,latur,23363,22277,682,4,400
2021-01-02,parbhani,7611,7167,282,11,151
2021-01-02,hingoli,4192,3986,96,,110
2021-01-02,nanded,21409,20279,663,5,462
2021-01-02,osmanabad,16905,16147,540,2,216
2021-01-02,amaravati,20227,19378,381,2,466
2021-01-02,akola,10662,9950,349,5,358
2021-01-02,washim,6836,6542,149,2,143
2021-01-02,buldhana,13731,13034,222,6,469
2021-01-02,yavatmal,13888,13100,395,4,389
2021-01-02,nagpur,126112,118358,3212,18,4524
2021-01-02,wardha,9578,9047,267,5,259
2021-01-02,bhandara,12789,12032,275,2,480
2021-01-02,gondia,13861,13331,167,6,357
2021-01-02,chandrapur,23305,22318,392,1,594
2021-01-02,gadchiroli,8571,8265,92,6,208
2021-01-02,other states/country,855,0,69,1,785
2021-01-02,total,1938854,1834935,49631,1151,53137
2021-01-04,mumbai,294986,276034,11138,869,6945
2021-01-04,thane,259123,242566,5599,59,10899
2021-01-04,palghar,47090,45678,912,17,483
2021-01-04,raigad,66779,64583,1498,7,691
2021-01-04,ratnagiri,11177,10461,379,2,335
2021-01-04,sindhudurg,6075,5578,160,1,336
2021-01-04,pune,374748,354669,7772,37,12270
2021-01-04,satara,54838,52343,1770,10,715
2021-01-04,sangli,50258,48105,1769,3,381
2021-01-04,kolhapur,48788,47037,1660,3,88
2021-01-04,solapur,53943,51056,1770,16,1101
2021-01-04,nashik,116198,112605,1918,1,1674
2021-01-04,ahmednagar,69387,66891,1048,1,1447
2021-01-04,jalgaon,56307,54343,1451,20,493
2021-01-04,nandurbar,8399,7664,169,1,565
2021-01-04,dhule,15681,15189,344,3,145
2021-01-04,aurangabad,48142,46194,1213,15,720
2021-01-04,jalna,12898,12353,345,1,199
2021-01-04,beed,17215,16309,523,7,376
2021-01-04,latur,23389,22383,682,4,320
2021-01-04,parbhani,7629,7233,283,11,102
2021-01-04,hingoli,4209,4006,96,,107
2021-01-04,nanded,21460,20356,665,5,434
2021-01-04,osmanabad,16967,16167,540,2,258
2021-01-04,amaravati,20319,19459,382,2,476
2021-01-04,akola,10764,10012,349,5,398
2021-01-04,washim,6864,6574,149,2,139
2021-01-04,buldhana,13823,13145,222,6,450
2021-01-04,yavatmal,13993,13192,399,4,398
2021-01-04,nagpur,126974,119502,3226,19,4227
2021-01-04,wardha,9686,9092,267,5,322
2021-01-04,bhandara,12832,12184,275,2,371
2021-01-04,gondia,13913,13500,168,6,239
2021-01-04,chandrapur,23408,22597,393,1,417
2021-01-04,gadchiroli,8599,8301,92,6,200
2021-01-04,other states/country,150,0,69,1,80
2021-01-04,total,1947011,1847361,49695,1154,48801
2021-01-05,mumbai,295525,276416,11147,869,7093
2021-01-05,thane,259515,243013,5604,61,10837
2021-01-05,palghar,47127,45682,914,17,514
2021-01-05,raigad,66896,64642,1504,7,743
2021-01-05,ratnagiri,11189,10462,379,2,346
2021-01-05,sindhudurg,6105,5599,161,1,344
2021-01-05,pune,375255,354798,7779,37,12641
2021-01-05,satara,54879,52411,1773,10,685
2021-01-05,sangli,50281,48113,1769,3,396
2021-01-05,kolhapur,48798,47037,1660,3,98
2021-01-05,solapur,54030,51110,1770,16,1134
2021-01-05,nashik,116354,112976,1923,1,1454
2021-01-05,ahmednagar,69464,67032,1051,1,1380
2021-01-05,jalgaon,56373,54345,1453,20,555
2021-01-05,nandurbar,8466,7738,169,1,558
2021-01-05,dhule,15700,15189,344,3,164
2021-01-05,aurangabad,48175,46194,1213,15,753
2021-01-05,jalna,12915,12381,345,1,188
2021-01-05,beed,17246,16340,526,7,373
2021-01-05,latur,23438,22443,682,4,309
2021-01-05,parbhani,7649,7240,283,11,115
2021-01-05,hingoli,4215,4013,96,,106
2021-01-05,nanded,21482,20423,665,5,389
2021-01-05,osmanabad,16984,16193,540,2,249
2021-01-05,amaravati,20383,19572,383,2,426
