date,samples_total,samples_new,tests_new,cases_total,isolation,discharged_total,active_cases,deaths_total,oxygen_support_active_patients,critical_care_active_patients,ventilator_support_active_patients,healthcare_first_vaccination_today,healthcare_first_vaccination_total,frontline_first_vaccination_today,frontline_first_vaccination_total,healthcare_second_vaccination_today,healthcare_second_vaccination_total,frontline_second_vaccination_today,frontline_second_vaccination_total,above_45_first_vaccination_today,above_45_first_vaccination_total,above_45_second_vaccination_today,above_45_second_vaccinattion_total,eighteen_44_first_vaccination_today,eighteen_44_first_vaccination_total,eighteen_44_second_vaccination_today,eighteen_44_second_vaccination_total,first_vaccination_today,second_vaccination_today,total_vaccination_today
2021-07-25,11912389,34623,34343,,,581829,699,16266,69,29,12,67,1357668,67,1357668,383,410944,383,410944,2983,3709844,8135,,8400,2517960,5943,190733,25911,25911,25911
2021-07-24,11877764,39745,39240,,,581712,771,16258,89,29,13,353,1357601,353,1357601,1327,410561,1327,410561,13899,3706861,37459,,39799,2509560,20667,184790,113504,113504,113504
2021-07-23,11838018,45783,39892,,,581634,768,16256,96,36,14,141,1357248,141,1357248,456,409234,456,409234,3062,3692962,4306,,6907,2469761,4961,164123,19833,19833,19833
2021-07-22,11792233,31523,36839,,,581529,811,16250,101,29,13,166,1357107,166,1357107,769,408778,769,408778,8250,3689900,15503,,23094,2462854,12421,159162,60203,60203,60203
2021-07-21,11760706,40590,40222,,,581406,869,16246,102,36,11,415,1356941,415,1356941,891,408009,891,408009,29084,3681650,49008,,77117,2439760,26784,146741,183299,183299,183299
2021-07-20,11720116,42390,34680,,,581312,899,16244,112,39,11,356,1356526,356,1356526,186,407118,186,407118,1637,3652566,1281,,2785,2362643,1285,119957,7530,7530,7530
2021-07-19,11677723,23256,31353,,,581197,953,16237,125,42,11,180,1356170,180,1356170,261,406932,261,406932,2618,3650929,1989,,3409,2359858,1381,118672,9838,9838,9838
2021-07-18,11654465,43086,42341,,,581055,1046,16233,136,41,14,0,1355990,0,1355990,98,406673,98,406673,458,3648311,566,,1802,2356449,900,117291,3824,3824,3824
2021-07-17,11611376,43545,43963,,,580871,1153,16224,149,49,16,579,1355990,579,1355990,767,406575,767,406575,6802,3647853,7006,,12445,2354647,5040,116391,32637,32637,32637
2021-07-16,11567826,43246,43057,,,580677,1238,16215,162,66,13,748,1355411,748,1355411,1300,405808,1300,405808,29180,3641051,40448,,72209,2342202,24933,111351,168818,168818,168818
2021-07-15,11524579,38833,38438,,,580483,1332,16212,194,78,17,502,1354663,502,1354663,267,404508,267,404508,5128,3611871,1657,,11222,2269993,2846,86418,21622,21622,21622
2021-07-14,11485744,41430,40782,,,580336,1386,16207,196,76,14,623,1354161,623,1354161,527,404241,527,404241,7512,3606743,4027,,18496,2258771,5419,83572,36604,36604,36604
2021-07-13,11444310,41166,34026,,,580195,1427,16199,294,95,23,1003,1353538,1003,1353538,1201,403714,1201,403714,10770,3599231,11944,,16920,2240275,7063,78153,48901,48901,48901
2021-07-11,11376098,43345,43012,,,579829,1583,16186,304,105,13,241,1350462,241,1350462,127,400058,127,400058,5686,3552494,2205,,18829,2145601,3234,48595,30322,30322,30322
2021-07-10,11332750,40968,41027,,,579618,1674,16177,423,163,45,606,1350221,606,1350221,404,399931,404,399931,12628,3546808,6400,,27560,2126772,4840,45361,52438,52438,52438
2021-07-09,11291779,41690,41549,,,579370,1809,16168,417,170,48,118,1349615,118,1349615,382,399527,382,399527,1910,3534180,2000,,4578,2099212,1968,40521,10956,10956,10956
