,level_0,index,date,cases_total,active_cases,recovered_total,deaths_total,Index
0,0,6842,04-09-2020,60013.0,15731.0,42543.0,1739.0,20200904
1,1,6819,05-09-2020,61527.0,15870.0,43849.0,1808.0,20200905
2,2,6796,07-09-2020,65583.0,16640.0,47020.0,1923.0,20200907
3,3,6773,09-09-2020,69684.0,17065.0,50558.0,2061.0,20200909
4,4,6750,10-09-2020,72143.0,18088.0,51906.0,2149.0,20200910
5,5,6727,11-09-2020,74616.0,19096.0,53308.0,2212.0,20200911
6,6,6704,12-09-2020,77057.0,19384.0,55385.0,2288.0,20200912
7,7,6681,13-09-2020,79679.0,19787.0,57536.0,2356.0,20200913
8,8,6658,14-09-2020,82113.0,20690.0,58999.0,2424.0,20200914
9,9,6635,15-09-2020,84482.0,21154.0,60814.0,2514.0,20200915
10,10,6612,16-09-2020,87184.0,21022.0,63570.0,2592.0,20200916
11,11,6589,17-09-2020,90032.0,21568.0,65818.0,2646.0,20200917
12,12,6566,18-09-2020,92833.0,21662.0,68463.0,2708.0,20200918
13,13,6543,19-09-2020,95529.0,22399.0,70373.0,2757.0,20200919
14,14,6520,20-09-2020,97689.0,22278.0,72598.0,2813.0,20200920
15,15,6497,21-09-2020,99930.0,21661.0,75409.0,2860.0,20200921
16,16,6474,22-09-2020,101341.0,21288.0,77127.0,2926.0,20200922
17,17,6451,23-09-2020,103464.0,21230.0,79244.0,2990.0,20200923
18,18,6428,24-09-2020,105220.0,20679.0,81475.0,3066.0,20200924
19,19,6405,25-09-2020,107096.0,19937.0,84025.0,3134.0,20200925
20,20,6382,26-09-2020,108684.0,19483.0,86013.0,3188.0,20200926
21,21,6359,27-09-2020,110106.0,18556.0,88312.0,3238.0,20200927
22,22,6336,28-09-2020,111375.0,17746.0,90345.0,3284.0,20200928
23,23,6313,29-09-2020,112460.0,16824.0,92277.0,3359.0,20200929
24,24,6290,30-09-2020,113886.0,16814.0,93666.0,3406.0,20200930
25,25,6267,01-10-2020,115151.0,15763.0,95937.0,3451.0,20201001
26,26,6244,03-10-2020,117319.0,14289.0,99468.0,3562.0,20201003
27,27,6221,04-10-2020,118157.0,13577.0,100977.0,3603.0,20201004
28,28,6198,05-10-2020,119186.0,12897.0,102648.0,3641.0,20201005
29,29,6175,06-10-2020,120016.0,11982.0,104355.0,3679.0,20201006
30,30,6152,07-10-2020,120860.0,11563.0,105585.0,3712.0,20201007
31,31,6129,08-10-2020,121716.0,10775.0,107200.0,3741.0,20201008
32,32,6106,09-10-2020,122459.0,10153.0,108533.0,3773.0,20201009
33,33,6083,10-10-2020,123317.0,9752.0,109767.0,3798.0,20201010
34,34,6060,11-10-2020,123973.0,9275.0,110865.0,3833.0,20201011
35,35,6037,12-10-2020,124535.0,8258.0,112417.0,3860.0,20201012
36,36,6014,13-10-2020,125211.0,8212.0,113105.0,3894.0,20201013
37,37,5991,14-10-2020,125760.0,7760.0,114075.0,3925.0,20201014
38,38,5968,15-10-2020,126230.0,7090.0,115186.0,3954.0,20201015
39,39,5945,16-10-2020,126737.0,6592.0,116165.0,3980.0,20201016
40,40,5922,17-10-2020,127154.0,6230.0,116925.0,3999.0,20201017
41,41,5899,18-10-2020,127630.0,5735.0,117883.0,4012.0,20201018
42,42,5876,19-10-2020,128103.0,5307.0,118767.0,4029.0,20201019
43,43,5853,20-10-2020,128590.0,4895.0,119658.0,4037.0,20201020
44,44,5830,21-10-2020,129088.0,4808.0,120220.0,4060.0,20201021
45,45,5807,22-10-2020,129693.0,4466.0,121155.0,4072.0,20201022
46,46,5784,23-10-2020,130157.0,4327.0,121735.0,4095.0,20201023
47,47,5761,24-10-2020,130640.0,4277.0,122256.0,4107.0,20201024
48,48,5738,25-10-2020,131055.0,4217.0,122721.0,4117.0,20201025
49,49,5715,27-10-2020,131737.0,4089.0,123510.0,4138.0,20201027
50,50,5692,28-10-2020,132263.0,4239.0,123866.0,4158.0,20201028
51,51,5669,29-10-2020,132727.0,4266.0,124293.0,4168.0,20201029
52,52,5646,30-10-2020,133158.0,4101.0,124870.0,4187.0,20201030
53,53,5623,31-10-2020,133658.0,4257.0,125198.0,4203.0,20201031
54,54,5600,01-11-2020,133975.0,4195.0,125566.0,4214.0,20201101
55,55,5577,02-11-2020,134371.0,4183.0,125961.0,4227.0,20201102
56,56,5554,03-11-2020,134786.0,4226.0,126315.0,4245.0,20201103
57,57,5531,04-11-2020,135313.0,4471.0,126583.0,4259.0,20201104
58,58,5508,05-11-2020,135834.0,4621.0,126932.0,4281.0,20201105
59,59,5485,06-11-2020,136481.0,4882.0,127304.0,4295.0,20201106
60,60,5462,07-11-2020,136958.0,4827.0,127821.0,4310.0,20201107
61,61,5439,08-11-2020,137445.0,4910.0,128217.0,4318.0,20201108
62,62,5416,09-11-2020,137999.0,4934.0,128727.0,4338.0,20201109
63,63,5393,10-11-2020,138485.0,5038.0,129089.0,4358.0,20201110
64,64,5370,11-11-2020,139184.0,5246.0,129549.0,4389.0,20201111
65,65,5347,12-11-2020,139869.0,5439.0,130018.0,4412.0,20201112
66,66,5324,13-11-2020,140605.0,5771.0,130406.0,4428.0,20201113
67,67,5301,16-11-2020,142082.0,5601.0,132001.0,4480.0,20201116
68,68,5278,17-11-2020,142597.0,5821.0,132266.0,4510.0,20201117
69,69,5255,18-11-2020,143395.0,5937.0,132917.0,4541.0,20201118
70,70,5232,19-11-2020,144177.0,6194.0,133427.0,4556.0,20201119
71,71,5209,20-11-2020,144995.0,6504.0,133919.0,4572.0,20201120
72,72,5186,21-11-2020,145667.0,6561.0,134511.0,4595.0,20201121
73,73,5163,22-11-2020,146346.0,6724.0,135008.0,4614.0,20201122
74,74,5140,23-11-2020,147057.0,6687.0,135739.0,4631.0,20201123
75,75,5117,24-11-2020,147665.0,6834.0,136178.0,4653.0,20201124
76,76,5094,25-11-2020,148435.0,7129.0,136622.0,4684.0,20201125
77,77,5071,26-11-2020,149278.0,7479.0,137089.0,4710.0,20201126
78,78,5048,27-11-2020,150086.0,7719.0,137630.0,4737.0,20201127
79,79,5025,28-11-2020,150805.0,7834.0,138206.0,4765.0,20201128
80,80,5002,29-11-2020,151538.0,7888.0,138870.0,4780.0,20201129
81,81,4979,30-11-2020,152091.0,7842.0,139442.0,4807.0,20201130
82,82,4956,01-12-2020,152709.0,7634.0,140254.0,4821.0,20201201
83,83,4933,02-12-2020,153308.0,7694.0,140772.0,4842.0,20201202
84,84,4910,03-12-2020,154064.0,7724.0,141478.0,4862.0,20201203
85,85,4887,04-12-2020,154788.0,7785.0,142121.0,4882.0,20201204
86,86,4864,05-12-2020,155424.0,7727.0,142792.0,4905.0,20201205
87,87,4841,06-12-2020,156226.0,7896.0,143415.0,4915.0,20201206
88,88,4818,07-12-2020,156839.0,7604.0,144301.0,4934.0,20201207
89,89,4795,08-12-2020,157331.0,7274.0,145093.0,4964.0,20201208
90,90,4772,09-12-2020,157928.0,7325.0,145623.0,4980.0,20201209
91,91,4749,10-12-2020,158556.0,7423.0,146126.0,5007.0,20201210
92,92,4726,11-12-2020,159099.0,7286.0,146777.0,5036.0,20201211
93,93,4703,12-12-2020,159579.0,7091.0,147431.0,5057.0,20201212
94,94,4680,13-12-2020,160200.0,7076.0,148047.0,5077.0,20201213
95,95,4657,14-12-2020,160659.0,6881.0,148680.0,5098.0,20201214
96,96,4634,15-12-2020,161053.0,6502.0,149434.0,5117.0,20201215
97,97,4611,16-12-2020,161383.0,6241.0,150007.0,5135.0,20201216
