date,testing_facilities,government_testing_facilities,private_testing_facilities,active_cases_yesterday,positive_tested_cases,discharged_patients,deaths_today,active_cases_today
23-07-2020,113,58,55,51765,6472,5210,88,52939
24-07-2020,114,58,56,52939,6785,6504,88,53132
25-07-2020,115,58,57,53132,6988,7758,89,52273
26-07-2020,116,58,58,52273,6986,5471,85,53703
28-07-2020,119,58,61,54896,6972,4707,88,57073
29-07-2020,119,58,61,57073,6426,5927,82,57490
30-07-2020,119,58,61,57490,5864,5295,97,57962
31-07-2020,120,59,61,57962,5881,5778,97,57968
01-08-2020,121,59,62,57968,5879,7010,99,56738
02-08-2020,122,59,63,56738,5875,5517,98,56998
03-08-2020,122,59,63,56998,5609,5800,109,56698
04-08-2020,125,60,65,56698,5063,6501,108,55152
05-08-2020,125,60,65,55152,5175,6031,112,54184
06-08-2020,126,61,65,54184,5684,6272,110,53486
07-08-2020,126,61,65,53486,5880,6488,119,52759
08-08-2020,129,61,68,52759,5883,5043,118,53481
09-08-2020,129,61,68,53481,5994,6020,119,53336
10-08-2020,130,61,69,53336,5914,6037,114,53099
11-08-2020,131,61,70,53099,5834,6005,118,52810
13-08-2020,134,61,73,52929,5835,5146,119,53499
14-08-2020,134,61,73,53499,5890,5556,117,53716
15-08-2020,135,62,73,53716,5860,5236,127,54213
16-08-2020,135,62,73,54213,5950,6019,125,54019
18-08-2020,136,62,74,54122,5709,5850,121,53860
19-08-2020,136,62,74,53860,5795,6384,116,53155
21-08-2020,139,63,76,53283,5995,5764,101,53413
22-08-2020,139,63,76,53413,5980,5603,80,53710
23-08-2020,139,63,76,53710,5975,6047,97,53541
26-08-2020,145,63,82,52128,5958,5606,118,52362
27-08-2020,146,63,83,52362,5981,5870,109,52364
28-08-2020,146,63,83,52364,5996,5752,102,52506
29-08-2020,149,63,86,52506,6352,6045,87,52726
30-08-2020,149,63,86,52726,6495,6406,94,52721
31-08-2020,150,63,87,52721,5956,6008,91,52578
01-09-2020,152,63,89,52578,5928,6031,96,52379
02-09-2020,154,64,90,52379,5990,5891,98,52380
03-09-2020,154,64,90,52380,5892,6110,92,52070
04-09-2020,155,64,91,52070,5976,6334,79,51633
07-09-2020,161,64,97,51458,5776,5930,89,51215
09-09-2020,163,64,99,50213,5584,6516,78,49203
10-09-2020,163,64,99,49203,5528,6185,64,48482
11-09-2020,165,65,100,48482,5519,6006,77,47918
12-09-2020,167,65,102,47918,5495,6227,76,47110
14-09-2020,170,65,105,47012,5752,5799,53,46912
15-09-2020,170,65,105,46912,5697,5735,68,46806
16-09-2020,170,65,105,46806,5652,5768,57,46633
17-09-2020,174,66,108,46633,5560,5524,59,46610
18-09-2020,175,66,109,46610,5488,5525,67,46506
20-09-2020,174,66,108,46453,5516,5206,60,46703
21-09-2020,174,66,108,46703,5344,5492,60,46495
22-09-2020,176,66,110,46495,5337,5406,76,46350
23-09-2020,177,66,111,46350,5325,5363,63,46249
24-09-2020,178,66,112,46249,5692,5470,66,46405
25-09-2020,182,66,116,46405,5679,5626,72,46386
27-09-2020,182,66,116,46336,5791,5706,80,46341
28-09-2020,184,66,118,46341,5589,5554,70,46306
29-09-2020,186,66,120,46306,5546,5501,70,46281
30-09-2020,186,66,120,46281,5659,5610,67,46263
01-10-2020,187,66,121,46263,5688,5516,66,46369
02-10-2020,188,66,122,46369,5595,5603,67,46294
03-10-2020,189,66,123,46294,5622,5596,65,46255
04-10-2020,189,66,123,46255,5489,5558,66,46120
05-10-2020,189,66,123,46120,5395,5572,62,45881
06-10-2020,189,66,123,45881,5017,5548,71,45279
07-10-2020,190,66,124,45279,5447,5524,67,45135
08-10-2020,190,66,124,45135,5088,5718,68,44437
09-10-2020,190,66,124,44437,5185,5357,68,44197
11-10-2020,191,66,125,44150,5015,5005,65,44095
12-10-2020,191,66,125,44095,4879,5165,62,43747
13-10-2020,191,66,125,43747,4666,5117,57,43239
14-10-2020,192,66,126,43239,4462,5083,52,42566
15-10-2020,192,66,126,42566,4410,5055,49,41872
16-10-2020,192,66,126,41872,4389,5245,57,40959
17-10-2020,192,66,126,40959,4295,5005,57,40192
18-10-2020,192,66,126,40192,3914,4929,56,39121
19-10-2020,192,66,126,39121,3536,4515,49,38093
20-10-2020,194,66,128,38093,3094,4403,50,36734
22-10-2020,197,66,131,35480,3077,4314,45,34198
23-10-2020,198,66,132,34198,3057,4262,33,32960
24-10-2020,198,66,132,32960,2886,4024,35,31787
25-10-2020,199,66,133,31787,2869,4019,31,30606
26-10-2020,200,66,134,30606,2708,4014,32,29268
27-10-2020,201,66,135,29268,2522,4029,27,27734
28-10-2020,201,66,135,27734,2516,3859,35,26356
29-10-2020,202,66,136,26356,2652,4087,35,24886
30-10-2020,202,66,136,24886,2608,3924,38,23532
31-10-2020,202,66,136,23532,2511,3848,31,22164
01-11-2020,203,66,137,22164,2504,3644,30,20994
02-11-2020,203,66,137,20994,2481,3940,31,19504
03-11-2020,203,66,137,19504,2435,2707,31,19201
04-11-2020,203,66,137,19201,2487,2504,30,19154
05-11-2020,203,66,137,19154,2348,2413,28,19061
06-11-2020,204,66,138,19061,2370,2402,27,19002
07-11-2020,205,66,139,19002,2341,2352,25,18966
08-11-2020,206,66,140,18966,2334,2386,20,18894
09-11-2020,207,66,141,18894,2257,2308,18,18825
10-11-2020,207,66,141,18825,2146,2237,25,18709
11-11-2020,207,66,141,18709,2184,2210,28,18655
12-11-2020,208,66,142,18655,2112,2347,25,18395
13-11-2020,208,66,142,18395,1939,2572,14,17748
16-11-2020,210,66,144,16441,1725,2384,17,15765
17-11-2020,212,66,146,15765,1652,2314,18,15085
18-11-2020,212,66,146,15085,1714,2311,18,14470
19-11-2020,213,66,147,14470,1707,2251,19,13907
20-11-2020,214,66,148,13907,1688,2173,18,13404
21-11-2020,217,67,150,13404,1663,2133,18,12916
22-11-2020,217,67,150,12916,1655,2010,19,12542
23-11-2020,217,67,150,12542,1624,1904,17,12245
24-11-2020,217,67,150,12245,1557,1910,17,11875
25-11-2020,218,67,151,11875,1534,1873,16,11520
26-11-2020,219,67,152,11520,1464,1797,14,11173
27-11-2020,220,67,153,11173,1442,1494,12,11109
28-11-2020,220,67,153,11109,1430,1453,13,11073
29-11-2020,220,67,153,11073,1459,1471,9,11052
01-12-2020,221,67,154,10997,1404,1411,10,10980
02-12-2020,221,67,154,10980,1428,1398,11,10999
03-12-2020,224,67,157,10999,1416,1413,14,10988
05-12-2020,227,67,160,10938,1366,1407,15,10882
06-12-2020,228,67,161,10882,1320,1398,16,10788
07-12-2020,228,67,161,10788,1312,1389,16,10695
08-12-2020,228,67,161,10695,1236,1330,13,10588
09-12-2020,228,67,161,10588,1232,1315,14,10491
10-12-2020,228,67,161,10491,1220,1302,17,10392
11-12-2020,228,67,161,10392,1235,1311,17,10299
12-12-2020,228,67,161,10299,1218,1296,13,10208
13-12-2020,231,67,164,10208,1195,1276,12,10115
14-12-2020,231,67,164,10115,1141,1203,14,10039
15-12-2020,232,67,165,10039,1132,1210,10,9951
17-12-2020,233,67,166,9880,1174,1214,11,9829
18-12-2020,234,67,167,9829,1134,1170,12,9781
19-12-2020,235,67,168,9781,1127,1202,14,9692
20-12-2020,235,67,168,9692,1114,1198,15,9593
21-12-2020,235,67,168,9593,1071,1157,12,9495
22-12-2020,235,67,168,9495,1052,1139,17,9391
23-12-2020,235,67,168,9391,1066,1131,12,9314
24-12-2020,235,67,168,9314,1035,1120,12,9217
25-12-2020,235,67,168,9217,1027,1103,12,9129
26-12-2020,235,67,168,9129,1019,1098,11,9039
27-12-2020,235,67,168,9039,1009,1091,10,8947
28-12-2020,235,67,168,8947,1005,1074,11,8867
29-12-2020,235,67,168,8867,957,1065,12,8747
30-12-2020,236,67,169,8747,945,1060,17,8615
31-12-2020,237,67,170,8615,937,1038,13,8501
01-01-2021,237,67,170,8501,921,1029,13,8380
02-01-2021,238,67,171,8380,910,1007,11,8272
03-01-2021,240,67,173,8272,867,1002,10,8127
04-01-2021,241,67,174,8127,838,985,10,7970
05-01-2021,241,67,174,7970,820,971,11,7808
06-01-2021,242,68,174,7808,811,943,11,7665
07-01-2021,242,68,174,7665,805,911,12,7547
08-01-2021,245,68,177,7547,790,897,8,7432
09-01-2021,247,68,179,7432,761,882,7,7304
10-01-2021,248,68,180,7304,724,857,7,7164
11-01-2021,249,68,181,7164,682,869,6,6971
12-01-2021,249,68,181,6971,671,827,8,6807
13-01-2021,249,68,181,6807,673,821,6,6653
14-01-2021,249,68,181,6653,665,826,4,6488
15-01-2021,251,68,183,6488,621,805,5,6299
16-01-2021,251,68,183,6299,610,775,6,6128
17-01-2021,251,68,183,6128,589,770,7,5940
18-01-2021,252,68,184,5940,551,758,8,5725
19-01-2021,252,68,184,5725,543,772,9,5487
21-01-2021,252,68,184,5314,596,705,9,5196
22-01-2021,253,68,185,5196,574,689,8,5073
23-01-2021,253,68,185,5073,586,673,2,4984
24-01-2021,253,68,185,4984,569,642,7,4904
25-01-2021,253,68,185,4904,540,627,4,4813
26-01-2021,254,68,186,4813,523,595,5,4736
27-01-2021,254,68,186,4736,512,564,8,4676
28-01-2021,254,68,186,4676,503,544,6,4629
29-01-2021,253,68,185,4629,509,531,6,4601
30-01-2021,253,68,185,4601,505,526,5,4575
31-01-2021,254,68,186,4575,508,523,6,4554
01-02-2021,254,68,186,4554,502,517,7,4532
02-02-2021,253,68,185,4532,510,521,4,4517
03-02-2021,254,68,186,4517,514,533,4,4494
04-02-2021,254,68,186,4494,494,517,4,4467
05-02-2021,254,68,186,4467,489,506,4,4446
06-02-2021,254,68,186,4446,477,503,3,4417
07-02-2021,254,68,186,4417,471,498,1,4389
08-02-2021,254,68,186,4389,464,495,4,4354
09-02-2021,254,68,186,4354,469,491,4,4328
10-02-2021,254,68,186,4328,479,493,5,4309
11-02-2021,254,68,186,4309,481,490,6,4294
12-02-2021,254,68,186,4294,483,486,6,4285
13-02-2021,254,68,186,4285,477,482,5,4275
14-02-2021,254,68,186,4275,470,479,6,4260
15-02-2021,254,68,186,4260,455,477,6,4232
16-02-2021,255,68,187,4232,451,470,7,4206
17-02-2021,255,68,187,4206,454,462,6,4192
18-02-2021,255,68,187,4192,457,470,6,4173
19-02-2021,256,68,188,4173,448,467,7,4147
20-02-2021,257,69,188,4147,438,459,6,4120
21-02-2021,257,69,188,4120,452,460,3,4109
22-02-2021,257,69,188,4109,449,461,6,4091
23-02-2021,257,69,188,4091,442,453,6,4074
24-02-2021,257,69,188,4074,463,469,6,4062
25-02-2021,257,69,188,4062,467,471,5,4053
26-02-2021,257,69,188,4053,481,483,5,4046
27-02-2021,257,69,188,4046,486,491,5,4036
28-02-2021,257,69,188,4036,479,490,3,4022
01-03-2021,257,69,188,4022,474,482,5,4009
02-03-2021,257,69,188,4009,462,473,1,3997
03-03-2021,257,69,188,3997,489,494,2,3990
04-03-2021,257,69,188,3990,482,490,4,3978
05-03-2021,257,69,188,3978,543,562,5,3954
06-03-2021,257,69,188,3954,562,560,4,3952
07-03-2021,257,69,188,3952,567,521,1,3997
08-03-2021,257,69,188,3997,556,532,3,4018
09-03-2021,257,69,188,4018,569,510,4,4073
10-03-2021,257,69,188,4073,671,532,5,4207
11-03-2021,257,69,188,4207,685,543,5,4344
12-03-2021,257,69,188,4344,670,527,4,4483
13-03-2021,257,69,188,4483,695,512,4,4662
14-03-2021,257,69,188,4662,759,547,4,4870
15-03-2021,257,69,188,4870,836,553,4,5149
16-03-2021,258,69,189,5149,867,561,5,5450
17-03-2021,258,69,189,5450,945,576,8,5811
18-03-2021,259,69,190,5811,989,569,9,6222
19-03-2021,259,69,190,6222,1087,610,9,6690
20-03-2021,259,69,190,6690,1243,634,8,7291
21-03-2021,259,69,190,7291,1289,668,9,7903
22-03-2021,259,69,190,7903,1385,659,10,8619
23-03-2021,259,69,190,8619,1437,902,9,9145
24-03-2021,259,69,190,9145,1636,1023,12,9746
25-03-2021,259,69,190,9746,1779,1027,11,10487
26-03-2021,259,69,190,10487,1971,1131,9,11318
27-03-2021,259,69,190,11318,2089,1241,9,12157
28-03-2021,259,69,190,12157,2194,1270,11,13070
29-03-2021,259,69,190,13070,2279,1352,14,13983
30-03-2021,259,69,190,13983,2342,1463,16,14846
31-03-2021,259,69,190,14846,2579,1527,19,15879
01-04-2021,259,69,190,15879,2817,1634,19,17043
02-04-2021,259,69,190,17043,3290,1715,12,18606
03-04-2021,259,69,190,18606,3446,1834,14,20204
04-04-2021,259,69,190,20204,3581,1813,14,21958
05-04-2021,260,69,191,21958,3672,1842,11,23777
06-04-2021,260,69,191,23777,3645,1809,15,25598
07-04-2021,260,69,191,25598,3986,1824,17,27743
08-04-2021,260,69,191,27743,4276,1869,19,30131
09-04-2021,260,69,191,30131,5441,1890,23,33659
10-04-2021,261,69,192,33659,5989,1952,23,37673
11-04-2021,261,69,192,37673,6618,2314,22,41955
12-04-2021,262,69,193,41955,6711,2339,19,46308
13-04-2021,262,69,193,46308,6984,3289,18,49985
14-04-2021,262,69,193,49985,7819,3464,25,54315
15-04-2021,262,69,193,54315,7987,4176,29,58097
16-04-2021,263,69,194,58097,8449,4920,33,61593
17-04-2021,263,69,194,61593,9344,5263,39,65635
18-04-2021,263,69,194,65635,10723,5925,42,70391
19-04-2021,263,69,194,70391,10941,6172,44,75116
20-04-2021,263,69,194,75116,10986,6250,48,79804
21-04-2021,263,69,194,79804,11681,7071,53,84361
22-04-2021,263,69,194,84361,12652,7526,59,89428
23-04-2021,263,69,194,89428,13776,8078,78,95048
24-04-2021,263,69,194,95048,14842,9142,80,100668
25-04-2021,263,69,194,100668,15659,11065,82,105180
26-04-2021,263,69,194,105180,15684,13625,94,107145
27-04-2021,264,69,195,107145,15830,14043,77,108855
28-04-2021,264,69,195,108855,16665,15114,98,110308
29-04-2021,265,69,196,110308,17897,15542,107,112556
30-04-2021,265,69,196,112556,18692,16007,113,115128
01-05-2021,265,69,196,115128,19588,17164,147,117405
02-05-2021,265,69,196,117405,20768,17576,153,120444
03-05-2021,265,69,196,120444,20952,18016,122,123258
04-05-2021,266,69,197,123258,21228,19112,144,125230
05-05-2021,266,69,197,125230,23310,20062,167,128311
06-05-2021,266,69,197,128311,24898,21546,195,131468
07-05-2021,267,69,198,131468,26465,22381,197,135355
08-05-2021,267,69,198,135355,27397,23110,241,139401
09-05-2021,267,69,198,139401,28897,23515,236,144547
10-05-2021,267,69,198,144547,28978,20904,232,152389
11-05-2021,267,69,198,152389,29272,19182,298,162181
12-05-2021,267,69,198,162181,30355,19508,293,172735
14-05-2021,267,69,198,183772,31892,20037,288,195339
15-05-2021,267,69,198,195339,33658,20905,303,207789
16-05-2021,267,69,198,207789,33181,21317,311,219342
17-05-2021,267,69,198,219342,33075,20486,335,231596
18-05-2021,267,69,198,231596,33059,21362,364,242929
19-05-2021,267,69,198,242929,34875,23863,365,253576
20-05-2021,267,69,198,253576,35579,25368,397,263390
