date,ages_11_to_20_female,ages_11_to_20_male,ages_11_to_20_total,ages_21_to_30_female,ages_21_to_30_male,ages_21_to_30_total,ages_31_to_40_female,ages_31_to_40_male,ages_31_to_40_total,ages_41_to_50_female,ages_41_to_50_male,ages_41_to_50_total,ages_51_to_60_female,ages_51_to_60_male,ages_51_to_60_total,ages_61_to_70_female,ages_61_to_70_male,ages_61_to_70_total,ages_71_to_80_female,ages_71_to_80_male,ages_71_to_80_total,ages_81_and_above_female,ages_81_and_above_male,ages_81_and_above_total,ages_upto_10_female,ages_upto_10_male,ages_upto_10_total,total_female,total_male,total_total
23-09-2020,3.67,5.05,8.72,8.91,15.33,24.24,7.97,15.54,23.51,6.84,10.64,17.48,5.15,7.55,12.7,2.62,3.95,6.57,0.86,1.26,2.12,0.18,0.25,0.43,1.97,2.26,4.23,38.17,61.83,100
06-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
07-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
08-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
09-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
10-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
11-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
12-10-2020,3.87,5.08,8.95,8.85,14.99,23.83,8.13,14.99,23.12,6.85,10.33,17.18,5.2,7.74,12.95,2.71,4.18,6.89,0.89,1.48,2.37,0.26,0.29,0.55,1.97,2.21,4.18,38.72,61.28,100
13-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.23,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
14-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.23,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
15-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.23,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
16-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.23,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
17-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
19-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
21-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
22-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
23-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
24-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
25-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
26-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
27-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
28-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
29-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
30-10-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
01-11-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
02-11-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
03-11-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
04-11-2020,4.01,5.02,9.03,9.02,14.65,23.66,8.32,14.72,23.04,6.89,10.31,17.2,5.21,7.79,13,2.75,4.2,6.94,0.94,1.53,2.47,0.22,0.28,0.5,2.01,2.14,4.15,39.37,60.64,100
