date,district,cases_new
02-09-2020,adilabad,38
02-09-2020,bhadradri kothagudem,81
02-09-2020,ghmc,477
02-09-2020,jagityal,102
02-09-2020,jangaon,43
02-09-2020,jayashankar bhupalpally,21
02-09-2020,jogulamba gadwal,28
02-09-2020,kamareddy,64
02-09-2020,karimnagar,152
02-09-2020,khammam,128
02-09-2020,komarambheem asifabad,13
02-09-2020,mahaboobnagar,53
02-09-2020,mahabubabad,61
02-09-2020,mancherial,83
02-09-2020,medak,32
02-09-2020,medchal malkajigiri,192
02-09-2020,mulugu,27
02-09-2020,nagarkurnool,45
02-09-2020,nalgonda,174
02-09-2020,narayanpet,12
02-09-2020,nirmal,31
02-09-2020,nizamabad,110
02-09-2020,peddapalli,85
02-09-2020,rajanna siricilla,39
02-09-2020,rangareddy,234
02-09-2020,sangareddy,71
02-09-2020,siddipet,108
02-09-2020,suryapet,108
02-09-2020,vikarabad,15
02-09-2020,wanaparthy,51
02-09-2020,warangal rural,38
02-09-2020,warangal urban,116
02-09-2020,yadadri bhonigir,60
02-09-2020,total,2892
03-09-2020,adilabad,36
03-09-2020,bhadradri kothagudem,89
03-09-2020,ghmc,452
03-09-2020,jagityal,88
03-09-2020,jangaon,41
03-09-2020,jayashankar bhupalpally,26
03-09-2020,jogulamba gadwal,33
03-09-2020,kamareddy,62
03-09-2020,karimnagar,164
03-09-2020,khammam,157
03-09-2020,komarambheem asifabad,19
03-09-2020,mahaboobnagar,42
03-09-2020,mahabubabad,62
03-09-2020,mancherial,71
03-09-2020,medak,35
03-09-2020,medchal malkajigiri,129
03-09-2020,mulugu,18
03-09-2020,nagarkurnool,41
03-09-2020,nalgonda,157
03-09-2020,narayanpet,21
03-09-2020,nirmal,16
03-09-2020,nizamabad,97
03-09-2020,peddapalli,75
03-09-2020,rajanna siricilla,53
03-09-2020,rangareddy,216
03-09-2020,sangareddy,76
03-09-2020,siddipet,120
03-09-2020,suryapet,116
03-09-2020,vikarabad,27
03-09-2020,wanaparthy,45
03-09-2020,warangal rural,46
03-09-2020,warangal urban,114
03-09-2020,yadadri bhonigir,73
03-09-2020,total,2817
01-09-2020,adilabad,27
01-09-2020,bhadradri kothagudem,117
01-09-2020,ghmc,347
01-09-2020,jagityal,91
01-09-2020,jangaon,47
01-09-2020,jayashankar bhupalpally,15
01-09-2020,jogulamba gadwal,42
01-09-2020,kamareddy,72
01-09-2020,karimnagar,106
01-09-2020,khammam,161
01-09-2020,komarambheem asifabad,16
01-09-2020,mahaboobnagar,66
01-09-2020,mahabubabad,81
01-09-2020,mancherial,96
01-09-2020,medak,43
01-09-2020,medchal malkajigiri,121
01-09-2020,mulugu,24
01-09-2020,nagarkurnool,48
01-09-2020,nalgonda,191
01-09-2020,narayanpet,18
01-09-2020,nirmal,39
01-09-2020,nizamabad,114
01-09-2020,peddapalli,74
01-09-2020,rajanna siricilla,49
01-09-2020,rangareddy,212
01-09-2020,sangareddy,16
01-09-2020,siddipet,109
01-09-2020,suryapet,107
01-09-2020,vikarabad,12
01-09-2020,wanaparthy,55
