,index,date,cases_new,cases_total,recovered_new,recovered_total,deaths_new,deaths_total,cases_in_isolation,state_CFR,national_CFR,state_recovery_rate,national_recovery_rate,month,year,rise in cases,Index
0,1,02-09-2020,2892,130589,2240,97402,10,846,25271,0.64,1.76,74.5,77.02,September2020,02,158.0,20200902
1,2,03-09-2020,2817,133406,2611,100013,10,856,25293,0.64,1.75,74.9,77.09,September2020,03,-75.0,20200903
2,3,04-09-2020,2478,135884,2011,102024,10,866,25730,0.63,1.74,75.0,77.14,September2020,04,-339.0,20200904
3,4,05-09-2020,2511,138395,2579,104603,11,877,25729,0.63,1.73,75.5,77.24,September2020,05,33.0,20200905
4,5,06-09-2020,2574,140969,2927,107530,9,886,25449,0.62,1.71,76.2,77.29,September2020,06,63.0,20200906
5,6,08-09-2020,2392,145163,2346,112587,11,906,24579,0.62,1.69,77.5,77.54,September2020,08,-182.0,20200908
6,7,09-09-2020,2479,147642,2485,115072,10,916,24741,0.62,1.69,77.9,77.76,September2020,09,87.0,20200909
7,8,10-09-2020,2534,150176,2071,117143,11,927,25066,0.61,1.68,78.0,77.83,September2020,10,55.0,20200910
8,9,11-09-2020,2426,152602,2324,119467,13,940,25240,0.61,1.67,78.2,77.63,September2020,11,-108.0,20200911
9,10,12-09-2020,2278,154880,2458,121925,10,950,25050,0.61,1.66,78.7,77.75,September2020,12,-148.0,20200912
10,11,13-09-2020,2216,157096,2603,124528,11,961,24674,0.61,1.65,79.2,77.84,September2020,13,-62.0,20200913
11,12,14-09-2020,1417,158513,2479,127007,13,974,23639,0.61,1.64,80.1,77.87,September2020,14,-799.0,20200914
12,13,15-09-2020,2058,160571,2180,129187,10,984,23534,0.61,1.64,80.45,78.26,September2020,15,641.0,20200915
13,14,16-09-2020,2273,162844,2260,131447,12,996,23569,0.61,1.63,80.71,78.52,September2020,16,215.0,20200916
14,15,17-09-2020,2159,165003,2108,133555,9,1005,23674,0.6,1.62,80.94,78.59,September2020,17,-114.0,20200917
15,16,18-09-2020,2043,167046,1802,135357,11,1016,24081,0.6,1.61,81.02,78.84,September2020,18,-116.0,20200918
16,17,19-09-2020,2123,169169,2151,137508,9,1025,24070,0.6,1.61,81.28,79.26,September2020,19,80.0,20200919
17,18,20-09-2020,2137,171306,2192,139700,8,1033,24019,0.6,1.6,81.54,79.65,September2020,20,14.0,20200920
18,19,21-09-2020,1302,172608,2230,141930,9,1042,22990,0.6,1.6,82.22,79.87,September2020,21,-835.0,20200921
19,20,22-09-2020,2166,174774,2143,144073,10,1052,22620,0.6,1.6,82.43,80.82,September2020,22,864.0,20200922
20,21,23-09-2020,2296,177070,2062,146135,10,1062,23527,0.59,1.59,82.52,81.23,September2020,23,130.0,20200923
21,22,24-09-2020,2176,179246,2004,148139,8,1070,23929,0.59,1.59,82.64,81.42,September2020,24,-120.0,20200924
22,23,25-09-2020,2381,181627,2021,150160,10,1080,24592,0.59,1.58,82.67,81.71,September2020,25,205.0,20200925
23,24,26-09-2020,2239,183866,2281,152441,11,1091,24683,0.59,1.58,82.9,81.98,September2020,26,-142.0,20200926
24,25,27-09-2020,1967,185833,2058,154499,9,1100,24607,0.59,1.57,83.13,82.39,September2020,27,-272.0,20200927
25,26,28-09-2020,1378,187211,1932,156431,7,1107,24054,0.59,1.57,83.55,82.53,September2020,28,-589.0,20200928
26,27,29-09-2020,2072,189283,2259,158690,9,1116,23934,0.58,1.57,83.83,82.88,September2020,29,694.0,20200929
27,28,30-09-2020,2103,191386,2243,160933,11,1127,23880,0.58,1.56,84.08,83.27,September2020,30,31.0,20200930
28,29,01-10-2020,2214,193600,2474,163407,8,1135,23702,0.58,1.56,84.4,83.51,October2020,01,111.0,20201001
29,30,02-10-2020,2009,195609,2437,165844,10,1145,23372,0.58,1.6,84.78,83.5,October2020,02,-205.0,20201002
30,31,03-10-2020,1718,197327,2002,167846,8,1153,23224,0.58,1.6,85.05,83.8,October2020,03,-291.0,20201003
31,32,04-10-2020,1949,199276,2366,170212,10,1163,22816,0.58,1.6,85.41,84.1,October2020,04,231.0,20201004
32,33,05-10-2020,1335,200611,2176,172388,8,1171,22134,0.58,1.5,85.93,84.1,October2020,05,-614.0,20201005
33,34,06-10-2020,1983,202594,2381,174769,10,1181,21784,0.58,1.6,86.26,84.7,October2020,06,648.0,20201006
34,35,07-10-2020,2154,204748,2239,177008,8,1189,21864,0.58,1.5,86.45,84.9,October2020,07,171.0,20201007
35,36,08-10-2020,1896,206644,2067,179075,12,1201,21724,0.58,1.5,86.65,85.2,October2020,08,-258.0,20201008
36,37,09-10-2020,1891,208535,1878,180953,7,1208,21801,0.57,1.5,86.77,85.5,October2020,09,-5.0,20201009
37,38,10-10-2020,1811,210346,2072,183025,9,1217,21551,0.57,1.5,87.01,85.7,October2020,10,-80.0,20201010
38,39,11-10-2020,1717,212063,2103,185128,5,1222,21209,0.57,1.5,87.29,85.9,October2020,11,-94.0,20201011
39,40,12-10-2020,1021,213084,2214,187342,6,1228,20036,0.57,1.5,87.91,86.2,October2020,12,-696.0,20201012
40,41,13-10-2020,1708,214792,2009,189351,5,1233,19748,0.57,1.5,88.15,86.8,October2020,13,687.0,20201013
41,42,14-10-2020,1446,216238,1918,191269,8,1241,19413,0.57,1.5,88.45,87.0,October2020,14,-262.0,20201014
42,43,15-10-2020,1432,217670,1949,193218,8,1249,19084,0.57,1.5,88.76,87.3,October2020,15,-14.0,20201015
43,44,16-10-2020,1554,219224,1435,194653,7,1256,19251,0.57,1.5,88.79,87.5,October2020,16,122.0,20201016
44,45,17-10-2020,1451,220675,1983,196636,9,1265,18905,0.57,1.5,89.1,87.7,October2020,17,-103.0,20201017
45,46,18-10-2020,1436,222111,2154,198790,6,1271,18279,0.57,1.5,89.5,88.0,October2020,18,-15.0,20201018
46,47,19-10-2020,948,223059,1896,200686,4,1275,17432,0.57,1.5,89.96,88.2,October2020,19,-488.0,20201019
47,48,20-10-2020,1486,224545,1891,202577,7,1282,17208,0.57,1.5,90.21,88.6,October2020,20,538.0,20201020
48,49,21-10-2020,1579,226124,1811,204388,5,1287,17071,0.56,1.5,90.38,88.8,October2020,21,93.0,20201021
49,50,22-10-2020,1456,227580,1717,206105,5,1292,16977,0.56,1.5,90.56,89.2,October2020,22,-123.0,20201022
50,51,23-10-2020,1421,229001,1221,207326,6,1298,17214,0.56,1.5,90.53,89.5,October2020,23,-35.0,20201023
51,52,24-10-2020,1273,230274,1708,209034,5,1303,16809,0.56,1.5,90.77,89.7,October2020,24,-148.0,20201024
52,53,25-10-2020,978,231252,1446,210480,4,1307,16430,0.56,1.5,91.01,89.9,October2020,25,-295.0,20201025
53,54,26-10-2020,582,231834,1432,211912,4,1311,15582,0.56,1.5,91.4,90.2,October2020,26,-396.0,20201026
54,55,27-10-2020,837,232671,1554,213466,4,1315,14851,0.56,1.5,91.14,90.3,October2020,27,255.0,20201027
55,56,28-10-2020,1481,234152,1451,214917,4,1319,14883,0.56,1.5,91.78,90.7,October2020,28,644.0,20201028
56,57,29-10-2020,1504,235656,1436,216353,5,1324,14938,0.56,1.5,91.8,90.9,October2020,29,23.0,20201029
57,58,30-10-2020,1531,237187,1048,217401,6,1330,15425,0.56,1.5,91.65,91.0,October2020,30,27.0,20201030
58,59,01-11-2020,1416,240048,1579,220466,5,1341,15388,0.55,1.5,91.84,91.5,November2020,01,-115.0,20201101
59,60,02-11-2020,922,240970,1456,221992,7,1348,14717,0.55,1.5,92.12,91.6,November2020,02,-494.0,20201102
60,61,03-11-2020,1536,242506,1421,223413,3,1351,14915,0.55,1.5,92.12,91.7,November2020,03,614.0,20201103
61,62,04-11-2020,1637,244143,1273,224686,6,1357,15335,0.55,1.5,92.03,92.1,November2020,04,101.0,20201104
62,63,05-11-2020,1539,245682,978,225664,5,1362,15864,0.55,1.5,91.85,92.2,November2020,05,-98.0,20201105
63,64,06-11-2020,1602,247284,982,226646,4,1366,16522,0.55,1.5,91.65,92.3,November2020,06,63.0,20201106
64,65,07-11-2020,1607,248891,937,227583,6,1372,17134,0.55,1.5,91.43,92.4,November2020,07,5.0,20201107
65,66,08-11-2020,1440,250331,1481,229064,5,1377,17135,0.55,1.5,91.5,92.4,November2020,08,-167.0,20201108
66,67,09-11-2020,857,251188,1504,230568,4,1381,16449,0.54,1.5,91.79,92.5,November2020,09,-583.0,20201109
67,68,10-11-2020,1267,252455,1831,232489,4,1385,15794,0.54,1.5,92.09,92.6,November2020,10,410.0,20201110
68,69,11-11-2020,1196,253651,1745,234234,5,1390,15205,0.54,1.5,92.34,92.7,November2020,11,-71.0,20201111
69,70,12-11-2020,1015,254666,1716,235950,3,1393,14694,0.54,1.5,92.65,92.8,November2020,12,-181.0,20201112
70,71,13-11-2020,997,255663,1222,237172,4,1397,14466,0.54,1.5,92.76,92.9,November2020,13,-18.0,20201113
71,72,14-11-2020,1050,256713,1736,238908,4,1401,13867,0.54,1.5,93.06,93.0,November2020,14,53.0,20201114
72,73,15-11-2020,661,257374,1637,240545,3,1404,12899,0.54,1.5,93.46,93.1,November2020,15,-389.0,20201115
73,74,16-11-2020,502,257876,1539,242084,3,1407,11948,0.54,1.5,93.87,93.2,November2020,16,-159.0,20201116
