date,general_queries_24h,general_queries_cum,consultations_24h,consultations_total,ambulances_assigned_24h,ambulance_calls_24h,telepsych_counselling_24h,telepsych_counselling_total
22-09-2021,2410,2192493,1227,,225,,541,
21-09-2021,2400,2190093,1227,892193,220,,535,433119
20-09-2021,2401,2187692,1235,,224,,540,
19-09-2021,2405,2185287,1237,,227,,543,
18-09-2021,,,,,,,,
17-09-2021,,,,,,,,
16-09-2021,,,,,,,,
15-09-2021,,,,,,,,
14-09-2021,,,,,,,,
13-09-2021,,,,,,,,
12-09-2021,2459,2168375,1265,,209,,535,
11-09-2021,,,,,,,,
10-09-2021,,,,,,,,
09-09-2021,,,,,,,,
08-09-2021,,,,,,,,
07-09-2021,,,,,,,,
06-09-2021,,,,,,,,
05-09-2021,2427,2151315,1247,,205,,502,
04-09-2021,2432,2148883,1251,870984,207,,503,424184
03-09-2021,,,,,,,,
02-09-2021,,,,,,,,
01-09-2021,,,,,,,,
31-08-2021,,,,,,,,
30-08-2021,,,,,,,,
29-08-2021,2455,2134217,1279,863396,197,,509,421156
28-08-2021,,,,,,,,
27-08-2021,,,,,,,,
25-08-2021,,,,,,,,
24-08-2021,,,,,,,,
23-08-2021,,,,,,,,
22-08-2021,2459,2117035,1290,,197,,500,
21-08-2021,2461,2114574,1298,853143,201,,501,417121
20-08-2021,2470,2112104,1300,851843,202,,502,416619
19-08-2021,2471,2109633,1302,,205,,505,
18-08-2021,,,,,,,,
17-08-2021,,,,,,,,
16-08-2021,,,,,,,,
15-08-2021,2505,2099677,1365,,219,,541,
14-08-2021,,,,,,,,
13-08-2021,,,,,,,,
12-08-2021,,,,,,,,
11-08-2021,,,,,,,,
10-08-2021,,,,,,,,
09-08-2021,,,,,,,,
08-08-2021,,,,,,,,
07-08-2021,,,,,,,,
06-08-2021,,,,,,,,
05-08-2021,,,,,,,,
04-08-2021,,,,,,,,
03-08-2021,,,,,,,,
02-08-2021,,,,,,,,
01-08-2021,,,,,,,,
30-07-2021,,,,,,,,
29-07-2021,,,,,,,,
28-07-2021,,,,,,,,
27-07-2021,,,,,,,,
26-07-2021,,,,,,,,
25-07-2021,2885,2043363,1655,814191,434,,677,401484
24-07-2021,,,,,,,,
23-07-2021,,,,,,,,
22-07-2021,,,,,,,,
21-07-2021,,,,,,,,
20-07-2021,,,,,,,,
19-07-2021,,,,,,,,
18-07-2021,,,,,,,,
17-07-2021,,,,,,,,
16-07-2021,,,,,,,,
15-07-2021,,,,,,,,
14-07-2021,,,,,,,,
13-07-2021,,,,,,,,
12-07-2021,,,,,,,,
11-07-2021,,,,,,,,
10-07-2021,,,,,,,,
09-07-2021,,,,,,,,
08-07-2021,,,,,,,,
07-07-2021,,,,,,,,
06-07-2021,,,,,,,,
05-07-2021,,,,,,,,
04-07-2021,,,,,,,,
03-07-2021,,,,,,,,
02-07-2021,,,,,,,,
01-07-2021,,,,,,,,
30-06-2021,,,,,,,,
29-06-2021,,,,,,,,
28-06-2021,,,,,,,,
27-06-2021,,,,,,,,
26-06-2021,,,,,,,,
25-06-2021,,,,,,,,
24-06-2021,,,,,,,,
23-06-2021,,,,,,,,
22-06-2021,,,,,,,,
21-06-2021,,,,,,,,
20-06-2021,,,,,,,,
19-06-2021,,,,,,,,
18-06-2021,,,,,,,,
17-06-2021,,,,,,,,
16-06-2021,,,,,,,,
15-06-2021,,,,,,,,
14-06-2021,,,,,,,,
13-06-2021,4115,1878377,2215,724653,693,,822,367378
12-06-2021,4118,1874259,2209,722444,688,,819,366559
11-06-2021,4318,1869941,2215,720229,692,,882,365677
10-06-2021,4417,1865524,2297,717932,695,,880,364797
09-06-2021,4677,1860847,2302,715630,693,,881,363916
08-06-2021,4978,1855869,2310,713320,695,,884,363032
07-06-2021,5406,1850463,2388,710932,691,,901,362131
06-06-2021,5410,1845053,2411,708521,702,,902,361229
05-06-2021,5497,1839556,2400,706121,700,,900,360329
04-06-2021,5501,1834055,2401,703720,701,,901,359428
03-06-2021,5512,1828543,2412,701308,706,,903,358525
02-06-2021,5541,1823002,2451,698857,718,,909,357616
01-06-2021,5581,1817421,2471,696386,731,,918,356698
31-05-2021,5610,1811811,2485,693901,737,,927,355771
30-05-2021,5981,1805830,2127,691774,747,,1002,354769
29-05-2021,5201,1800629,2135,689639,751,,1005,353764
28-05-2021,5217,1795412,2179,687460,770,,1008,352756
27-05-2021,5208,1790204,2167,685293,785,,1012,351744
26-05-2021,5214,1784990,2197,683096,790,,1009,350735
25-05-2021,5289,1779701,2201,680895,791,,1002,349733
24-05-2021,5310,1774391,2205,678690,793,,1005,348728
23-05-2021,5321,1769070,2214,676476,802,,1015,347713
22-05-2021,5396,1763674,2296,674180,814,,1013,346700
21-05-2021,5401,1758273,2302,671878,829,,1010,345690
20-05-2021,5497,1752776,2319,669559,841,,1009,344681
19-05-2021,5502,1747274,2402,667157,828,,1015,343666
18-05-2021,5519,1741755,2412,664745,830,,1047,342619
17-05-2021,5512,1736243,2406,662339,821,,1051,341568
16-05-2021,5501,1730742,2409,659930,815,,1064,340504
15-05-2021,5510,1725232,2411,657519,819,,1077,339427
14-05-2021,5715,1719517,2651,654868,987,,1197,338230
13-05-2021,5816,1713701,2671,652197,1001,,1214,337016
12-05-2021,5799,1707902,2798,649399,1014,,1201,335815
11-05-2021,5710,1702192,2783,646616,1112,,1212,334603
10-05-2021,5692,1696500,2781,643835,1178,,1228,333375
09-05-2021,5493,1691007,2640,641195,1258,,1254,332121
08-05-2021,5381,1685626,2625,638570,1253,,1253,330868
07-05-2021,5370,1680256,2619,635951,1249,,1251,329617
06-05-2021,5016,1675240,2703,633248,1271,,1277,328340
05-05-2021,4984,1670256,2616,630632,1296,,1271,327069
04-05-2021,4901,1665355,2622,628010,1301,,1285,325784
03-05-2021,4877,1660478,2614,625396,1321,,1297,324487
02-05-2021,4603,1655875,2779,622617,1396,,1281,323206
01-05-2021,4579,1651296,2763,619854,1367,,1272,321934
30-04-2021,4536,1646760,2752,617102,1345,,1264,320670
29-04-2021,4520,1642240,2711,614391,1301,,1263,319407
28-04-2021,4428,1637812,2697,611694,1274,,1251,318156
27-04-2021,4108,1633704,2688,609006,1004,,1263,316893
26-04-2021,3716,1629988,2408,606598,839,,1260,315633
25-04-2021,2786,1627202,1596,605002,497,,995,314638
24-04-2021,2771,1624431,1582,603420,499,,999,313639
23-04-2021,2759,1621672,1517,601903,498,,992,312647
22-04-2021,2689,1618983,1484,600419,480,,982,311665
21-04-2021,2623,1616360,1482,598937,479,,975,310690
20-04-2021,2027,1614333,1437,597500,471,,953,309737
19-04-2021,1799,1612534,1187,596313,475,,970,308767
18-04-2021,1701,1610833,999,595314,399,,898,307869
17-04-2021,1689,1609144,981,594333,375,,888,306981
16-04-2021,1673,1607471,967,593366,356,,885,306096
15-04-2021,1685,1605786,972,592394,364,,892,305204
14-04-2021,1624,1604162,810,591584,301,,864,304340
13-04-2021,1592,1602570,679,590905,196,,753,303587
12-04-2021,1208,1601362,423,590482,98,,619,302968
11-04-2021,953,1600409,259,590223,45,,441,302527
10-04-2021,948,1599461,255,589968,42,,436,302091
09-04-2021,946,1598515,253,589715,42,,434,301657
08-04-2021,939,1597576,249,589466,40,,426,301231
07-04-2021,932,1596644,245,589221,41,,424,300807
06-04-2021,934,1595710,242,588979,41,,422,300385
05-04-2021,928,1594782,239,588740,39,,416,299969
04-04-2021,930,1593852,240,588500,41,,420,299549
03-04-2021,928,1592924,236,588264,39,,419,299130
02-04-2021,920,1592004,229,588035,38,,415,298715
01-04-2021,846,1591158,225,587810,34,,361,298354
31-03-2021,758,1590400,215,587595,27,,289,298065
30-03-2021,677,1589723,204,587391,21,,232,297833
29-03-2021,676,1589047,206,587185,21,,236,297597
28-03-2021,683,1588364,215,586970,24,,245,297352
27-03-2021,684,1587680,211,586759,23,,241,297111
26-03-2021,688,1586992,212,586547,25,,250,296861
25-03-2021,686,1586306,215,586332,25,,246,296615
24-03-2021,688,1585618,209,586123,26,,248,296367
23-03-2021,678,1584940,202,585921,22,,238,296129
22-03-2021,673,1584267,201,585720,22,,238,295891
21-03-2021,685,1583582,209,585511,25,,249,295642
20-03-2021,690,1582892,214,585297,25,,255,295387
19-03-2021,688,1582204,212,585085,25,,253,295134
18-03-2021,683,1581521,209,584876,23,,251,294883
17-03-2021,678,1580843,205,584671,25,,246,294637
16-03-2021,674,1580169,202,584469,23,,251,294386
15-03-2021,671,1579498,203,584266,21,,254,294132
14-03-2021,672,1578826,208,584058,22,,251,293881
13-03-2021,672,1578154,210,583848,21,,255,293626
12-03-2021,679,1577475,201,583647,23,,254,293372
11-03-2021,683,1576792,204,583443,26,,259,293113
10-03-2021,687,1576105,203,583240,20,,251,292862
09-03-2021,693,1575412,211,583029,23,,254,292608
08-03-2021,691,1574721,200,582829,24,,257,292351
07-03-2021,693,1574028,201,582628,21,,261,292090
06-03-2021,697,1573331,203,582425,23,,264,291826
05-03-2021,701,1572630,210,582215,20,,269,291557
04-03-2021,713,1571917,214,582001,21,,271,291286
03-03-2021,736,1571181,224,581777,20,,272,291014
02-03-2021,743,1570438,207,581570,21,,270,290744
01-03-2021,747,1569691,219,581351,23,,275,290469
28-02-2021,740,1568951,238,581113,28,,282,290187
27-02-2021,753,1568198,247,580866,24,,290,289897
26-02-2021,755,1567443,240,580626,25,,295,289602
