date,unit_name,ppe,n95_masks,reusable_masks,disposable_masks,gloves,sanitizer
24-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
24-06-2021,bankura,46717,57116,31400,66550,157900,9061
24-06-2021,birbhum,36150,28300,32400,96050,49700,6910
24-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
24-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
24-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
24-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
24-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
24-06-2021,hooghly,82150,69983,59497,395100,46782,18211
24-06-2021,howrah,125265,91432,66580,410165,27842,11339
24-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
24-06-2021,jhargram,19715,16520,24890,69100,132000,5468
24-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
24-06-2021,malda,26100,23200,26000,87100,97700,7151
24-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
24-06-2021,nadia,72470,55389,37100,149050,184300,11481
24-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
24-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
24-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
24-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
24-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
24-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
24-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
24-06-2021,purulia,50450,36245,52700,148550,121700,7421
24-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
24-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
24-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
24-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
24-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
24-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
24-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
24-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
24-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
24-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
24-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
24-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
24-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
24-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
24-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
24-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
24-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
24-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
24-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
24-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
24-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
24-06-2021,cnmch,52350,55500,23150,133500,269700,3672
24-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
24-06-2021,stock in hand-in transit,268865,2075034,514313,1585270,1589820,86569
24-06-2021,,3120262,5815040,2447359,11650208,11453210,560789
23-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
23-06-2021,bankura,46717,57116,31400,66550,157900,9061
23-06-2021,birbhum,36150,28300,32400,96050,49700,6910
23-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
23-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
23-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
23-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
23-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
23-06-2021,hooghly,82150,69983,59497,395100,46782,18211
23-06-2021,howrah,125265,91432,66580,410165,27842,11339
23-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
23-06-2021,jhargram,19715,16520,24890,69100,132000,5468
23-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
23-06-2021,malda,26100,23200,26000,87100,97700,7151
23-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
23-06-2021,nadia,72470,55389,37100,149050,184300,11481
23-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
23-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
23-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
23-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
23-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
23-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
23-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
23-06-2021,purulia,50450,36245,52700,148550,121700,7421
23-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
23-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
23-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
23-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
23-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
23-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
23-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
23-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
23-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
23-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
23-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
23-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
23-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
23-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
23-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
23-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
23-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
23-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
23-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
23-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
23-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
23-06-2021,cnmch,52350,55500,23150,133500,269700,3672
23-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
23-06-2021,stock in hand-in transit,266865,2065034,514313,1565270,1569820,85569
23-06-2021,,3118262,5805040,2447359,11630208,11433210,559789
22-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
22-06-2021,bankura,46717,57116,31400,66550,157900,9061
22-06-2021,birbhum,36150,28300,32400,96050,49700,6910
22-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
22-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
22-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
22-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
22-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
22-06-2021,hooghly,82150,69983,59497,395100,46782,18211
22-06-2021,howrah,125265,91432,66580,410165,27842,11339
22-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
22-06-2021,jhargram,19715,16520,24890,69100,132000,5468
22-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
22-06-2021,malda,26100,23200,26000,87100,97700,7151
22-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
22-06-2021,nadia,72470,55389,37100,149050,184300,11481
22-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
22-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
22-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
22-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
22-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
22-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
22-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
22-06-2021,purulia,50450,36245,52700,148550,121700,7421
22-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
22-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
22-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
22-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
22-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
22-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
22-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
22-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
22-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
22-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
22-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
22-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
22-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
22-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
22-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
22-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
22-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
22-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
22-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
22-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
22-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
22-06-2021,cnmch,52350,55500,23150,133500,269700,3672
22-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
22-06-2021,stock in hand-in transit,264865,2055034,514313,1545270,1549820,84569
22-06-2021,,3116262,5795040,2447359,11610208,11413210,558789
21-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
21-06-2021,bankura,46717,57116,31400,66550,157900,9061
21-06-2021,birbhum,36150,28300,32400,96050,49700,6910
21-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
21-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
21-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
21-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
21-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
21-06-2021,hooghly,82150,69983,59497,395100,46782,18211
21-06-2021,howrah,125265,91432,66580,410165,27842,11339
21-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
21-06-2021,jhargram,19715,16520,24890,69100,132000,5468
21-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
21-06-2021,malda,26100,23200,26000,87100,97700,7151
21-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
21-06-2021,nadia,72470,55389,37100,149050,184300,11481
21-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
21-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
21-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
21-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
21-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
21-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
21-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
21-06-2021,purulia,50450,36245,52700,148550,121700,7421
21-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
21-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
21-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
21-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
21-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
21-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
21-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
21-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
21-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
21-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
21-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
21-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
21-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
21-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
21-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
21-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
21-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
21-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
21-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
21-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
21-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
21-06-2021,cnmch,52350,55500,23150,133500,269700,3672
21-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
21-06-2021,stock in hand-in transit,262865,2045034,514313,1525270,1529820,83569
21-06-2021,,3114262,5785040,2447359,11590208,11393210,557789
20-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
20-06-2021,bankura,46717,57116,31400,66550,157900,9061
20-06-2021,birbhum,36150,28300,32400,96050,49700,6910
20-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
20-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
20-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
20-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
20-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
20-06-2021,hooghly,82150,69983,59497,395100,46782,18211
20-06-2021,howrah,125265,91432,66580,410165,27842,11339
20-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
20-06-2021,jhargram,19715,16520,24890,69100,132000,5468
20-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
20-06-2021,malda,26100,23200,26000,87100,97700,7151
20-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
20-06-2021,nadia,72470,55389,37100,149050,184300,11481
20-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
20-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
20-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
20-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
20-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
20-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
20-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
20-06-2021,purulia,50450,36245,52700,148550,121700,7421
20-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
20-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
20-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
20-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
20-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
20-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
20-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
20-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
20-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
20-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
20-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
20-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
20-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
20-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
20-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
20-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
20-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
20-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
20-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
20-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
20-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
20-06-2021,cnmch,52350,55500,23150,133500,269700,3672
20-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
20-06-2021,stock in hand-in transit,260865,2035034,514313,1505270,1509820,82569
20-06-2021,,3112262,5775040,2447359,11570208,11373210,556789
19-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
19-06-2021,bankura,46717,57116,31400,66550,157900,9061
19-06-2021,birbhum,36150,28300,32400,96050,49700,6910
19-06-2021,bishnupur hd,15350,38449,55602,32468,166536,4000
19-06-2021,coochbehar,33600,29450,29200,136375,89109,6449
19-06-2021,dakshin dinajpur,20400,19650,21500,121600,108700,5280
19-06-2021,darjeeling,90411,95347,22900,344239,254975,3656
19-06-2021,diamond harbour hd,52726,56013,33267,185720,192465,9750
19-06-2021,hooghly,82150,69983,59497,395100,46782,18211
19-06-2021,howrah,125265,91432,66580,410165,27842,11339
19-06-2021,jalpaiguri,34800,41754,45550,151038,280550,8318
19-06-2021,jhargram,19715,16520,24890,69100,132000,5468
19-06-2021,kalimpong,21150,23245,19800,131992,162649,4884
19-06-2021,malda,26100,23200,26000,87100,97700,7151
19-06-2021,murshidabad,36594,62202,56900,789737,115350,5867
19-06-2021,nadia,72470,55389,37100,149050,184300,11481
19-06-2021,north 24 parganas,112000,102594,44140,936465,300000,11675
19-06-2021,basirhat hd,44320,59020,35636,174000,261150,7094
19-06-2021,paschim bardhaman,37850,35100,17780,121000,121900,2257
19-06-2021,paschim medinipur,42226,61566,49858,268357,172335,7885
19-06-2021,purba bardhaman,65800,60100,27100,136550,158800,11064
19-06-2021,purba medinipur,54550,52030,33220,424050,74532,20481
19-06-2021,nandigram hd,18750,38026,30640,121050,101000,8244
19-06-2021,purulia,50450,36245,52700,148550,121700,7421
19-06-2021,rampurhat hd,24150,29000,30300,62050,76650,5637
19-06-2021,south 24 parganas,57450,41498,88488,332050,141395,7084
19-06-2021,uttar dinajpur,35750,43550,68314,201900,318500,9246
19-06-2021,bankura s mc&h,21415,55773,10200,199384,294296,7428
19-06-2021,coochbehar mc&h,13800,14900,14600,58700,271000,3442
19-06-2021,nb mc&h,40350,103500,20000,224200,246500,8390
19-06-2021,diamond harbour mc&h,14089,32255,10100,147750,183050,5503
19-06-2021,malda mc&h,18800,86900,13100,188500,258500,7708
19-06-2021,murshidabad mc&h,31848,96364,16601,180950,72600,8390
19-06-2021,bardhaman mc&h,23900,35377,17500,121281,332000,6329
19-06-2021,medinipur mc&h,56400,89015,38595,63350,212595,5345
19-06-2021,purulia mc&h,13300,24108,51600,49300,166548,12715
19-06-2021,rampurhat mc&h,21400,40232,17600,40000,88500,10048
19-06-2021,raiganj mc&h,14100,13059,13100,56500,87000,2246
19-06-2021,jnm mc&h,93600,147600,24000,187000,290500,4000
19-06-2021,sagar dutta mc&h,93600,147600,17600,187000,290500,4000
19-06-2021,id & bg hospital,57000,81500,29000,101100,149000,4950
19-06-2021,rg kar mch,40850,76822,15800,301050,80728,8664
19-06-2021,nrs mch,69922,123519,32729,215550,293700,7276
19-06-2021,ipgmer & sskmh,98900,133800,68500,47049,499500,18167
19-06-2021,"medical college, kolkata",187142,192649,22577,53528,43500,10732
19-06-2021,cnmch,52350,55500,23150,133500,269700,3672
19-06-2021,other govt dept/institutions,613937,896504,422532,1316040,1729678,114209
19-06-2021,stock in hand-in transit,258865,2025034,514313,1485270,1489820,81569
19-06-2021,,3110262,5765040,2447359,11550208,11353210,555789
18-06-2021,alipurduar,17800,26250,13400,100900,89475,5092
