date,hospital_dedicated,hospital_dedicated_govt,hospital_dedicated_pvt,covid19_beds,covid19_bed_occupancy,icu_hdu_beds,n_safe_homes,safe_home_beds,n_ventilators,total_patients_home_isolation,current_patients_home_isolation,released_patients_home_isolation,current_patients_hospital,current_patients_safe_homes
2021-09-22,,196,,23947,,2861,200,11507,,,6364,,1133,227
2021-09-21,203,196,7,23947,3.47,2861,200,11507,,,6384,,1131,226
2021-09-20,,196,,23947,,2861,200,11507,,,6402,,1170,238
2021-09-19,,196,,23947,,2861,200,11507,,,6571,,1091,244
2021-09-18,203,196,7,23947,3.12,2861,200,11507,,,6667,,1056,244
2021-09-17,,196,,23947,,2861,200,11507,,,6668,,1082,258
2021-09-16,203,196,7,23947,3.31,2861,200,11507,,,6649,,1119,257
2021-09-15,203,196,7,23947,3.32,2861,200,11507,,,6679,,1121,250
2021-09-14,203,196,7,23947,3.43,2861,200,11507,,,6707,,1118,249
2021-09-13,203,196,7,23947,3.36,2861,200,11507,,,6755,,1091,250
2021-09-12,,196,,23947,,2861,200,11507,,,6860,,1079,248
2021-09-11,203,196,7,23947,3.08,2861,200,11507,,,6936,,1020,247
2021-09-10,203,196,7,23947,3.24,2861,200,11507,,,6904,,1069,246
2021-09-09,203,196,7,23947,3.25,2861,200,11507,,,6941,,1069,236
2021-09-08,203,196,7,23947,3.36,2861,200,11507,,,6965,,1091,232
2021-09-07,203,196,7,23947,3.21,2861,200,11507,,,7110,,1042,235
2021-09-06,203,196,7,23947,3.43,2861,200,11507,,,7152,,1097,231
2021-09-05,,196,,23947,,2861,200,11507,,,7370,,1029,253
2021-09-04,203,196,7,23947,3.19,2861,200,11507,,,7398,,1047,234
2021-09-03,203,196,7,23947,3.24,2861,200,11507,,,7392,,1066,236
2021-09-02,203,196,7,23947,3.1,2861,200,11507,,,7473,,1023,238
2021-09-01,203,196,7,23947,3.22,2861,200,11507,,,7516,,1049,236
2021-08-31,203,196,7,23947,3.09,2861,200,11507,,,7575,,1005,235
2021-08-30,203,196,7,23947,3.07,2861,200,11507,,,7701,,985,236
2021-08-29,203,196,7,23947,3.05,2861,200,11507,,,7841,,986,243
2021-08-28,203,196,7,23947,3.02,2861,200,11507,,,7894,,975,240
2021-08-27,203,196,7,23947,3.28,2861,200,11507,,,7878,,1030,235
2021-08-25,203,196,7,23947,3.05,2861,200,11507,,,7971,,973,241
2021-08-24,203,196,7,23947,2.99,2861,200,11507,,,8005,,961,251
2021-08-23,203,196,7,23947,3.18,2861,200,11507,,,8083,,1010,243
2021-08-22,,196,,23947,,2861,200,11507,,,8216,,1011,234
2021-08-21,203,196,7,23947,3.03,2861,200,11507,,,8388,,967,239
2021-08-20,203,196,7,23947,3.07,2861,200,11507,,,8424,,966,245
2021-08-19,,196,,23947,,2861,200,11507,,,8371,,1031,251
2021-08-18,203,196,7,23947,3.58,2861,200,11507,,,8316,,1116,283
2021-08-17,203,196,7,23947,3.38,2861,200,11507,,,8389,,1070,277
2021-08-16,203,196,7,23947,3.58,2861,200,11507,,,8434,,1121,277
2021-08-15,,196,,23947,,2861,200,11507,,,8666,,1072,292
2021-08-14,203,196,7,23947,3.62,2861,200,11507,,,8637,,1143,298
2021-08-13,203,196,7,23947,3.67,2861,200,11507,,,8655,,1154,300
2021-08-12,203,196,7,23947,3.78,2861,200,11507,,,8653,,1180,294
2021-08-11,203,196,7,23947,3.79,2861,200,11507,,,8669,,1200,294
2021-08-10,203,196,7,23947,3.8,2861,200,11507,,,8724,,1192,299
2021-08-09,203,196,7,23947,3.95,2861,200,11507,,,8766,,1237,309
2021-08-08,203,196,7,23947,3.42,2861,200,11507,,,9051,,1116,318
2021-08-07,203,196,7,23947,3.66,2861,200,11507,,,9090,,1181,314
2021-08-06,203,196,7,23947,3.85,2861,200,11507,,,9108,,1232,302
2021-08-05,203,196,7,23947,3.81,2861,200,11507,,,9134,,1237,350
2021-08-04,203,196,7,23947,3.56,2861,200,11507,,,9192,,1178,375
2021-08-03,203,196,7,23947,3.76,2861,200,11507,,,9157,,1244,366
2021-08-02,203,196,7,23947,3.83,2861,200,11507,,,9146,,1278,379
2021-08-01,203,196,7,23947,4,2861,200,11507,,,9240,,1339,395
2021-07-30,203,196,7,23947,3.97,2861,200,11507,,,9366,,1374,431
2021-07-29,203,196,7,23947,3.98,2861,200,11507,,,9486,,1383,431
2021-07-28,203,196,7,23947,3.99,2861,200,11507,,,9544,,1393,433
2021-07-27,203,196,7,23947,4.07,2861,200,11507,,,9534,,1427,419
2021-07-26,203,196,7,23947,4.11,2861,200,11507,,,9697,,1438,431
2021-07-25,203,196,7,23947,3.88,2861,200,11507,,,10012,,1357,427
2021-07-24,203,196,7,23947,3.59,2861,200,11507,,,10179,,1290,422
2021-07-23,203,196,7,23947,4.18,2861,200,11507,,,10209,,1439,441
2021-07-22,203,196,7,23947,4.28,2861,200,11507,,,10321,,1449,435
